"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1255,1998.5,91.1156699876449,8252.3553904013
"2000/2001",2001,123,123,100,1092,1955,92.0942668166336,8890.53680805594
"2001/2002",2002,123,123,100,1103,1949,91.1403784674783,8430.97097547702
"2002/2003",2003,123,123,100,1231,1999.5,89.9727690324758,7999.22674094801
"2003/2004",2004,123,123,100,1261,2030,92.2384831970513,7944.93429349421
"2004/2005",2005,123,123,100,1221,2003.5,91.4537095957269,8375.2972345259
"2005/2006",2006,123,123,100,1086,1906.5,89.277674593648,8869.51928056701
"2006/2007",2007,123,123,100,1318,2051.5,90.5853476687312,7980.51749813737
"2007/2008",2008,123,123,100,1001,1833.5,87.3243046438226,10147.7493545003
"2008/2009",2009,123,123,100,1162,1896,90.5567716219052,8654.7005167742
"2009/2010",2010,123,123,100,1299,2171,92.2471249731661,6988.46815694764
"2010/2011",2011,123,123,100,990,2054.5,94.8133898869894,8659.93609152769
"2011/2012",2012,123,123,100,1124,1994,91.3821855702986,8286.21199782053
"2012/2013",2013,123,123,100,1246,2073.5,91.8091730021488,7122.96919055621
"2013/2014",2014,123,123,100,1123,1951.5,89.4367816438175,8756.22416159941
"2014/2015",2015,123,123,100,1210,1953.5,90.2189810065629,8650.68036372738
"2015/2016",2016,123,123,100,1072,2007.5,89.8973344623205,8947.22132846201
"2016/2017",2017,123,123,100,851,1790.5,85.3580938994423,10988.7494010595
"2017/2018",2018,123,123,100,1008,1928.5,89.883123856423,9577.11701388611
"2018/2019",2019,123,123,100,1236,1954.5,91.148135046792,7759.67311781109
"2019/2020",2020,123,123,100,1144,2030.5,94.2129010653325,7937.1187259173
"2020/2021",2021,123,123,100,1198,2052,91.5213443646185,8276.0520549363
"2021/2022",2022,123,123,100,966,1913,89.9055167506776,9663.97003844962
"2022/2023",2023,123,123,100,923,1933,90.1539954851992,9693.52045936859
"2023/2024",2024,123,123,100,1230,1957.5,91.2964609811524,8131.14584009442
"2024/2025",2025,123,123,100,1033,1833,84.273043369958,9811.86690981826
"2025/2026",2026,123,123,100,1159,1933,87.8714784410886,8886.61941331439
"2026/2027",2027,123,123,100,1151,2016.5,90.7363404947819,8634.70001159911
"2027/2028",2028,123,123,100,1047,1839,86.6580827172929,9766.15631074063
"2028/2029",2029,123,123,100,1325,2133.5,90.9905539220435,7127.49308159552
"2029/2030",2030,123,123,100,978,1868.5,89.3973341777973,9835.07961899089
"2030/2031",2031,123,123,100,1245,2026,90.1027512500768,8034.26448737155
"2031/2032",2032,123,123,100,1018,2076,92.0496515946243,8535.86423782725
"2032/2033",2033,123,123,100,1376,2151,93.6150772709789,6644.24036119902
"2033/2034",2034,123,123,100,1174,1975,91.0966474878305,8618.32756144647
"2034/2035",2035,123,123,100,991,1961,91.2750857936917,9750.61755099683
"2035/2036",2036,123,123,100,1088,2082,92.75274844873,8432.46084771794
"2036/2037",2037,123,123,100,1122,1876.5,85.4584206457903,9777.94480114058
"2037/2038",2038,123,123,100,1283,2029,91.8796653631543,7305.15059292177
"2038/2039",2039,123,123,100,1092,1993,87.8260735666281,9256.47090521408
"2039/2040",2040,123,123,100,1078,1991.5,90.8426051933156,8708.94636248425
"2040/2041",2041,123,123,100,1206,2045,91.4868570995213,8449.22479474731
"2041/2042",2042,123,123,100,1267,2094.5,91.361805467147,7773.79028673889
"2042/2043",2043,123,123,100,1145,2027.5,89.5422081899469,8673.83116207691
"2043/2044",2044,123,123,100,1106,1983,88.7131825438391,8854.85038969386
"2044/2045",2045,123,123,100,967,2001.5,91.0252331859647,9255.43110382184
"2045/2046",2046,123,123,100,875,1868.5,87.9232066542945,10448.2211833247
"2046/2047",2047,123,123,100,1054,1951,90.3977329217059,9549.25623891223
"2047/2048",2048,123,123,100,1079,1968.5,92.1885087531609,8513.70273636328
"2048/2049",2049,123,123,100,1289,1978.5,89.0677386672178,7998.60414928943
"2049/2050",2050,123,123,100,1151,1847,87.3395164267167,8796.72972115548
"2050/2051",2051,123,123,100,1263,1964.5,88.9897395929147,8254.49740047008
"2051/2052",2052,123,123,100,1395,2125,92.510040369827,6698.59843899589
"2052/2053",2053,123,123,100,1272,2011,91.20890765269,7439.57298697904
"2053/2054",2054,123,123,100,1254,2029.5,89.2342146819465,8223.99697980052
"2054/2055",2055,123,123,100,1225,2036.5,90.7625329263738,7743.57628315641
"2055/2056",2056,123,123,100,1313,2058.5,92.7053412854239,6946.3471776261
"2056/2057",2057,123,123,100,1430,2179,92.0785909398528,7072.23210437363
"2057/2058",2058,123,123,100,1335,2059,92.3618470112597,7069.73263269523
"2058/2059",2059,123,123,100,1149,2031,90.7622631874074,8381.23472084291
"2059/2060",2060,123,123,100,1227,1950,88.7917142772239,8200.42678640317
"2060/2061",2061,123,123,100,1171,2012,91.1288422268935,8059.93086737767
"2061/2062",2062,123,123,100,1368,2108,92.2984352799067,6969.40194141818
"2062/2063",2063,123,123,100,1203,2017.5,89.9937473341834,8589.40952176554
"2063/2064",2064,123,123,100,1288,2042,90.8944741590058,7097.3389195418
"2064/2065",2065,123,123,100,1125,2060.5,92.4980954890798,8715.34099486424
"2065/2066",2066,123,123,100,1163,1878.5,88.9727688737967,9102.14023857657
"2066/2067",2067,123,123,100,1226,2096,93.6844868898988,7188.68131187279
"2067/2068",2068,123,123,100,1131,1950,88.3028007095072,9089.04320590943
"2068/2069",2069,123,123,100,942,1830,86.4693294498047,10474.8928040969
"2069/2070",2070,123,123,100,1112,1997,90.1464928299501,8695.84976478247
"2070/2071",2071,123,123,100,1361,2139,93.1883615936677,6537.68010822125
"2071/2072",2072,123,123,100,1290,2121.5,92.3153809790092,7101.76770221861
"2072/2073",2073,123,123,100,1246,1933,86.8586439451847,7811.76200438756
"2073/2074",2074,123,123,100,1570,2203.5,92.5642643339779,5366.31061362382
"2074/2075",2075,123,123,100,1361,2156.5,92.2363501296913,6750.37347544916
"2075/2076",2076,123,123,100,1234,1994,89.8323935790686,8438.23272453062
"2076/2077",2077,123,123,100,1163,1875.5,85.9076399519126,9566.1820435049
"2077/2078",2078,123,123,100,1259,2091.5,93.663225831795,7076.66437954642
"2078/2079",2079,123,123,100,1243,2050.5,89.2660058553392,7819.92588370387
"2079/2080",2080,123,123,100,1141,1958.5,88.7433723275026,8620.67161331326
"2080/2081",2081,123,123,100,1395,2098,92.7602069662862,6537.53140097018
"2081/2082",2082,123,123,100,1330,2039.5,92.2400869047524,6991.33269449417
"2082/2083",2083,123,123,100,1237,2088,91.012716562971,7916.82509638369
"2083/2084",2084,123,123,100,1207,1979,87.127913558139,8733.7579943724
"2084/2085",2085,123,123,100,1232,1905.5,86.7407180579394,9028.02369619347
"2085/2086",2086,123,123,100,977,1949.5,88.2222575404739,9748.43020962179
"2086/2087",2087,123,123,100,1315,1935.5,91.9593696147549,7306.29704550281
"2087/2088",2088,123,123,100,1136,1968.5,90.2292038293672,8481.82678903453
"2088/2089",2089,123,123,100,1292,2071.5,91.7869368538995,7345.53510917444
"2089/2090",2090,123,123,100,1240,2095.5,92.0352418783186,7795.42326835729
"2090/2091",2091,123,123,100,1311,2210.5,93.084602595065,7128.36939849891
"2091/2092",2092,123,123,100,1172,1980.5,91.3568462088479,7897.86830511969
"2092/2093",2093,123,123,100,849,1809.5,87.7837858735056,11017.0682265563
"2093/2094",2094,123,123,100,979,2067.5,92.712882818214,9022.19399469998
"2094/2095",2095,123,123,100,1297,1968,87.3947531982885,8292.17356053647
"2095/2096",2096,123,123,100,1422,2254,93.605209358193,6456.20728525426
"2096/2097",2097,123,123,100,1010,1992,91.0317922608883,8794.94447880797
"2097/2098",2098,123,123,100,1102,2078.5,93.4530987549879,8260.6310420027
"2098/2099",2099,123,123,100,1221,1994.5,91.9311826966623,7529.64090619981
"2099/2100",2100,123,123,100,1058,1968.5,88.4123832073747,9364.68173747603
