"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,828,1718.5,82.9604408421915,12221.2368102484
"2000/2001",2001,123,123,100,746,1633.5,77.1851804152404,13091.8168037009
"2001/2002",2002,123,123,100,747,1648,82.2599788485185,12581.7798457045
"2002/2003",2003,123,123,100,919,1709,82.0240042786414,11943.4433741419
"2003/2004",2004,123,123,100,908,1728,80.6703579868674,11949.5264180242
"2004/2005",2005,123,123,100,819,1712.5,82.3789837717031,12498.6252510629
"2005/2006",2006,123,123,100,763,1595,81.0430142275395,12990.1573513731
"2006/2007",2007,123,123,100,909,1748.5,83.1303062304379,11906.272410366
"2007/2008",2008,123,123,100,650,1491.5,77.5474785233159,14484.5372875946
"2008/2009",2009,123,123,100,905,1628,80.5095591806696,12635.3615042274
"2009/2010",2010,123,123,100,926,1818.5,85.4180912889217,10904.9992427728
"2010/2011",2011,123,123,100,620,1674,84.0541129030073,13013.0759638574
"2011/2012",2012,123,123,100,769,1703,84.4924374759792,12296.9926320419
"2012/2013",2013,123,123,100,927,1793,85.7682726246794,10997.3656298489
"2013/2014",2014,123,123,100,710,1640,82.6718867980398,12976.200206593
"2014/2015",2015,123,123,100,821,1640.5,83.3516605295299,12807.059367426
"2015/2016",2016,123,123,100,718,1629,83.548319992025,13162.1941508723
"2016/2017",2017,123,123,100,593,1346.5,74.5660042985446,15634.2152607292
"2017/2018",2018,123,123,100,662,1525,76.3260742455618,14086.897280378
"2018/2019",2019,123,123,100,946,1746.5,81.6541340854878,11452.470169988
"2019/2020",2020,123,123,100,827,1705,85.2367260442579,12094.1916848398
"2020/2021",2021,123,123,100,900,1715,81.4489916041161,12309.6477619342
"2021/2022",2022,123,123,100,602,1537.5,79.7740539605084,14066.5486024916
"2022/2023",2023,123,123,100,611,1517.5,81.262174380764,14186.1472579392
"2023/2024",2024,123,123,100,930,1700.5,81.641824463652,12039.262949113
"2024/2025",2025,123,123,100,704,1548,80.4563245955719,14022.2273756485
"2025/2026",2026,123,123,100,813,1609.5,82.0727465758846,13115.7393638473
"2026/2027",2027,123,123,100,812,1691.5,82.0731534091074,12846.4415539161
"2027/2028",2028,123,123,100,745,1554.5,78.7735764485983,13945.6834888067
"2028/2029",2029,123,123,100,931,1854.5,86.1471246999722,10989.0948137059
"2029/2030",2030,123,123,100,657,1518,79.4050692317896,14227.7135739229
"2030/2031",2031,123,123,100,845,1711,85.3554985425017,12122.315707895
"2031/2032",2032,123,123,100,609,1669,81.1206691967564,12968.8633819302
"2032/2033",2033,123,123,100,1008,1895,87.2720198092156,10367.3674260695
"2033/2034",2034,123,123,100,790,1658.5,81.6674230802055,12718.3108551623
"2034/2035",2035,123,123,100,652,1559,78.589369381245,14290.5689441403
"2035/2036",2036,123,123,100,709,1729,83.3021944868578,12633.3876616657
"2036/2037",2037,123,123,100,783,1479,76.0521067575228,14104.0839609765
"2037/2038",2038,123,123,100,954,1823,86.1960754810298,11012.5680047646
"2038/2039",2039,123,123,100,746,1595.5,80.5576561223988,13559.5183458291
"2039/2040",2040,123,123,100,777,1644.5,80.6912705425593,12894.0863253931
"2040/2041",2041,123,123,100,806,1700.5,81.0890598862688,12599.2142477673
"2041/2042",2042,123,123,100,854,1778,83.3938686618849,11883.0691080526
"2042/2043",2043,123,123,100,793,1686.5,81.5734352597137,12887.1893030982
"2043/2044",2044,123,123,100,783,1653.5,80.8984441732719,13005.946425817
"2044/2045",2045,123,123,100,604,1606,83.4453188833086,13793.9495372553
"2045/2046",2046,123,123,100,576,1454,75.0660956136517,15190.8227281505
"2046/2047",2047,123,123,100,704,1601.5,78.5815503633021,13995.8525022832
"2047/2048",2048,123,123,100,735,1645,82.5326910589483,12691.4445554502
"2048/2049",2049,123,123,100,990,1749.5,81.6773943878361,11739.7441141396
"2049/2050",2050,123,123,100,822,1541.5,81.0097024690685,12931.4979057764
"2050/2051",2051,123,123,100,913,1722.5,82.1580007640277,12134.1106419764
"2051/2052",2052,123,123,100,993,1917,87.8371122928538,10370.1379348934
"2052/2053",2053,123,123,100,956,1776,84.3836531562074,11289.2358193132
"2053/2054",2054,123,123,100,835,1777.5,83.9576443622309,12077.6254778351
"2054/2055",2055,123,123,100,847,1790,86.2371522778913,11639.3350073681
"2055/2056",2056,123,123,100,999,1807.5,84.4651060428514,10669.445347826
"2056/2057",2057,123,123,100,977,1894,82.2692537633438,10846.8977205739
"2057/2058",2058,123,123,100,977,1812.5,87.6052855657645,10740.9169656169
"2058/2059",2059,123,123,100,813,1690,83.6107946633983,12537.5994661618
"2059/2060",2060,123,123,100,885,1691.5,80.829742143047,12233.2796616126
"2060/2061",2061,123,123,100,796,1695.5,82.723413693875,12180.0559219355
"2061/2062",2062,123,123,100,985,1904.5,86.4526039235698,10612.9415947581
"2062/2063",2063,123,123,100,774,1669,80.129944211676,12809.9657339714
"2063/2064",2064,123,123,100,934,1806,85.9184549014935,10828.2847462213
"2064/2065",2065,123,123,100,695,1668,80.5340809810004,13134.8918975852
"2065/2066",2066,123,123,100,831,1593.5,78.6365155770345,13231.3325597392
"2066/2067",2067,123,123,100,859,1836.5,88.3080430002756,11062.8263809625
"2067/2068",2068,123,123,100,788,1618,78.4896401329643,13419.2392260069
"2068/2069",2069,123,123,100,600,1422.5,76.475235131993,15059.2842413774
