"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,405,-174.5,22.0544816384296,28602.2991237224
"2000/2001",2001,123,123,100,325,-369.5,16.9351623721554,30322.4721927932
"2001/2002",2002,123,123,100,408,-256.5,20.8605175289521,29643.3456784313
"2002/2003",2003,123,123,100,402,-156,23.2918772207118,29018.1843421662
"2003/2004",2004,123,123,100,445,-201.5,21.1980892095653,29246.7537823905
"2004/2005",2005,123,123,100,377,-250,17.4696779085949,29649.4059513039
"2005/2006",2006,123,123,100,423,-258,19.986140434281,30172.3654238543
"2006/2007",2007,123,123,100,485,-182.5,25.0008860464761,28360.5941628816
"2007/2008",2008,123,123,100,337,-437.5,17.9451404037888,30338.3406774149
"2008/2009",2009,123,123,100,378,-290,19.7073108626351,29226.6022694221
"2009/2010",2010,123,123,100,419,7,25.7311220265324,27783.0705966329
"2010/2011",2011,123,123,100,290,-380,12.1383908976485,31835.0475148456
"2011/2012",2012,123,123,100,401,-119,22.6899977638395,28662.4955525764
"2012/2013",2013,123,123,100,435,-5,28.3987057902742,27472.4273952239
"2013/2014",2014,123,123,100,390,-288,19.8892768731698,29606.12941912
"2014/2015",2015,123,123,100,422,-275.5,18.5619357665214,29298.0222879036
"2015/2016",2016,123,123,100,310,-314.5,15.1751422870306,30523.3585707385
"2016/2017",2017,123,123,100,274,-615,10.0104551484712,32141.623407474
"2017/2018",2018,123,123,100,263,-463.5,16.803520370776,30973.3737452005
"2018/2019",2019,123,123,100,477,-68,25.4809870277543,27160.2697238643
"2019/2020",2020,123,123,100,426,-141.5,14.4067059784585,29237.8997192585
"2020/2021",2021,123,123,100,391,-234.5,21.6917894660285,29694.3630251475
"2021/2022",2022,123,123,100,276,-339.5,14.2151447197134,30332.1216083271
"2022/2023",2023,123,123,100,306,-535,14.1125164164952,31880.6402838556
"2023/2024",2024,123,123,100,497,-86.5,21.1304617948668,27933.8867375092
"2024/2025",2025,123,123,100,362,-333,20.2379988063345,29303.04511117
"2025/2026",2026,123,123,100,394,-301.5,22.5155999612535,29500.8714057542
"2026/2027",2027,123,123,100,321,-416.5,9.31199231683274,31175.374049006
"2027/2028",2028,123,123,100,357,-403,13.5301260838007,30517.0820510532
"2028/2029",2029,123,123,100,417,-24.5,30.5674783955826,27818.2907651183
"2029/2030",2030,123,123,100,371,-491,12.455524232153,31690.8222180028
"2030/2031",2031,123,123,100,390,-73.5,29.5978917427656,27921.0471470319
"2031/2032",2032,123,123,100,296,-425.5,19.1873827465864,30735.5192330633
"2032/2033",2033,123,123,100,434,90.5,26.9639667522753,26965.7648107111
"2033/2034",2034,123,123,100,415,-236,19.724900961322,29252.0631401008
"2034/2035",2035,123,123,100,297,-499,12.4037394138116,32077.3090104093
"2035/2036",2036,123,123,100,278,-352.5,16.1867585167436,31073.8508408163
"2036/2037",2037,123,123,100,411,-346.5,23.3838463701472,28949.3327979124
"2037/2038",2038,123,123,100,414,0,22.5269688603786,27050.5341854496
"2038/2039",2039,123,123,100,330,-373,9.79145417089921,31548.7467891108
"2039/2040",2040,123,123,100,395,-337,18.9304070511845,30258.3298679325
"2040/2041",2041,123,123,100,412,-345,18.8025109814652,30662.5961859371
"2041/2042",2042,123,123,100,358,-188.5,15.82946651661,29318.8168469202
"2042/2043",2043,123,123,100,410,-303,20.30158512193,30673.2492294507
"2043/2044",2044,123,123,100,347,-262,19.8878234800511,30104.9985302836
