"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1808,2092,91.4378696560911,4226.52386543088
"2000/2001",2001,123,123,100,1743,2153.5,92.545314839965,4614.39098567626
"2001/2002",2002,123,123,100,1782,2184,92.6548517448053,4287.50902636559
"2002/2003",2003,123,123,100,1757,2055,88.8000743040928,4159.2082110426
"2003/2004",2004,123,123,100,1865,2143,90.6103043686642,3953.4334322706
"2004/2005",2005,123,123,100,1753,2168,90.850392893744,4405.90217818652
"2005/2006",2006,123,123,100,1668,2097.5,93.2328847136048,4269.62118404568
"2006/2007",2007,123,123,100,1674,1955.5,87.855068580091,4435.6248147476
"2007/2008",2008,123,123,100,1525,2096,90.9734593347143,5973.75037250819
"2008/2009",2009,123,123,100,1677,2009,90.3062417723736,4694.02644493291
"2009/2010",2010,123,123,100,1923,2119,91.4245208853201,3307.67827170331
"2010/2011",2011,123,123,100,1848,2391,95.3117035589753,3837.93411432835
"2011/2012",2012,123,123,100,1660,2144,90.961164495028,4282.27366952063
"2012/2013",2013,123,123,100,1777,2043.5,89.2336643174458,3335.17717381485
"2013/2014",2014,123,123,100,1753,2134.5,92.9147537276795,4605.76093670505
"2014/2015",2015,123,123,100,1701,2087,92.0363606869059,4782.19975559914
"2015/2016",2016,123,123,100,1773,2241.5,94.0442636098041,4801.31499780004
"2016/2017",2017,123,123,100,1538,2122,92.861893829981,6303.50739068759
"2017/2018",2018,123,123,100,1673,2135.5,91.5309749997441,5244.95905437856
"2018/2019",2019,123,123,100,1649,1996,88.2369763171369,3921.19643832766
"2019/2020",2020,123,123,100,1784,2239.5,92.7640574385341,3888.4379011828
"2020/2021",2021,123,123,100,1810,2129.5,90.7294246189031,4262.865238311
"2021/2022",2022,123,123,100,1633,2199.5,92.5020059773415,5615.04721502145
"2022/2023",2023,123,123,100,1655,2259,93.5619542490567,4845.09415978007
"2023/2024",2024,123,123,100,1750,2047,91.1871251795369,4537.97021974577
"2024/2025",2025,123,123,100,1629,2023.5,87.8046522689069,5566.62192691723
"2025/2026",2026,123,123,100,1620,2062.5,89.2783163326976,4783.72016341472
"2026/2027",2027,123,123,100,1756,2276.5,93.8139198127546,4892.52488090959
"2027/2028",2028,123,123,100,1683,2071.5,90.6388992329248,5582.39674241748
"2028/2029",2029,123,123,100,1971,2086,90.0282151307347,3502.07479430013
"2029/2030",2030,123,123,100,1542,2164,92.7466285810333,5538.46601509769
"2030/2031",2031,123,123,100,1803,2059,89.6559552526151,4161.39127082122
"2031/2032",2032,123,123,100,1853,2322.5,92.8445770077951,4089.77198273921
"2032/2033",2033,123,123,100,1985,2094,90.6374605516057,3181.99989897665
"2033/2034",2034,123,123,100,1688,2104.5,93.625461429092,4630.12370205228
"2034/2035",2035,123,123,100,1697,2206,94.1069828761993,5243.80987986457
"2035/2036",2036,123,123,100,1925,2201,92.1884758697797,3940.83669205336
"2036/2037",2037,123,123,100,1586,1904,86.8548696686958,6100.86232789326
"2037/2038",2038,123,123,100,1806,2062.5,90.7240658212449,3959.77837895462
"2038/2039",2039,123,123,100,1775,2241,90.9418804703482,5318.81139287772
