"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,899,285,15.5866131582309,23710.873695974
"2000/2001",2001,123,123,100,865,217,11.1893410722275,24427.1253588093
"2001/2002",2002,123,123,100,923,235.5,14.2805721009504,24324.8909184601
"2002/2003",2003,123,123,100,900,263.5,15.5830212712734,23747.8957959948
"2003/2004",2004,123,123,100,917,244.5,13.7708704538933,23861.954343215
"2004/2005",2005,123,123,100,936,283,11.7424314591882,23916.5228637484
"2005/2006",2006,123,123,100,851,175.5,12.7926805901854,24695.0331523172
"2006/2007",2007,123,123,100,873,308.5,17.108028091193,23495.8143451229
"2007/2008",2008,123,123,100,862,222,8.73121941929097,24403.5354442447
"2008/2009",2009,123,123,100,886,224.5,14.1864811643259,23894.052158058
"2009/2010",2010,123,123,100,1004,360.5,18.3067627638458,23050.7710146861
"2010/2011",2011,123,123,100,873,236.5,7.84060616889877,25014.3248295062
"2011/2012",2012,123,123,100,920,291,16.4988759270615,23632.2717637755
"2012/2013",2013,123,123,100,953,310,14.7110984328818,23279.4267761805
"2013/2014",2014,123,123,100,871,208.5,13.8365440487739,24425.2367390813
"2014/2015",2015,123,123,100,924,236.5,11.6558242001054,24005.2457370351
"2015/2016",2016,123,123,100,901,225,5.79130469577365,24889.9104266921
"2016/2017",2017,123,123,100,793,149.5,7.06656852160643,25526.6516187394
"2017/2018",2018,123,123,100,830,176.5,9.81210067165856,25207.0175851621
"2018/2019",2019,123,123,100,877,240.5,17.6569743503856,23046.9299523633
"2019/2020",2020,123,123,100,933,261,7.97953238194663,24075.4768736095
"2020/2021",2021,123,123,100,961,288,12.8449995903451,23807.453394976
"2021/2022",2022,123,123,100,891,267.5,8.82012592332762,24509.5746009301
"2022/2023",2023,123,123,100,786,196.5,9.92089988842139,25200.1754757934
"2023/2024",2024,123,123,100,982,251.5,10.7665317398522,23354.3645298984
"2024/2025",2025,123,123,100,841,236,13.3880063648191,24009.3235998913
"2025/2026",2026,123,123,100,818,201,12.0231590470585,24616.7992322333
"2026/2027",2027,123,123,100,921,193.5,6.89956071213089,24808.0638779025
"2027/2028",2028,123,123,100,850,166.5,11.010648770425,24859.8016898436
