"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,945,388.5,22.8434678533557,22676.3189491927
"2000/2001",2001,123,123,100,903,330,21.2377876810861,23336.4406044356
"2001/2002",2002,123,123,100,961,344.5,19.3700361095928,23181.7537570939
"2002/2003",2003,123,123,100,943,378.5,22.3178433649539,22539.4484166257
"2003/2004",2004,123,123,100,963,339.5,22.1421481866306,22638.8707893585
"2004/2005",2005,123,123,100,996,396.5,21.1925919170063,22983.0037026103
"2005/2006",2006,123,123,100,906,284,23.819950655449,23532.3757125582
"2006/2007",2007,123,123,100,938,420.5,25.1512659878276,22331.8597786997
"2007/2008",2008,123,123,100,900,327,13.9000550431846,23725.8882424003
"2008/2009",2009,123,123,100,923,338,22.1515251288523,22826.4372212241
"2009/2010",2010,123,123,100,1055,464,29.2783296620657,21751.6833176663
"2010/2011",2011,123,123,100,920,349.5,12.1687877545415,23854.2038381266
"2011/2012",2012,123,123,100,942,378.5,20.3800993972989,22533.8750009073
"2012/2013",2013,123,123,100,1008,422,26.9847613217211,21944.7957573733
"2013/2014",2014,123,123,100,904,315,17.450423488432,23398.3611503129
"2014/2015",2015,123,123,100,967,344.5,24.2619913897466,22992.4053941264
"2015/2016",2016,123,123,100,945,330.5,14.9915089864065,23902.2914128802
"2016/2017",2017,123,123,100,835,257,12.1339571889786,24773.0132409197
"2017/2018",2018,123,123,100,875,299,19.161881082635,24239.456267745
"2018/2019",2019,123,123,100,919,352.5,24.7712262453579,21959.6974617378
"2019/2020",2020,123,123,100,988,371.5,18.6130083057,22924.6551250708
"2020/2021",2021,123,123,100,1001,383.5,22.0310984499557,22688.8121540805
"2021/2022",2022,123,123,100,939,365.5,14.9529545648351,23711.6333019834
"2022/2023",2023,123,123,100,841,331.5,20.9307901225128,24123.1520830034
"2023/2024",2024,123,123,100,1026,345.5,21.8987084856926,22353.8348160414
"2024/2025",2025,123,123,100,901,337,18.4489548898814,23172.2986879745
"2025/2026",2026,123,123,100,872,321.5,17.3578548997888,23544.2755257776
"2026/2027",2027,123,123,100,972,301,15.6437217979178,23907.8366217688
"2027/2028",2028,123,123,100,902,274,19.2747305165509,23994.8172891084
"2028/2029",2029,123,123,100,988,405,29.870330034573,22024.1067280699
"2029/2030",2030,123,123,100,894,280.5,9.87599434505785,24329.6964868321
"2030/2031",2031,123,123,100,993,411.5,21.3303209392259,22418.1282975478
"2031/2032",2032,123,123,100,914,386.5,19.0227282414725,23444.2425473752
"2032/2033",2033,123,123,100,1067,446,28.3677090905002,21537.3019728339
"2033/2034",2034,123,123,100,960,352,19.1868432722609,22880.2426331565
"2034/2035",2035,123,123,100,877,312.5,13.3605001845498,24584.3303978001
"2035/2036",2036,123,123,100,913,382.5,19.5288801787676,23463.8485191585
"2036/2037",2037,123,123,100,917,284.5,19.9175641346903,23399.1764439871
"2037/2038",2038,123,123,100,1034,406,26.8854254061808,21709.0791526739
"2038/2039",2039,123,123,100,987,323,15.6636907565089,23867.3518077317
"2039/2040",2040,123,123,100,934,316,20.2929117490495,23488.8224098212
"2040/2041",2041,123,123,100,963,335,18.8598226636103,23365.128505406
"2041/2042",2042,123,123,100,990,386.5,19.4392900154389,22735.6438744958
"2042/2043",2043,123,123,100,941,340.5,16.0915631734777,23529.8933215346
"2043/2044",2044,123,123,100,926,327.5,22.127968345465,23665.2925952338
"2044/2045",2045,123,123,100,929,370,11.5400810208694,24162.0607223418
"2045/2046",2046,123,123,100,829,298,12.8285037939736,24794.5883735605
"2046/2047",2047,123,123,100,925,310,15.8588301595337,23966.879973684
"2047/2048",2048,123,123,100,941,336.5,20.5853165035644,23452.923305714
"2048/2049",2049,123,123,100,950,362,21.877396920542,22223.6792262532
"2049/2050",2050,123,123,100,903,345,23.4894503120731,22157.2700367216
"2050/2051",2051,123,123,100,972,388.5,26.3395120638318,22351.9378197193
"2051/2052",2052,123,123,100,1053,442,33.6732620175326,21424.9536597403
"2052/2053",2053,123,123,100,1000,357,24.5416353171879,22156.3051693588
"2053/2054",2054,123,123,100,988,405.5,23.6797860990421,22405.5403415244
