"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,786,175,8.75918413840852,25637.4772067899
"2000/2001",2001,123,123,100,723,114,10.2828438725484,26273.4021535129
"2001/2002",2002,123,123,100,786,152.5,2.70130416869145,26113.611266071
"2002/2003",2003,123,123,100,791,188,12.1595374013743,25616.363463067
"2003/2004",2004,123,123,100,803,182,9.85791218112153,25731.6496385909
"2004/2005",2005,123,123,100,779,201.5,7.37266664637079,25664.6870853253
"2005/2006",2006,123,123,100,755,81,11.0227961514368,26568.6775549705
"2006/2007",2007,123,123,100,748,210,11.9695164060361,25384.9322118337
"2007/2008",2008,123,123,100,697,105,7.22024851098091,26014.6020638049
"2008/2009",2009,123,123,100,759,129,9.23293800621686,25732.5519903436
"2009/2010",2010,123,123,100,863,307,13.5296749766873,24812.0105113176
"2010/2011",2011,123,123,100,719,136.5,2.67488654765803,26841.9317874846
"2011/2012",2012,123,123,100,791,187,12.4057329942693,25317.259161144
"2012/2013",2013,123,123,100,857,243,8.46705451688779,25101.3569518055
"2013/2014",2014,123,123,100,772,110.5,7.02247790027505,26303.8939089056
"2014/2015",2015,123,123,100,811,159,5.01386538223392,25739.8331739425
"2015/2016",2016,123,123,100,761,123.5,3.94898034095471,26638.2280387937
"2016/2017",2017,123,123,100,646,19.5,3.17265656335749,27259.1432074748
"2017/2018",2018,123,123,100,680,64,7.05796254790968,27102.447279077
"2018/2019",2019,123,123,100,778,168.5,11.56768351092,24923.5288789659
"2019/2020",2020,123,123,100,816,199.5,5.0612255861241,25661.3623133088
"2020/2021",2021,123,123,100,808,205.5,7.70724324573916,25635.6692282986
"2021/2022",2022,123,123,100,733,142,9.03194566877187,26209.2032819858
"2022/2023",2023,123,123,100,617,63.5,6.6797089580491,27122.3000762616
"2023/2024",2024,123,123,100,869,220.5,9.20393129525442,24924.7558257976
"2024/2025",2025,123,123,100,694,121,7.36146735343877,25897.728783112
"2025/2026",2026,123,123,100,717,89.5,10.7521254719106,26582.7953660595
"2026/2027",2027,123,123,100,792,124.5,1.0077637409473,26492.8671747986
"2027/2028",2028,123,123,100,727,62,3.54447666408521,26530.3610072783
"2028/2029",2029,123,123,100,822,223.5,9.05463988953474,25275.285786489
"2029/2030",2030,123,123,100,704,55.5,2.51431507810636,26886.8624980799
"2030/2031",2031,123,123,100,816,217.5,9.6903714227964,25303.0576245007
"2031/2032",2032,123,123,100,684,145,7.0399300850957,26482.5037305029
"2032/2033",2033,123,123,100,908,301.5,11.7557821305342,24556.4570040917
"2033/2034",2034,123,123,100,790,165,7.43084777140729,25586.2234512498
"2034/2035",2035,123,123,100,677,69.5,4.41149396589719,27423.2217379464
"2035/2036",2036,123,123,100,707,145.5,9.52151560911011,26778.6712607956
"2036/2037",2037,123,123,100,760,80.5,10.0372421486774,25892.9283618648
"2037/2038",2038,123,123,100,876,264,8.8889629526696,24386.8339432958
"2038/2039",2039,123,123,100,783,157,1.84849885073618,26423.8674723557
"2039/2040",2040,123,123,100,753,138,5.21501180360838,26255.6547748232
"2040/2041",2041,123,123,100,767,144.5,6.77453290616648,26283.8858967535
"2041/2042",2042,123,123,100,823,210,11.3083087769756,25522.2039299873
"2042/2043",2043,123,123,100,774,150.5,4.95901692593441,26439.5377827454
"2043/2044",2044,123,123,100,754,120,7.65243559242293,26627.26301642
"2044/2045",2045,123,123,100,696,133.5,2.68408171431878,27001.5938959178
"2045/2046",2046,123,123,100,612,47.5,6.16553313211756,27540.9386952138
"2046/2047",2047,123,123,100,713,86,4.03552580732782,26593.8389754146
"2047/2048",2048,123,123,100,750,133.5,7.30499807489451,26251.6239484884
"2048/2049",2049,123,123,100,841,176.5,13.545552548939,25323.1697036661
"2049/2050",2050,123,123,100,745,130,13.4001749083426,24879.5031480715
"2050/2051",2051,123,123,100,829,206,12.0276627500611,25147.2574012065
"2051/2052",2052,123,123,100,884,289,12.9891388765394,24487.9254356194
"2052/2053",2053,123,123,100,844,223.5,7.05278954676942,25116.6989929192
"2053/2054",2054,123,123,100,808,206,8.78899494038768,25245.36526943
"2054/2055",2055,123,123,100,834,204,3.69136861620422,25617.7273866273
"2055/2056",2056,123,123,100,848,192.5,7.30591950625683,25298.2442991631
"2056/2057",2057,123,123,100,850,271,15.4969883316608,24966.0551974466
"2057/2058",2058,123,123,100,863,173.5,6.76301211728327,25301.5202252269
"2058/2059",2059,123,123,100,794,189.5,5.61121280472594,25866.687046824
"2059/2060",2060,123,123,100,792,143.5,7.15919036840086,25636.2946636686
"2060/2061",2061,123,123,100,770,105,3.90404599021349,26730.8574844329
"2061/2062",2062,123,123,100,822,162.5,9.30563170366531,25727.7714000298
"2062/2063",2063,123,123,100,785,134,3.56178132428147,26245.9856398124
"2063/2064",2064,123,123,100,845,253,8.76037313680183,24439.7987051168
"2064/2065",2065,123,123,100,779,153.5,2.5875142218207,26472.189029674
"2065/2066",2066,123,123,100,777,117,8.22388278293965,25931.6199180204
"2066/2067",2067,123,123,100,845,217,6.36199308337166,25554.2559289737
"2067/2068",2068,123,123,100,728,146,7.25699808348077,26251.0004936336
"2068/2069",2069,123,123,100,704,31.5,1.01234925250026,27034.2480855854
"2069/2070",2070,123,123,100,737,98,4.73531049448388,26820.9016629234
"2070/2071",2071,123,123,100,910,268.5,12.8267314322686,24683.5556171797
"2071/2072",2072,123,123,100,854,235.5,10.3556521377625,25246.0413181353
"2072/2073",2073,123,123,100,854,221.5,12.6588033040003,24215.1934488313
"2073/2074",2074,123,123,100,996,333.5,15.7008278652233,23643.2790138032
"2074/2075",2075,123,123,100,835,260,15.1904088102465,25094.3535725437
"2075/2076",2076,123,123,100,784,164,6.92744834217751,26017.3591388427
"2076/2077",2077,123,123,100,733,59,9.04702292071693,26588.9218533216
"2077/2078",2078,123,123,100,843,215,9.94413079040396,25125.7760844762
"2078/2079",2079,123,123,100,838,219,4.06531669848312,25510.1174277021
"2079/2080",2080,123,123,100,781,121.5,9.19790947453714,26112.3806158043
"2080/2081",2081,123,123,100,915,293,12.804703308522,24108.1307512261
"2081/2082",2082,123,123,100,832,215,9.78012105168182,24923.3778420566
"2082/2083",2083,123,123,100,783,174.5,9.04891200923078,25779.1769748535
"2083/2084",2084,123,123,100,824,177.5,6.49980225830052,25587.2014735313
"2084/2085",2085,123,123,100,785,122,9.57057726946402,25994.6995577654
"2085/2086",2086,123,123,100,669,90,2.24348536077616,26892.9006298212
"2086/2087",2087,123,123,100,925,253,10.1422259782586,24136.1621394278
"2087/2088",2088,123,123,100,738,141.5,10.177041505645,26108.2130171638
"2088/2089",2089,123,123,100,828,213,16.8322157287059,24676.2947030524
"2089/2090",2090,123,123,100,809,156.5,7.00928949171998,26143.5323919728
"2090/2091",2091,123,123,100,793,257,10.8614990188458,25787.7596591758
"2091/2092",2092,123,123,100,789,199,10.6959099591605,25198.7584962146
"2092/2093",2093,123,123,100,598,2.5,8.57956768968211,27674.847916672
"2093/2094",2094,123,123,100,674,146,4.90255568175371,27091.28082758
"2094/2095",2095,123,123,100,845,174,8.25067514213436,25452.2430469487
"2095/2096",2096,123,123,100,931,327,8.90702604411683,24845.9171823692
"2096/2097",2097,123,123,100,746,159,5.00341669455554,26553.1006367318
"2097/2098",2098,123,123,100,762,188,5.56988805695414,26258.7646095213
"2098/2099",2099,123,123,100,863,252,10.0923062846917,24635.8653719407
"2099/2100",2100,123,123,100,688,73.5,4.31853948635865,27085.9963009208
