"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,715,234,13.7591962883548,26050.1925736792
"2000/2001",2001,123,123,100,627,160.5,10.0932321983012,26829.6440374485
"2001/2002",2002,123,123,100,696,218.5,9.48174010177085,26575.0244721743
"2002/2003",2003,123,123,100,723,246.5,15.1640386437682,25950.0592893194
"2003/2004",2004,123,123,100,714,255,13.9271980887703,26012.1878741691
"2004/2005",2005,123,123,100,688,243.5,10.1751205835564,26318.0647962458
"2005/2006",2006,123,123,100,668,150,12.8192031492878,26990.2366921525
"2006/2007",2007,123,123,100,689,284,19.6224342641779,25761.6326932498
"2007/2008",2008,123,123,100,606,121,9.93686146357527,27033.6613985973
"2008/2009",2009,123,123,100,692,181.5,13.8989885636553,26155.2351634685
"2009/2010",2010,123,123,100,772,378,18.0289153305374,25066.9590974003
"2010/2011",2011,123,123,100,610,155.5,7.8989401254168,27486.3986318511
"2011/2012",2012,123,123,100,712,229,14.4368609312442,25876.5256627481
"2012/2013",2013,123,123,100,763,327,15.4053012644833,25317.5777090008
"2013/2014",2014,123,123,100,668,150,10.3995922727774,26893.559254969
"2014/2015",2015,123,123,100,721,213.5,9.24316464267378,26251.0217398251
"2015/2016",2016,123,123,100,669,150.5,5.38792342966281,27368.9502300564
"2016/2017",2017,123,123,100,543,13.5,6.44057297141089,28399.7622516421
"2017/2018",2018,123,123,100,586,59,14.246215373218,27858.2970157356
"2018/2019",2019,123,123,100,745,254.5,17.1990283407135,25076.8421416201
"2019/2020",2020,123,123,100,711,227,7.84427852565801,26292.2295649613
"2020/2021",2021,123,123,100,720,273,13.9894560418176,26010.8589992553
"2021/2022",2022,123,123,100,599,130.5,11.1258830307604,27220.3926030376
"2022/2023",2023,123,123,100,523,77,10.874329523662,27786.9894505702
"2023/2024",2024,123,123,100,796,295.5,15.9630091467513,25419.3922062907
"2024/2025",2025,123,123,100,616,171.5,13.5429961570838,26588.6841163952
"2025/2026",2026,123,123,100,657,129,12.0622295756312,27106.534247994
"2026/2027",2027,123,123,100,678,156.5,6.47852043321171,27301.9702496226
"2027/2028",2028,123,123,100,633,111,7.87034322215902,27351.8492332143
"2028/2029",2029,123,123,100,749,302,20.4718385698038,25415.6461448413
"2029/2030",2030,123,123,100,606,91,7.70424199265278,27779.4955271501
"2030/2031",2031,123,123,100,720,267,16.9373007517114,25778.2033007704
"2031/2032",2032,123,123,100,582,166.5,7.67900319863912,27033.7220456651
"2032/2033",2033,123,123,100,817,360.5,19.3958611059076,24841.1266763867
"2033/2034",2034,123,123,100,703,230,12.4374448596025,26164.1423610784
"2034/2035",2035,123,123,100,560,77,7.36103006571346,28259.6811445532
"2035/2036",2036,123,123,100,622,166.5,11.7865811550341,27194.4585170066
"2036/2037",2037,123,123,100,679,145.5,14.0485619080735,26709.5021854504
"2037/2038",2038,123,123,100,804,326,16.370293255911,24820.0413361927
"2038/2039",2039,123,123,100,671,174,5.80816229164759,27266.586851506
"2039/2040",2040,123,123,100,666,179.5,10.6292727931993,26893.0538911349
"2040/2041",2041,123,123,100,672,207,9.29687866752556,26759.4673452717
"2041/2042",2042,123,123,100,724,255.5,11.9727779905763,26098.2293077805
"2042/2043",2043,123,123,100,672,198,7.88691760209372,26973.9001510078
