"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,530,-70,4.51648689896667,28672.6547687793
"2000/2001",2001,123,123,100,464,-169.5,3.85773386040122,29276.4798521163
"2001/2002",2002,123,123,100,503,-86,1.30505333460992,28984.5577122265
"2002/2003",2003,123,123,100,537,-66,2.68095998710399,28769.2740591646
"2003/2004",2004,123,123,100,542,-60,1.78579328707924,28819.954554248
"2004/2005",2005,123,123,100,497,-87.5,4.23221511162819,28476.6775335962
"2005/2006",2006,123,123,100,500,-176,2.87378832983924,29478.9875730755
"2006/2007",2007,123,123,100,507,-34,8.88811395227963,28308.4566351415
"2007/2008",2008,123,123,100,423,-188.5,1.44381744250948,28692.0516042481
"2008/2009",2009,123,123,100,522,-120,3.88298456798925,28732.1031621106
"2009/2010",2010,123,123,100,547,44,4.98245157973928,27861.8202541594
"2010/2011",2011,123,123,100,438,-200,0.60294615280872,29904.5246082321
"2011/2012",2012,123,123,100,540,-69,6.18554150780174,28216.6473096153
"2012/2013",2013,123,123,100,578,-7.5,6.01651872807651,28234.1045587917
"2013/2014",2014,123,123,100,480,-186,3.36617274684759,29356.3098402482
"2014/2015",2015,123,123,100,540,-96,1.89732686611292,28438.6497630479
"2015/2016",2016,123,123,100,486,-178,1.0028118238711,29494.8033719382
"2016/2017",2017,123,123,100,376,-336,0,30026.7545792365
"2017/2018",2018,123,123,100,417,-286,2.96108899245452,30164.1051066499
"2018/2019",2019,123,123,100,581,-38.5,8.65989814030326,27668.7001072429
"2019/2020",2020,123,123,100,551,-78,2.74916739404867,28492.5018068482
"2020/2021",2021,123,123,100,529,-41,2.88044804525269,28651.9397744576
"2021/2022",2022,123,123,100,418,-212.5,2.31536446259535,29222.7287536771
"2022/2023",2023,123,123,100,372,-258.5,3.97459405628211,30146.9679728146
"2023/2024",2024,123,123,100,610,12.5,3.11838410980792,27545.1050528861
"2024/2025",2025,123,123,100,423,-144.5,5.73337109550992,28804.0587424622
"2025/2026",2026,123,123,100,482,-206.5,3.98169290746841,29650.2433366841
"2026/2027",2027,123,123,100,512,-172.5,0,29216.2749158442
"2027/2028",2028,123,123,100,435,-196.5,1.67088851794512,29179.0694099935
