"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,981,397,26.2010563535222,22024.5585526573
"2000/2001",2001,123,123,100,945,385.5,28.4612628084714,21318.0427477616
"2001/2002",2002,123,123,100,980,421.5,31.1580510122468,22110.1665388071
"2002/2003",2003,123,123,100,949,368,25.4423355374588,22515.3486535545
"2003/2004",2004,123,123,100,987,385.5,22.3488924506832,22195.950212042
"2004/2005",2005,123,123,100,1025,438,34.423859627417,21350.8224724568
"2005/2006",2006,123,123,100,930,345,24.8170286266859,22028.6608185825
"2006/2007",2007,123,123,100,991,360,24.7173671727619,22189.4331257729
"2007/2008",2008,123,123,100,1096,525.5,39.048213379584,19939.413482711
"2008/2009",2009,123,123,100,928,328.5,28.8445912826811,22346.8729874836
"2009/2010",2010,123,123,100,985,354,22.284040529413,22855.5800387569
"2010/2011",2011,123,123,100,997,400,29.165047858277,21097.6544605701
"2011/2012",2012,123,123,100,911,342.5,26.8821158669579,22327.9530432191
"2012/2013",2013,123,123,100,916,349.5,21.1488640419215,23186.2845939841
"2013/2014",2014,123,123,100,958,364.5,31.986270578515,21494.1276487743
"2014/2015",2015,123,123,100,969,443.5,31.7879862832608,21701.5240562453
"2015/2016",2016,123,123,100,1011,450.5,34.9885145330671,20997.9503001983
"2016/2017",2017,123,123,100,1054,496,42.3484248224366,19504.3337915789
"2017/2018",2018,123,123,100,974,367,34.861888558634,20522.440918369
"2018/2019",2019,123,123,100,894,327,24.6449960748249,23154.0812258536
"2019/2020",2020,123,123,100,976,403,32.737652391965,21809.107385136
"2020/2021",2021,123,123,100,1005,409,27.494194721786,21759.2039984157
"2021/2022",2022,123,123,100,1003,444.5,37.8223662597248,20601.011086144
"2022/2023",2023,123,123,100,1048,377,29.7772811960871,20687.1737383951
"2023/2024",2024,123,123,100,940,457.5,27.8324050898204,22319.2943560351
"2024/2025",2025,123,123,100,1040,473.5,34.6299591418784,20327.1727918237
"2025/2026",2026,123,123,100,978,379.5,31.5347995709545,21363.6383771917
"2026/2027",2027,123,123,100,991,503,31.2049454027118,21105.5567230643
"2027/2028",2028,123,123,100,1050,477,39.2704872767517,20404.19748965
"2028/2029",2029,123,123,100,966,363,21.8466218960432,22697.1377279493
"2029/2030",2030,123,123,100,1038,471.5,38.1309406017831,20756.8402208718
"2030/2031",2031,123,123,100,990,384,26.6846802802238,21979.9376552929
"2031/2032",2032,123,123,100,1047,392.5,28.357037709319,21307.5197852603
"2032/2033",2033,123,123,100,881,328.5,18.9118374534348,23443.2389295008
"2033/2034",2034,123,123,100,986,444,27.4596009499926,21780.0444743293
"2034/2035",2035,123,123,100,1035,473,34.942840256062,20277.0309715541
"2035/2036",2036,123,123,100,1022,383.5,26.9980121172084,21260.3435115716
"2036/2037",2037,123,123,100,1032,499.5,33.1395266716193,20776.2748312382
"2037/2038",2038,123,123,100,936,440.5,24.1269927361088,22589.0624873899
"2038/2039",2039,123,123,100,1031,504,38.0507174253262,20644.2853276464
"2039/2040",2040,123,123,100,986,414,33.6826211786952,21500.7316321284
"2040/2041",2041,123,123,100,1063,457.5,29.9456060113839,21520.975695923
"2041/2042",2042,123,123,100,955,405.5,26.6292822160549,21962.6390645513
"2042/2043",2043,123,123,100,1045,445.5,28.3172801241672,21435.3239103463
"2043/2044",2044,123,123,100,1003,413,26.3764545546526,21376.5660502124
"2044/2045",2045,123,123,100,1050,414,31.3701865626044,20432.4186407453
"2045/2046",2046,123,123,100,984,381.5,40.1176798299653,19572.5714656436
"2046/2047",2047,123,123,100,1094,530,36.2806353950305,20369.2572202655
"2047/2048",2048,123,123,100,936,373,28.4545155373523,21754.151630003
"2048/2049",2049,123,123,100,978,368,25.1879038488196,22427.2505059317
"2049/2050",2050,123,123,100,932,377,27.7714956233408,21609.774175548
"2050/2051",2051,123,123,100,943,396,28.3461319119974,21951.5410151714
"2051/2052",2052,123,123,100,996,380,20.4647458458066,23201.7959697079
"2052/2053",2053,123,123,100,860,291,25.6540646949336,22992.6940433816
"2053/2054",2054,123,123,100,1036,416,28.8376918007887,21501.2272229809
"2054/2055",2055,123,123,100,992,425,23.0655477420025,22398.2977158371
"2055/2056",2056,123,123,100,896,327.5,19.2783697942436,23745.0489531746
"2056/2057",2057,123,123,100,1008,391.5,19.7705099206551,22642.4814005382
"2057/2058",2058,123,123,100,799,240.5,20.8466424715903,24048.9591641687
"2058/2059",2059,123,123,100,1021,474,30.1213411532967,21586.7040828578
"2059/2060",2060,123,123,100,960,427,25.2695657932627,22138.6511035413
"2060/2061",2061,123,123,100,970,354,28.5703462154124,21925.2362207258
"2061/2062",2062,123,123,100,918,333.5,24.1709816729808,23009.5914407326
"2062/2063",2063,123,123,100,1028,501,32.2558383066198,21285.8301865011
"2063/2064",2064,123,123,100,964,396,17.5373666645551,22961.1455302583
"2064/2065",2065,123,123,100,1023,494.5,31.1436316507175,20934.2006438132
"2065/2066",2066,123,123,100,1016,468,32.7448313469745,21084.4783239895
"2066/2067",2067,123,123,100,971,395,26.9907585063957,22738.0603775764
"2067/2068",2068,123,123,100,1006,417.5,29.7521289862552,21205.9635240491
"2068/2069",2069,123,123,100,1058,505.5,39.3973228572459,19936.1236937372
"2069/2070",2070,123,123,100,1082,457,32.037072394372,21277.8799445583
"2070/2071",2071,123,123,100,941,400,20.9760207195191,23434.1812025588
"2071/2072",2072,123,123,100,891,371.5,25.4028120510525,22709.5371717447
"2072/2073",2073,123,123,100,944,406,25.1795492598521,23312.6667311247
"2073/2074",2074,123,123,100,835,319.5,10.9147653613427,24655.2597471531
"2074/2075",2075,123,123,100,980,398,20.4980600168333,22843.5735743614
"2075/2076",2076,123,123,100,992,407,24.7569892417232,21782.9732264793
"2076/2077",2077,123,123,100,1015,479,32.1747159091879,20445.7206423972
"2077/2078",2078,123,123,100,947,369.5,19.7373298769789,23040.1195038389
"2078/2079",2079,123,123,100,1004,455.5,26.6722420414981,21646.1411064565
"2079/2080",2080,123,123,100,960,395.5,25.8942054156137,22264.8016457101
"2080/2081",2081,123,123,100,882,390,19.3507427808786,23475.3335344214
"2081/2082",2082,123,123,100,904,346.5,18.2265061449289,23368.908355088
"2082/2083",2083,123,123,100,984,377,26.6702402103492,21788.2533879029
"2083/2084",2084,123,123,100,1045,532,32.1058616155879,21151.2217910066
"2084/2085",2085,123,123,100,925,437,30.842055489642,21312.1624842975
"2085/2086",2086,123,123,100,1063,437.5,33.3033791261014,20363.6383876354
"2086/2087",2087,123,123,100,876,334,22.2517862176414,23915.836016248
"2087/2088",2088,123,123,100,975,373,27.7094837736954,21743.8814100195
"2088/2089",2089,123,123,100,901,292,20.9900134028503,22644.9818433532
"2089/2090",2090,123,123,100,1039,490.5,30.8189425331116,21696.8153718254
"2090/2091",2091,123,123,100,1004,365,22.1244509542153,22185.8669857513
"2091/2092",2092,123,123,100,998,408,26.9882578963143,22372.3851681771
"2092/2093",2093,123,123,100,1020,394.5,40.5065769522789,19082.2900382448
"2093/2094",2094,123,123,100,1067,414,36.1331564133711,20486.7303729998
"2094/2095",2095,123,123,100,999,438.5,26.8565419741531,22117.587760007
"2095/2096",2096,123,123,100,983,376,18.9959164584625,23180.2292786101
"2096/2097",2097,123,123,100,1023,445,30.7660558982961,21167.2908651708
"2097/2098",2098,123,123,100,978,342.5,29.1810644623138,21688.2969038133
"2098/2099",2099,123,123,100,963,420,23.5312648011222,22445.0227142638
"2099/2100",2100,123,123,100,1077,464,36.4256801814131,20619.9001550386
