"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,911,247.5,16.1422509073967,23516.8941144905
"2000/2001",2001,123,123,100,891,231.5,15.3379088152701,22909.8761418865
"2001/2002",2002,123,123,100,922,273,12.4364956597018,23962.4020193952
"2002/2003",2003,123,123,100,882,207.5,11.4122475999836,24069.843759281
"2003/2004",2004,123,123,100,928,238,13.0357980255067,23749.8184472878
"2004/2005",2005,123,123,100,965,273.5,17.831250504668,22960.9930417552
"2005/2006",2006,123,123,100,885,192.5,15.0250757826086,23478.6444990486
"2006/2007",2007,123,123,100,927,230,8.62511262906145,23820.8157366028
"2007/2008",2008,123,123,100,1033,386,27.7968675772481,21756.9990552643
"2008/2009",2009,123,123,100,871,174,16.6331581103415,24088.8127116534
"2009/2010",2010,123,123,100,916,227.5,6.01855074995584,24349.4462174352
"2010/2011",2011,123,123,100,925,254.5,15.3608184269345,22806.6428024769
"2011/2012",2012,123,123,100,856,187,17.2421069451675,23739.7908626912
"2012/2013",2013,123,123,100,865,200.5,8.84233043495104,24737.3897288053
"2013/2014",2014,123,123,100,895,225,16.0848798245884,23292.9134365048
"2014/2015",2015,123,123,100,900,278.5,16.1470173499981,23620.6590561753
"2015/2016",2016,123,123,100,921,307,16.7029421564404,22973.8197965533
"2016/2017",2017,123,123,100,988,344.5,24.1015712550419,21586.3226078032
"2017/2018",2018,123,123,100,916,224.5,17.8209139415957,22249.6302991423
"2018/2019",2019,123,123,100,830,177.5,12.1276665807035,24542.7657751117
"2019/2020",2020,123,123,100,907,260,15.8501858446283,23588.9357636822
"2020/2021",2021,123,123,100,949,289.5,14.5267140631971,23375.3775731721
"2021/2022",2022,123,123,100,954,281.5,23.5396142178388,22359.428114091
"2022/2023",2023,123,123,100,991,239.5,15.5465287618816,22406.6112166527
"2023/2024",2024,123,123,100,876,273.5,18.0412220226797,24149.6518055412
"2024/2025",2025,123,123,100,978,314,21.8863848994902,21987.5027990434
"2025/2026",2026,123,123,100,910,218.5,12.4123999810599,23214.9122943236
"2026/2027",2027,123,123,100,939,335,20.4955638249977,23147.9467849284
"2027/2028",2028,123,123,100,1002,329,23.5492182142387,22293.4063156084
"2028/2029",2029,123,123,100,910,222.5,7.88427864546099,24161.5682676798
"2029/2030",2030,123,123,100,983,315,16.2281528192424,22849.9152203421
"2030/2031",2031,123,123,100,922,219.5,13.7189890510538,23620.8693773043
"2031/2032",2032,123,123,100,992,257,16.2876676140992,23081.5369957672
"2032/2033",2033,123,123,100,818,187,10.4266156357066,24815.5422394476
"2033/2034",2034,123,123,100,924,289,19.7887133443785,23481.1160564944
"2034/2035",2035,123,123,100,958,303,18.9989585760566,22234.5663649403
"2035/2036",2036,123,123,100,971,240.5,13.7547284278888,22774.9258259987
"2036/2037",2037,123,123,100,983,324.5,22.5525876207187,22686.3608514019
"2037/2038",2038,123,123,100,862,267.5,16.1668989053137,23945.8836649326
"2038/2039",2039,123,123,100,972,359,21.6348129143515,22535.5668407744
"2039/2040",2040,123,123,100,909,238.5,17.3301391740945,23452.6499768016
"2040/2041",2041,123,123,100,993,308,10.4649989880405,23353.7641681959
"2041/2042",2042,123,123,100,905,262,16.5296909180306,23707.6248967941
"2042/2043",2043,123,123,100,985,302.5,17.2954158961138,23120.8062217273
"2043/2044",2044,123,123,100,936,259.5,20.1304290917856,23053.6985181076
"2044/2045",2045,123,123,100,995,270,19.4961330232176,22375.844745921
"2045/2046",2046,123,123,100,948,253,26.8901516073939,21236.6310858345
"2046/2047",2047,123,123,100,1028,376.5,18.3976961141383,22431.4082954684
"2047/2048",2048,123,123,100,874,221.5,20.6570707816489,23407.8466231953
"2048/2049",2049,123,123,100,933,229,12.9295314760918,23754.7006676076
"2049/2050",2050,123,123,100,871,231.5,16.6948748427872,23211.3559827888
"2050/2051",2051,123,123,100,884,236,18.2796183667991,23396.7141498383
"2051/2052",2052,123,123,100,919,241.5,7.14377016457911,24718.9109064844
"2052/2053",2053,123,123,100,800,152,17.1698961255921,24488.4066100251
"2053/2054",2054,123,123,100,989,295,18.1044559740412,22777.3624350885
"2054/2055",2055,123,123,100,923,289,16.6993047167924,24069.2816266445
"2055/2056",2056,123,123,100,832,179,7.30666929876043,25284.6913718488
"2056/2057",2057,123,123,100,938,251.5,13.1163297874477,23797.8397679469
"2057/2058",2058,123,123,100,736,81,11.1712328345498,25987.615455634
"2058/2059",2059,123,123,100,961,323,13.8664609516088,23387.7120171152
"2059/2060",2060,123,123,100,897,276,17.666178412212,23967.0388310635
"2060/2061",2061,123,123,100,919,217,13.3309339322691,23572.6707538702
"2061/2062",2062,123,123,100,864,184.5,11.4584736643412,24226.3158262335
"2062/2063",2063,123,123,100,953,339,18.508420145856,23078.844057289
"2063/2064",2064,123,123,100,906,249,11.361913898997,24447.9351419462
"2064/2065",2065,123,123,100,988,363.5,16.3950056527756,22797.435849132
"2065/2066",2066,123,123,100,943,332,20.0220742073216,23045.8899704041
"2066/2067",2067,123,123,100,899,239,12.064849892467,24292.1746463925
"2067/2068",2068,123,123,100,955,266,15.5183517688652,22966.7272118665
"2068/2069",2069,123,123,100,995,337,23.2839405451361,22058.0422851406
"2069/2070",2070,123,123,100,1016,307,15.0408384051668,23271.2030948335
"2070/2071",2071,123,123,100,883,256.5,7.17878068641835,24800.0581978075
"2071/2072",2072,123,123,100,824,222,12.9546088682318,24191.1595043894
"2072/2073",2073,123,123,100,889,247.5,8.8724950609203,24901.0958296228
"2073/2074",2074,123,123,100,776,169.5,6.08150039089765,25777.0750680594
"2074/2075",2075,123,123,100,922,257,8.4183908571631,24147.4823517529
"2075/2076",2076,123,123,100,917,268.5,11.023216183356,23587.354418233
"2076/2077",2077,123,123,100,962,329.5,18.1384612361737,22203.0213370128
"2077/2078",2078,123,123,100,886,219.5,10.0319938367818,24432.5012340089
"2078/2079",2079,123,123,100,951,328.5,13.2589607769528,23217.9344044868
"2079/2080",2080,123,123,100,908,235.5,17.0957463445438,24104.8112390665
"2080/2081",2081,123,123,100,831,225,9.96963365177498,24847.3197608097
"2081/2082",2082,123,123,100,858,214.5,6.033500594928,24992.8281820966
"2082/2083",2083,123,123,100,927,223,16.9325744093023,23299.6204457702
"2083/2084",2084,123,123,100,988,383,14.1107385599353,22941.1586139295
"2084/2085",2085,123,123,100,877,275.5,17.6640824902104,23120.7209676262
"2085/2086",2086,123,123,100,995,298,21.1732840845664,22330.6289689513
"2086/2087",2087,123,123,100,813,188,14.3759982447316,25610.0802325755
"2087/2088",2088,123,123,100,911,228.5,11.1345808606948,23301.2451206017
"2088/2089",2089,123,123,100,843,138.5,11.7920572605503,23949.4076442523
"2089/2090",2090,123,123,100,984,337,12.1629584365312,23539.2556500258
"2090/2091",2091,123,123,100,932,216.5,10.318471187162,23565.1875993889
"2091/2092",2092,123,123,100,933,268.5,10.2167544073529,23884.4077226622
"2092/2093",2093,123,123,100,977,260,26.1868803028763,20798.6004998358
"2093/2094",2094,123,123,100,1017,293.5,17.443183609302,22365.9970837338
"2094/2095",2095,123,123,100,941,289.5,14.2438751655084,23788.6687700609
"2095/2096",2096,123,123,100,934,240.5,8.79746693058109,24557.8861701004
"2096/2097",2097,123,123,100,963,288,14.4167012429148,23056.2823188566
"2097/2098",2098,123,123,100,914,201,12.2478726801435,23271.2609258927
"2098/2099",2099,123,123,100,908,269.5,15.836784989488,23825.2802157747
"2099/2100",2100,123,123,100,1007,318.5,16.4525221414576,22670.9511128757
