"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,815,194,7.15722954245,25110.8470007425
"2000/2001",2001,123,123,100,817,187,14.2774297184754,24353.9766526808
"2001/2002",2002,123,123,100,821,203.5,4.1965748909444,25594.4237876594
"2002/2003",2003,123,123,100,786,149,8.45382262549453,25592.971927
"2003/2004",2004,123,123,100,813,189.5,5.77700015318752,25272.90380143
"2004/2005",2005,123,123,100,880,256,12.6321025273774,24521.6847793836
"2005/2006",2006,123,123,100,805,151,12.5938646464097,24936.6415796897
"2006/2007",2007,123,123,100,844,190,3.97354147430885,25299.7349417605
"2007/2008",2008,123,123,100,958,371.5,18.8146279475051,23302.7063062509
"2008/2009",2009,123,123,100,792,136,13.0721826021394,25649.2468269657
"2009/2010",2010,123,123,100,803,164,5.43577221860706,25819.16325161
"2010/2011",2011,123,123,100,881,222,12.4118105848629,24263.1481904999
"2011/2012",2012,123,123,100,764,132,11.748674649274,25274.9639440984
"2012/2013",2013,123,123,100,740,118,7.18437111799955,26219.1257555536
"2013/2014",2014,123,123,100,833,183.5,10.5581520769123,24817.1701683321
"2014/2015",2015,123,123,100,810,218.5,9.21882025418464,25276.6961360546
"2015/2016",2016,123,123,100,846,275,13.4250996787515,24579.4726531194
"2016/2017",2017,123,123,100,921,327,20.1686646594125,23138.3969506505
"2017/2018",2018,123,123,100,860,200,17.0207579468544,23631.3270052327
"2018/2019",2019,123,123,100,740,99.5,5.88692012227685,26177.8054580397
"2019/2020",2020,123,123,100,817,191,12.2839609854518,25198.7294957417
"2020/2021",2021,123,123,100,851,246,9.63038285349108,24873.8555577795
"2021/2022",2022,123,123,100,878,248.5,17.4997169365316,23892.5063749971
"2022/2023",2023,123,123,100,954,252.5,10.0987388699967,23850.1784139653
"2023/2024",2024,123,123,100,764,199.5,12.1165583713066,25815.4035472544
"2024/2025",2025,123,123,100,938,299.5,14.3415774789029,23450.466661152
"2025/2026",2026,123,123,100,820,179.5,8.12168753981939,24721.1166820279
"2026/2027",2027,123,123,100,839,263.5,11.8030394567037,24831.5465333979
"2027/2028",2028,123,123,100,917,325,15.6775346255652,23842.512436436
"2028/2029",2029,123,123,100,798,163,4.61543389429602,25580.7478386476
"2029/2030",2030,123,123,100,897,285,12.99882946935,24471.3906309772
"2030/2031",2031,123,123,100,829,168.5,11.7755249679598,24998.1699088058
"2031/2032",2032,123,123,100,933,245.5,8.76938947058545,24551.1714584506
"2032/2033",2033,123,123,100,711,80,9.23476283924731,26280.9671608536
