"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,893,215,10.3145884691897,23926.1506692105
"2000/2001",2001,123,123,100,875,182.5,14.8243707008616,23163.2465986574
"2001/2002",2002,123,123,100,892,225,11.0300561838433,24248.8551201418
"2002/2003",2003,123,123,100,856,175.5,9.25335301783109,24174.7080116117
"2003/2004",2004,123,123,100,896,194,11.9392270416615,23942.8656027745
"2004/2005",2005,123,123,100,956,256.5,12.4876587195598,23363.6647373603
"2005/2006",2006,123,123,100,858,138,14.3700031128766,23794.4441727019
"2006/2007",2007,123,123,100,903,184,7.15123148786799,24190.9692643401
"2007/2008",2008,123,123,100,1011,337.5,24.446160272395,22078.8392062952
"2008/2009",2009,123,123,100,858,136,13.7076446611828,24404.1638305559
"2009/2010",2010,123,123,100,903,195.5,7.8118821863701,24543.8701774814
"2010/2011",2011,123,123,100,922,224.5,13.3535615340165,23067.9200422096
"2011/2012",2012,123,123,100,826,124,17.150723398627,23968.6550316598
"2012/2013",2013,123,123,100,841,178,6.78908517755249,24856.5527650395
"2013/2014",2014,123,123,100,884,193,12.4780266569766,23695.7233530153
"2014/2015",2015,123,123,100,894,245,11.7248435883262,24016.6343783885
"2015/2016",2016,123,123,100,903,267.5,15.1343606503029,23312.3654110578
"2016/2017",2017,123,123,100,984,307,23.1208866126521,22051.1937705688
"2017/2018",2018,123,123,100,903,199,17.76597062733,22685.6817482151
"2018/2019",2019,123,123,100,801,131.5,10.0717801459678,24969.8393300527
"2019/2020",2020,123,123,100,897,224,14.1516888398512,23859.894957958
"2020/2021",2021,123,123,100,937,242,12.224122902713,23607.4787309975
"2021/2022",2022,123,123,100,930,238.5,21.4982164514417,22669.8597976039
"2022/2023",2023,123,123,100,982,208.5,12.9846179878972,22746.3990720925
"2023/2024",2024,123,123,100,867,245.5,15.7836584514195,24521.9838217357
"2024/2025",2025,123,123,100,937,256,17.9837947354857,22446.7696375642
"2025/2026",2026,123,123,100,896,201.5,12.4951465501239,23558.0827732645
"2026/2027",2027,123,123,100,916,306.5,14.3644084068709,23594.9131502798
"2027/2028",2028,123,123,100,970,288.5,20.6125783061505,22680.7662764387
"2028/2029",2029,123,123,100,900,182.5,6.68215690820409,24279.3630962488
"2029/2030",2030,123,123,100,958,279,17.497279247763,23311.4642834803
"2030/2031",2031,123,123,100,903,183,11.6638816670805,23816.3177560475
"2031/2032",2032,123,123,100,988,228.5,12.3676206092217,23461.1933969487
"2032/2033",2033,123,123,100,802,141,9.51563346644696,24805.1479425244
"2033/2034",2034,123,123,100,904,255.5,17.0968025811198,23795.4488179428
"2034/2035",2035,123,123,100,927,256,13.4715026692235,22770.7571263318
"2035/2036",2036,123,123,100,943,207,12.4471922739109,23047.2856821166
"2036/2037",2037,123,123,100,965,295,19.0141225106107,22983.6674424661
"2037/2038",2038,123,123,100,835,226.5,15.4896561007697,24186.2766913231
"2038/2039",2039,123,123,100,955,320,18.6479731839413,22723.7324243221
"2039/2040",2040,123,123,100,908,212.5,11.1484293355829,23888.4235101664
"2040/2041",2041,123,123,100,985,271.5,8.82693572179392,23793.3908793028
"2041/2042",2042,123,123,100,868,212.5,13.5015335968461,24048.4587936974
"2042/2043",2043,123,123,100,951,256.5,17.4371759400043,23363.3360995166
"2043/2044",2044,123,123,100,901,211.5,14.8315292283266,23286.6482464946
"2044/2045",2045,123,123,100,975,246.5,13.7331494429209,22798.3796943096
"2045/2046",2046,123,123,100,922,193.5,25.7719391334672,21502.5339696864
"2046/2047",2047,123,123,100,1016,344.5,14.6141180015651,22955.105790162
"2047/2048",2048,123,123,100,862,169,18.9699943848032,23682.7263675309
"2048/2049",2049,123,123,100,889,180.5,11.6402242024378,23850.1260997616
"2049/2050",2050,123,123,100,874,197,13.663707807721,23588.2320423294
"2050/2051",2051,123,123,100,862,197,15.260366868029,23525.8869956797
"2051/2052",2052,123,123,100,895,212,6.90870734851421,24943.9099731408
"2052/2053",2053,123,123,100,781,99.5,15.0975286007575,24727.2320947601
"2053/2054",2054,123,123,100,964,252.5,17.2772957506538,23020.0354437809
"2054/2055",2055,123,123,100,911,239,14.8151874908448,24302.3322607568
"2055/2056",2056,123,123,100,808,144.5,7.146087880967,25565.1895173024
"2056/2057",2057,123,123,100,928,213,8.43499055214386,24032.9302328611
"2057/2058",2058,123,123,100,724,27,9.65430223845772,26425.750983933
"2058/2059",2059,123,123,100,929,265.5,11.9097629177151,23732.8428719705
"2059/2060",2060,123,123,100,890,243.5,11.9392530240689,24308.0961400568
"2060/2061",2061,123,123,100,896,179.5,11.2704351786446,23827.401595437
"2061/2062",2062,123,123,100,842,159,9.13809459621677,24318.5682209535
"2062/2063",2063,123,123,100,935,309,17.0528219431276,23303.9482369898
"2063/2064",2064,123,123,100,876,210,7.4678841331779,24680.547502676
"2064/2065",2065,123,123,100,963,330.5,13.6991038168716,23269.1848107418
"2065/2066",2066,123,123,100,922,304,12.3045232322356,23468.2399813598
"2066/2067",2067,123,123,100,882,213.5,8.04346146824719,24557.8760145977
"2067/2068",2068,123,123,100,922,223,16.5577018851459,23376.5870886464
"2068/2069",2069,123,123,100,976,309,21.4051332160332,22620.095216996
"2069/2070",2070,123,123,100,1004,292.5,10.1335830865416,23636.9117173394
"2070/2071",2071,123,123,100,860,215.5,6.92876047952154,24934.8952157451
"2071/2072",2072,123,123,100,803,161,12.6169903828632,24527.5856875051
"2072/2073",2073,123,123,100,858,191.5,6.78277107237113,25338.8447531089
"2073/2074",2074,123,123,100,770,117,5.45909065209025,25911.2864347072
"2074/2075",2075,123,123,100,911,216.5,7.72260677016402,24105.7649159618
"2075/2076",2076,123,123,100,900,219.5,12.1806036407743,23900.9720918098
"2076/2077",2077,123,123,100,937,282.5,16.9571169579847,22661.7389297364
"2077/2078",2078,123,123,100,874,184.5,6.08928134265375,24763.8078579474
"2078/2079",2079,123,123,100,929,292.5,11.317015776481,23495.0693613933
"2079/2080",2080,123,123,100,872,180.5,13.2415241914323,24420.5604592739
"2080/2081",2081,123,123,100,801,181.5,7.99055419274509,25164.6791070811
"2081/2082",2082,123,123,100,840,175.5,4.76229428822194,25241.2119616009
"2082/2083",2083,123,123,100,922,200,11.8798456543752,23673.6914844792
"2083/2084",2084,123,123,100,946,335,10.163787643912,23508.4329979718
"2084/2085",2085,123,123,100,843,230.5,15.409681003204,23432.3910940727
"2085/2086",2086,123,123,100,982,263.5,19.2262970264944,22840.7900719596
"2086/2087",2087,123,123,100,792,124.5,15.0586522704502,25886.5364121804
"2087/2088",2088,123,123,100,901,189,11.2096059848748,23585.0073101791
"2088/2089",2089,123,123,100,845,119,11.4923518852665,24303.9639619887
"2089/2090",2090,123,123,100,958,290.5,10.6591278334868,23877.2537720706
"2090/2091",2091,123,123,100,910,183.5,11.1165267357014,23606.8078783536
"2091/2092",2092,123,123,100,919,221,7.95570070015037,24169.2056799186
"2092/2093",2093,123,123,100,972,215.5,24.9510712713293,21133.1139461175
"2093/2094",2094,123,123,100,1004,258,14.0247724214153,22775.2975114053
"2094/2095",2095,123,123,100,913,249.5,12.6738116815927,24082.4522460755
"2095/2096",2096,123,123,100,904,202.5,7.71505122797089,24579.0788752651
"2096/2097",2097,123,123,100,944,262,10.0262649424571,23403.8626868911
"2097/2098",2098,123,123,100,898,163,8.9643635008681,23521.0329872342
"2098/2099",2099,123,123,100,884,226,12.5773813598414,24163.8811238771
"2099/2100",2100,123,123,100,991,285,9.79389267572833,23107.8530386053
