"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,874,290.5,17.2062660693174,24077.3245399916
"2000/2001",2001,123,123,100,863,280,22.3884840386895,23217.3795127615
"2001/2002",2002,123,123,100,871,315,15.5647658135032,24227.0786396704
"2002/2003",2003,123,123,100,843,250.5,16.0324314982457,24497.6269051841
"2003/2004",2004,123,123,100,881,290.5,15.9423406947494,24099.8150355169
"2004/2005",2005,123,123,100,945,351,19.6457427374552,23322.1639478109
"2005/2006",2006,123,123,100,854,228,18.3618504979322,23934.9048242455
"2006/2007",2007,123,123,100,906,285,9.45826044373521,24203.6733968849
"2007/2008",2008,123,123,100,1023,467,30.4701452891439,21989.0681192343
"2008/2009",2009,123,123,100,844,219,17.8351175539688,24475.8281679103
"2009/2010",2010,123,123,100,869,279,10.5873542603947,24712.7211036985
"2010/2011",2011,123,123,100,924,306.5,20.8597156066087,23070.9077308694
"2011/2012",2012,123,123,100,803,220.5,18.3416816915856,24265.7735884443
"2012/2013",2013,123,123,100,806,225.5,11.0104988864944,25159.2204940531
"2013/2014",2014,123,123,100,881,268,21.8857009241938,23557.417305263
"2014/2015",2015,123,123,100,869,329.5,19.7878824209685,23890.5636056571
"2015/2016",2016,123,123,100,896,361.5,23.791647524739,23189.8336507757
"2016/2017",2017,123,123,100,970,414.5,30.1613132127502,21648.1349323373
"2017/2018",2018,123,123,100,897,269,20.7746247182919,22421.9315954072
"2018/2019",2019,123,123,100,783,200,13.5947839486122,25211.8330901377
"2019/2020",2020,123,123,100,889,295.5,20.4927200420869,23847.6548739895
"2020/2021",2021,123,123,100,908,332.5,17.6701865696178,23726.565201405
"2021/2022",2022,123,123,100,921,331.5,27.4018071980726,22645.9870601161
"2022/2023",2023,123,123,100,997,306.5,18.3099032246039,22641.5986223468
"2023/2024",2024,123,123,100,828,311.5,23.9821443825768,24490.0375017517
"2024/2025",2025,123,123,100,972,380.5,22.8633792861826,22336.2049811562
"2025/2026",2026,123,123,100,887,283,15.939203231603,23460.2866148353
"2026/2027",2027,123,123,100,893,370.5,22.4146103199329,23322.2749639424
"2027/2028",2028,123,123,100,979,398,24.9670443072321,22466.280573729
"2028/2029",2029,123,123,100,864,261.5,15.0177745306461,24535.1306794155
"2029/2030",2030,123,123,100,962,393.5,24.4860841648288,22970.1367605138
"2030/2031",2031,123,123,100,883,276,15.2300035015537,23906.4075448737
"2031/2032",2032,123,123,100,983,331,15.6225653476138,23274.9629656961
"2032/2033",2033,123,123,100,758,193,13.593380571077,25263.0629152958
"2033/2034",2034,123,123,100,890,334.5,20.2840932514578,23809.1805622564
"2034/2035",2035,123,123,100,942,373,22.882731169519,22389.2789494996
"2035/2036",2036,123,123,100,938,297.5,16.2228361262964,23064.7139784526
"2036/2037",2037,123,123,100,960,384.5,25.1659878986848,22828.9914747905
"2037/2038",2038,123,123,100,784,284.5,20.4699077660066,24474.2055073222
"2038/2039",2039,123,123,100,955,404.5,24.5816550577653,22719.5046031973
"2039/2040",2040,123,123,100,895,293,18.3735670743667,23697.2124705119
"2040/2041",2041,123,123,100,970,382,17.6811608408552,23624.675468836
"2041/2042",2042,123,123,100,867,300,19.661129133557,23992.8999780267
"2042/2043",2043,123,123,100,934,366.5,19.4886469097768,23378.3316897415
"2043/2044",2044,123,123,100,889,314,20.2793083545613,23324.8542749509
"2044/2045",2045,123,123,100,974,353.5,25.6994157763216,22482.7121530329
"2045/2046",2046,123,123,100,950,329,28.3872530544111,21350.2929656534
"2046/2047",2047,123,123,100,1007,448,23.4247107745473,22508.3145038174
"2047/2048",2048,123,123,100,851,258.5,23.3524072495591,23727.4239945654
"2048/2049",2049,123,123,100,875,275.5,14.4314501271856,24254.7001266321
"2049/2050",2050,123,123,100,832,279,17.8750231151496,23637.1367473602
"2050/2051",2051,123,123,100,835,286,17.7849765898468,23823.0112985056
"2051/2052",2052,123,123,100,863,272.5,9.95208710350767,25099.02094921
"2052/2053",2053,123,123,100,776,177.5,18.0225727161492,24948.6522605307
"2053/2054",2054,123,123,100,953,350,21.8139242544369,23265.4978836989
"2054/2055",2055,123,123,100,878,316.5,17.0435970501708,24418.6964323679
"2055/2056",2056,123,123,100,762,206,9.05577776480482,25852.1039004121
"2056/2057",2057,123,123,100,908,298.5,16.017339454547,24356.0895992322
"2057/2058",2058,123,123,100,708,93,15.026998581475,26385.5394656239
"2058/2059",2059,123,123,100,908,369,18.3758642574996,23674.49594355
"2059/2060",2060,123,123,100,852,314.5,18.5945103322563,24311.7558732182
"2060/2061",2061,123,123,100,893,267,16.9933377763628,23845.8958491851
"2061/2062",2062,123,123,100,815,213,9.41069017199493,24711.4914317615
"2062/2063",2063,123,123,100,912,402,20.2304133833641,23286.7758380584
"2063/2064",2064,123,123,100,833,274.5,11.9301047023287,25003.3748971345
"2064/2065",2065,123,123,100,951,412.5,21.3847018064216,22994.3433048613
"2065/2066",2066,123,123,100,905,381.5,25.1574364671817,23309.8942086902
"2066/2067",2067,123,123,100,851,279.5,13.9691279225888,24714.1009549862
"2067/2068",2068,123,123,100,918,334,21.291356285469,23228.2682854915
"2068/2069",2069,123,123,100,981,419,26.6589149725426,22116.3067956446
"2069/2070",2070,123,123,100,985,370,16.2247740840028,23405.224483341
"2070/2071",2071,123,123,100,820,284,7.79726262994609,25268.7763142334
"2071/2072",2072,123,123,100,777,229,19.116512173445,24667.5963769965
"2072/2073",2073,123,123,100,808,267,10.7379379587744,25548.2088463148
"2073/2074",2074,123,123,100,699,160.5,8.17544936523018,26486.006551153
"2074/2075",2075,123,123,100,874,292.5,10.6491846651068,24579.3769165119
"2075/2076",2076,123,123,100,886,308.5,15.2912985125936,23903.3364320332
"2076/2077",2077,123,123,100,931,382,20.1927979986799,22484.4791621286
