"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1990,0,45675.529122703
"2000/2001",2001,123,123,100,0,-1836.5,0,44737.0619921186
"2001/2002",2002,123,123,100,0,-2026,0,45753.6158356051
"2002/2003",2003,123,123,100,0,-2030.5,0,46157.3066594502
"2003/2004",2004,123,123,100,0,-2005,0,45853.6905985528
"2004/2005",2005,123,123,100,0,-1870.5,0,45309.2314853552
"2005/2006",2006,123,123,100,0,-1907.5,0,44963.8946705053
"2006/2007",2007,123,123,100,0,-2030,0,45702.5476697686
"2007/2008",2008,123,123,100,0,-1867,0,44804.6165498695
"2008/2009",2009,123,123,100,0,-1975,0,45808.4206217411
"2009/2010",2010,123,123,100,0,-2096,0,46958.0712947666
"2010/2011",2011,123,123,100,0,-1772,0,44669.9620492791
"2011/2012",2012,123,123,100,0,-1992,0,46035.3415914949
"2012/2013",2013,123,123,100,0,-2105.5,0,46982.9034975953
"2013/2014",2014,123,123,100,0,-1876.5,0,45250.5278855558
"2014/2015",2015,123,123,100,0,-2018.5,0,45899.4258957715
"2015/2016",2016,123,123,100,0,-1899,0,44937.1052738051
"2016/2017",2017,123,123,100,0,-1696,0,43627.5998175037
"2017/2018",2018,123,123,100,0,-1695.5,0,43818.121373042
"2018/2019",2019,123,123,100,0,-2132.5,0,47092.2046891334
"2019/2020",2020,123,123,100,0,-1939.5,0,45859.4039408681
"2020/2021",2021,123,123,100,0,-2001,0,45623.987218943
"2021/2022",2022,123,123,100,0,-1870,0,44877.8697612388
"2022/2023",2023,123,123,100,0,-1716.5,0,43856.5823547565
"2023/2024",2024,123,123,100,0,-2145.5,0,46948.3329015221
"2024/2025",2025,123,123,100,0,-1825,0,44423.2643065546
"2025/2026",2026,123,123,100,0,-1870,0,44926.3441763096
"2026/2027",2027,123,123,100,0,-1931.5,0,45469.126255088
"2027/2028",2028,123,123,100,0,-1831,0,44550.4118977841
"2028/2029",2029,123,123,100,0,-2063.5,0,46313.073027771
"2029/2030",2030,123,123,100,0,-1851.5,0,44706.8743243525
"2030/2031",2031,123,123,100,0,-1927.5,0,45875.9025953822
"2031/2032",2032,123,123,100,0,-1821,0,44692.268988438
"2032/2033",2033,123,123,100,0,-2117.5,0,47254.1285548033
"2033/2034",2034,123,123,100,0,-1990,0,45994.9186117658
"2034/2035",2035,123,123,100,0,-1716,0,43673.2512084888
"2035/2036",2036,123,123,100,0,-1787,0,44349.9136970546
"2036/2037",2037,123,123,100,0,-1937.5,0,45181.0293228552
"2037/2038",2038,123,123,100,0,-2115,0,47137.3728892859
"2038/2039",2039,123,123,100,0,-1919.5,0,45063.3248800281
"2039/2040",2040,123,123,100,0,-1870,0,45301.4243593607
"2040/2041",2041,123,123,100,0,-1944.5,0,45397.4221280627
"2041/2042",2042,123,123,100,0,-1986,0,46016.1397617115
"2042/2043",2043,123,123,100,0,-1946.5,0,45226.1436617011
"2043/2044",2044,123,123,100,0,-1868.5,0,44822.0142821604
"2044/2045",2045,123,123,100,0,-1672,0,43804.1212176578
"2045/2046",2046,123,123,100,0,-1579,0,42820.3649482923
"2046/2047",2047,123,123,100,0,-1841.5,0,44572.9752499023
"2047/2048",2048,123,123,100,0,-1921.5,0,45323.5196785452
"2048/2049",2049,123,123,100,0,-2077,0,46103.447303067
"2049/2050",2050,123,123,100,0,-1978,0,45516.8645633589
"2050/2051",2051,123,123,100,0,-2021,0,45918.0235104803
"2051/2052",2052,123,123,100,0,-2124,0,47022.4123044452
"2052/2053",2053,123,123,100,0,-2079,0,46834.1666416116
"2053/2054",2054,123,123,100,0,-1928,0,45504.8994725095
"2054/2055",2055,123,123,100,0,-2050,0,46363.8368790681
"2055/2056",2056,123,123,100,0,-2155.5,0,47118.9768301416
"2056/2057",2057,123,123,100,0,-2084,0,46380.1071021277
"2057/2058",2058,123,123,100,0,-2139.5,0,47282.8552159593
"2058/2059",2059,123,123,100,0,-2003.5,0,45537.542124657
"2059/2060",2060,123,123,100,0,-2120.5,0,46457.9419698324
"2060/2061",2061,123,123,100,0,-1899,0,45176.7620448377
"2061/2062",2062,123,123,100,0,-2051,0,46379.0029121395
"2062/2063",2063,123,123,100,0,-1962,0,45410.5145431403
"2063/2064",2064,123,123,100,0,-2139,0,46878.2188106645
"2064/2065",2065,123,123,100,0,-1893,0,45176.3125501405
"2065/2066",2066,123,123,100,0,-1978.5,0,45539.5361992344
"2066/2067",2067,123,123,100,0,-2061,0,46597.5625525415
"2067/2068",2068,123,123,100,0,-1853,0,44901.572735399
"2068/2069",2069,123,123,100,0,-1778.5,0,44046.1860232279
"2069/2070",2070,123,123,100,0,-1901,0,44911.5342799444
"2070/2071",2071,123,123,100,0,-2190.5,0,47372.4703275058
"2071/2072",2072,123,123,100,0,-2092,0,46745.4487624001
"2072/2073",2073,123,123,100,0,-2280.5,0,47609.4401112311
"2073/2074",2074,123,123,100,0,-2306.5,0,48498.7951975688
"2074/2075",2075,123,123,100,0,-2132,0,46629.3496627733
"2075/2076",2076,123,123,100,0,-1942.5,0,45354.5777758248
"2076/2077",2077,123,123,100,0,-1849.5,0,44480.8685976714
"2077/2078",2078,123,123,100,0,-2061.5,0,46743.7740050647
"2078/2079",2079,123,123,100,0,-2035,0,46028.1798498258
"2079/2080",2080,123,123,100,0,-2018,0,45574.6224969216
"2080/2081",2081,123,123,100,0,-2166.5,0,47550.0569743011
"2081/2082",2082,123,123,100,0,-2141,0,47155.0675857794
"2082/2083",2083,123,123,100,0,-1920,0,45548.5545081776
"2083/2084",2084,123,123,100,0,-1988.5,0,45514.3697184902
"2084/2085",2085,123,123,100,0,-1930.5,0,45322.22995569
"2085/2086",2086,123,123,100,0,-1729,0,43825.6536220573
"2086/2087",2087,123,123,100,0,-2325,0,48105.5343221948
"2087/2088",2088,123,123,100,0,-1911.5,0,45159.1819690485
"2088/2089",2089,123,123,100,0,-1925,0,46052.3640792314
"2089/2090",2090,123,123,100,0,-2008,0,45566.7444943208
"2090/2091",2091,123,123,100,0,-1949,0,45602.2519960627
"2091/2092",2092,123,123,100,0,-2051.5,0,46435.4174783435
"2092/2093",2093,123,123,100,0,-1501.5,0,42464.7712456845
"2093/2094",2094,123,123,100,0,-1672.5,0,43604.0877656285
"2094/2095",2095,123,123,100,0,-2084,0,46342.1356513388
"2095/2096",2096,123,123,100,0,-2140.5,0,46963.9264476486
"2096/2097",2097,123,123,100,0,-1874,0,44986.5958609376
"2097/2098",2098,123,123,100,0,-1799.5,0,44874.0347570181
"2098/2099",2099,123,123,100,0,-2063,0,46605.5567105487
"2099/2100",2100,123,123,100,0,-1795.5,0,44132.1589157339
