"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1358.5,0,40882.4349575647
"2000/2001",2001,123,123,100,0,-1264,2.01609738776339,39911.2746775403
"2001/2002",2002,123,123,100,0,-1391.5,0,40932.919656123
"2002/2003",2003,123,123,100,0,-1429.5,0,41376.002288021
"2003/2004",2004,123,123,100,0,-1391,0,41059.5870044122
"2004/2005",2005,123,123,100,0,-1295.5,0,40499.2152363354
"2005/2006",2006,123,123,100,0,-1255,1.01069902029716,40142.7964450672
"2006/2007",2007,123,123,100,0,-1342,0,40699.564830037
"2007/2008",2008,123,123,100,0,-1202,0,39955.5578982625
"2008/2009",2009,123,123,100,0,-1378,1.00100788854226,41079.9527427608
"2009/2010",2010,123,123,100,0,-1482,0,42252.7645535031
"2010/2011",2011,123,123,100,0,-1215,0,39866.0925632219
"2011/2012",2012,123,123,100,0,-1404,1.0051625179348,41308.407362337
"2012/2013",2013,123,123,100,0,-1522,0,42287.8407576624
"2013/2014",2014,123,123,100,0,-1308.5,0,40578.1188225392
"2014/2015",2015,123,123,100,0,-1369.5,1.01196367400463,41179.4982829024
"2015/2016",2016,123,123,100,0,-1259.5,0,40152.7787950216
"2016/2017",2017,123,123,100,0,-1069.5,0,38769.6116540073
"2017/2018",2018,123,123,100,0,-1115.5,0,38981.5867480333
"2018/2019",2019,123,123,100,0,-1548,0,42484.2634520661
"2019/2020",2020,123,123,100,0,-1393,0,41317.2961671483
"2020/2021",2021,123,123,100,0,-1349,0,40795.4030416459
"2021/2022",2022,123,123,100,0,-1268.5,0,40136.1279293015
"2022/2023",2023,123,123,100,0,-1134.5,2.0181808463681,39016.6430267836
"2023/2024",2024,123,123,100,0,-1517.5,0,42302.4006344392
"2024/2025",2025,123,123,100,0,-1183,0,39447.5758025381
"2025/2026",2026,123,123,100,0,-1250,0,40078.4605973302
"2026/2027",2027,123,123,100,0,-1318.5,0,40766.8969235765
"2027/2028",2028,123,123,100,0,-1199,0,39674.4508220139
"2028/2029",2029,123,123,100,0,-1424,0,41508.4356149607
"2029/2030",2030,123,123,100,0,-1199,0,39877.4972054744
"2030/2031",2031,123,123,100,0,-1353.5,0,41123.6549270498
"2031/2032",2032,123,123,100,0,-1200.5,0,39826.8800006276
"2032/2033",2033,123,123,100,0,-1560.5,0,42633.3632121049
"2033/2034",2034,123,123,100,0,-1364,0,41231.9402924115
"2034/2035",2035,123,123,100,0,-1086.5,3.02700024072284,38757.1201674063
"2035/2036",2036,123,123,100,0,-1166,1.00334522110624,39491.6546166902
"2036/2037",2037,123,123,100,0,-1259,0,40314.3753774017
"2037/2038",2038,123,123,100,0,-1528.5,1.01075163923467,42658.0146339573
"2038/2039",2039,123,123,100,0,-1256,0,40248.4182686787
"2039/2040",2040,123,123,100,0,-1303.5,0,40594.5268355571
"2040/2041",2041,123,123,100,0,-1296,0,40542.5943941353
"2041/2042",2042,123,123,100,0,-1385,0,41305.404866986
"2042/2043",2043,123,123,100,0,-1269.5,0,40341.1840994572
"2043/2044",2044,123,123,100,0,-1259.5,1.00845428416371,39977.3568264786
"2044/2045",2045,123,123,100,0,-1090,0,38915.2933299504
"2045/2046",2046,123,123,100,0,-992.5,1.00479097066518,37872.4913878711
"2046/2047",2047,123,123,100,0,-1196.5,0,39669.6511933757
"2047/2048",2048,123,123,100,0,-1331.5,0,40548.0578655424
"2048/2049",2049,123,123,100,0,-1425.5,1.00414377150735,41269.4639475942
"2049/2050",2050,123,123,100,0,-1390,3.00831972889116,40737.3468190674
"2050/2051",2051,123,123,100,0,-1424,0,41169.523501087
"2051/2052",2052,123,123,100,0,-1531,0,42398.8878782913
"2052/2053",2053,123,123,100,0,-1500.5,0,42242.2065205863
"2053/2054",2054,123,123,100,0,-1293.5,0,40730.0708758002
"2054/2055",2055,123,123,100,0,-1455,0,41642.8299664129
"2055/2056",2056,123,123,100,0,-1556.5,0,42489.5913873808
"2056/2057",2057,123,123,100,0,-1414,0,41592.5674619451
"2057/2058",2058,123,123,100,0,-1602,1.00495312617673,42773.8223772803
