"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1690,1969,88.8109671741695,4297.34282038915
"2000/2001",2001,123,123,100,1677,2159.5,91.7730780028943,4508.93706247758
"2001/2002",2002,123,123,100,1761,2162.5,92.6869316671248,4230.122946053
"2002/2003",2003,123,123,100,1683,2019,89.3931437904297,4163.72623874297
"2003/2004",2004,123,123,100,1857,2150.5,89.9467394508918,3875.21631881653
"2004/2005",2005,123,123,100,1646,2153,91.9783882828514,4424.67284350999
"2005/2006",2006,123,123,100,1606,2054,91.7632739048788,4269.74717170867
"2006/2007",2007,123,123,100,1580,1908,87.9492138904172,4325.06070925127
"2007/2008",2008,123,123,100,1493,2080,90.641944120262,5927.20049260941
"2008/2009",2009,123,123,100,1578,1974.5,89.1195502496241,4709.5583748041
"2009/2010",2010,123,123,100,1844,2065.5,90.6089764740582,3257.5553394435
"2010/2011",2011,123,123,100,1801,2319.5,95.6766315169061,3961.30160080304
"2011/2012",2012,123,123,100,1618,2112.5,90.8474240705773,4148.93155531411
"2012/2013",2013,123,123,100,1704,2002.5,89.1336179333043,3314.331021772
"2013/2014",2014,123,123,100,1714,2088,92.9013289567438,4622.60342423676
"2014/2015",2015,123,123,100,1638,2042.5,91.8022419892027,4835.21757687954
"2015/2016",2016,123,123,100,1819,2217.5,91.1346423608211,4736.9057554449
"2016/2017",2017,123,123,100,1455,2098.5,89.8174169676358,6439.82049833471
"2017/2018",2018,123,123,100,1623,2095,91.1380940699751,5157.63630358642
"2018/2019",2019,123,123,100,1515,1930,87.5583198867475,4034.54984769213
"2019/2020",2020,123,123,100,1788,2246,92.5311744416449,3859.86162611097
"2020/2021",2021,123,123,100,1721,2100,90.4344386419943,4336.42472829507
"2021/2022",2022,123,123,100,1580,2120,91.3478275873313,5702.5092726734
"2022/2023",2023,123,123,100,1561,2196,93.5631775519091,4909.17060353048
"2023/2024",2024,123,123,100,1654,2020,90.9299563057421,4455.24639296019
"2024/2025",2025,123,123,100,1544,2006,88.0551100076045,5524.28159883711
"2025/2026",2026,123,123,100,1563,2032.5,89.3493931177272,4780.10698041948
"2026/2027",2027,123,123,100,1731,2241,93.3661587136385,4862.17845290224
"2027/2028",2028,123,123,100,1650,2077.5,91.1274599007302,5270.15847682394
