"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1763,1721.5,87.5874608395472,2302.23925006429
"2000/2001",2001,123,123,100,1588,1610,82.504943720469,2395.76224477385
"2001/2002",2002,123,123,100,1863,1788.5,87.61967017387,1615.76290681319
"2002/2003",2003,123,123,100,1684,1811,87.185300857278,2381.3320483951
"2003/2004",2004,123,123,100,1776,1740.5,87.5482739779249,2489.76258449236
"2004/2005",2005,123,123,100,1702,1607,83.4582389516768,2350.24138206895
"2005/2006",2006,123,123,100,1577,1603,82.224229918628,2628.62848446367
"2006/2007",2007,123,123,100,1912,1788,86.2085396733014,2338.35506774933
"2007/2008",2008,123,123,100,1575,1417.5,80.3458949507744,1795.13986587833
"2008/2009",2009,123,123,100,1651,1786.5,87.3744900511683,2068.1723016199
"2009/2010",2010,123,123,100,1801,1781.5,89.2315391734328,2885.06235471991
"2010/2011",2011,123,123,100,1542,1520.5,82.1364795284721,2334.87762003759
"2011/2012",2012,123,123,100,1667,1644,84.0648750795904,2675.0368066192
"2012/2013",2013,123,123,100,1752,1898,88.7010000925179,2707.69755934435
"2013/2014",2014,123,123,100,1742,1657,86.2912892754462,1898.25002995995
"2014/2015",2015,123,123,100,1819,1685.5,85.2864285310434,1981.54036357743
"2015/2016",2016,123,123,100,1777,1689.5,83.6727678130933,1499.13705742569
"2016/2017",2017,123,123,100,1602,1378,79.7026521577336,1302.82192441402
"2017/2018",2018,123,123,100,1648,1538,84.5647031928529,2087.863303488
"2018/2019",2019,123,123,100,1801,1776,88.2442473280348,2688.0295022513
"2019/2020",2020,123,123,100,1610,1502.5,84.1756249414534,2743.7774844676
"2020/2021",2021,123,123,100,1758,1707.5,87.5349634266013,2141.615140863
"2021/2022",2022,123,123,100,1551,1438,79.8211059517635,1925.4082176052
"2022/2023",2023,123,123,100,1712,1618,83.8924478069712,2030.90542753274
"2023/2024",2024,123,123,100,1747,1637.5,84.2278561226494,2345.72672579787
"2024/2025",2025,123,123,100,1681,1478,82.1140514875442,1998.38928089268
"2025/2026",2026,123,123,100,1841,1748,87.0225980102568,1816.24717464391
"2026/2027",2027,123,123,100,1844,1734.5,85.6704215714572,1474.29018262681
"2027/2028",2028,123,123,100,1647,1433,83.0778931268997,1834.5691821503
"2028/2029",2029,123,123,100,1743,1814,87.9206622048414,2885.52737030177
"2029/2030",2030,123,123,100,1760,1556,83.183912269651,1401.01249333774
"2030/2031",2031,123,123,100,1667,1690,86.0408836930628,2648.24932273617
"2031/2032",2032,123,123,100,1716,1561,84.8086476331664,2358.07394346013
"2032/2033",2033,123,123,100,1716,1845.5,87.9511786489584,2790.2538016804
"2033/2034",2034,123,123,100,1716,1634.5,84.1566544014167,2112.33394784946
"2034/2035",2035,123,123,100,1732,1551,83.6701922418279,1652.36138161202
"2035/2036",2036,123,123,100,1698,1665.5,86.3834487033046,2577.26173887472
"2036/2037",2037,123,123,100,1776,1560.5,83.9398683760128,1611.61789307767
"2037/2038",2038,123,123,100,1551,1670.5,83.9497163565784,3174.35444521904
