"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1616,1729,87.7707922526421,4894.61923094188
"2000/2001",2001,123,123,100,1613,1809.5,87.4367164791909,5156.30246585213
"2001/2002",2002,123,123,100,1631,1839.5,90.0763747110332,4857.33212789634
"2002/2003",2003,123,123,100,1588,1690.5,85.9053884214791,4742.74422834069
"2003/2004",2004,123,123,100,1622,1798.5,89.0701212822382,4446.35747579247
"2004/2005",2005,123,123,100,1599,1796.5,87.5815685212656,4872.7995510812
"2005/2006",2006,123,123,100,1510,1799,88.7723288982461,5014.59404326999
"2006/2007",2007,123,123,100,1544,1639,83.8144354559204,4884.61905278108
"2007/2008",2008,123,123,100,1509,1756,87.4326134447431,6557.98655570607
"2008/2009",2009,123,123,100,1496,1642.5,86.4162316899101,5219.73309025657
"2009/2010",2010,123,123,100,1725,1751.5,87.1336301637177,3770.12214506138
"2010/2011",2011,123,123,100,1726,2014.5,90.714386570605,4568.39407144836
"2011/2012",2012,123,123,100,1617,1799,87.2880075695264,4747.60226380383
"2012/2013",2013,123,123,100,1605,1757,86.4445603546728,3838.8370991674
"2013/2014",2014,123,123,100,1604,1806,87.7003868356769,5165.34310724179
"2014/2015",2015,123,123,100,1564,1739.5,86.3086675372238,5446.72332820517
"2015/2016",2016,123,123,100,1653,1842.5,88.0816074961285,5489.83087726065
"2016/2017",2017,123,123,100,1450,1820.5,85.26094473694,6870.75240034272
"2017/2018",2018,123,123,100,1581,1831.5,87.058187370822,5693.58079147921
"2018/2019",2019,123,123,100,1441,1631,84.9930023157517,4479.55746359238
"2019/2020",2020,123,123,100,1665,1873.5,88.7905411695046,4569.36524736159
"2020/2021",2021,123,123,100,1608,1728.5,88.270071102881,4863.26365938759
"2021/2022",2022,123,123,100,1610,1831.5,87.2236085070858,6048.66398623143
"2022/2023",2023,123,123,100,1608,1882.5,88.6233690207059,5344.01458691317
"2023/2024",2024,123,123,100,1580,1706,88.6019519398083,5011.68591258256
"2024/2025",2025,123,123,100,1518,1700.5,82.328425997528,6116.14997776086
"2025/2026",2026,123,123,100,1516,1702,84.4748680336738,5496.67600333714
"2026/2027",2027,123,123,100,1614,1837,89.2145166495002,5343.69855695078
"2027/2028",2028,123,123,100,1562,1743,86.0935435202964,5984.5947518663
"2028/2029",2029,123,123,100,1740,1746,87.7752208918373,4017.90745587507
"2029/2030",2030,123,123,100,1516,1816.5,89.4174658165857,6131.00080150063
"2030/2031",2031,123,123,100,1669,1725,86.7703058177285,4772.04859568621
"2031/2032",2032,123,123,100,1759,1943,89.3284498978928,4568.93290562462
"2032/2033",2033,123,123,100,1733,1724,87.2968397417244,3691.78468488087
"2033/2034",2034,123,123,100,1547,1781.5,88.7775341529787,5164.5542791402
"2034/2035",2035,123,123,100,1602,1853.5,89.4713555942617,5691.00437424704
"2035/2036",2036,123,123,100,1715,1908,86.794618020147,4482.77863375843
"2036/2037",2037,123,123,100,1490,1626.5,82.3652032472683,6516.65888348361
"2037/2038",2038,123,123,100,1633,1731,87.7268287106353,4431.37758600852
