"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1650,1683.5,86.948893258418,4239.16870303272
"2000/2001",2001,123,123,100,1666,1806.5,88.0685248577906,4429.8615056813
"2001/2002",2002,123,123,100,1673,1823,89.4063691402347,4146.4355469225
"2002/2003",2003,123,123,100,1602,1679.5,87.0815916916656,4062.42056111436
"2003/2004",2004,123,123,100,1676,1733.5,88.4506514592995,3812.8434362711
"2004/2005",2005,123,123,100,1625,1763,87.5655336507635,4195.27073252603
"2005/2006",2006,123,123,100,1550,1771,86.6068348794441,4278.79145116103
"2006/2007",2007,123,123,100,1539,1591,84.9515293507343,4259.68527961726
"2007/2008",2008,123,123,100,1561,1750.5,87.3105574412832,5706.95920013729
"2008/2009",2009,123,123,100,1513,1652.5,88.3997834591239,4492.40382569761
"2009/2010",2010,123,123,100,1718,1700,87.4949531939774,3177.8612184606
"2010/2011",2011,123,123,100,1774,1978,91.3057921705463,3862.344204725
"2011/2012",2012,123,123,100,1674,1772,86.4080941364446,4028.27121944027
"2012/2013",2013,123,123,100,1647,1722,87.1022511918459,3239.0077958781
"2013/2014",2014,123,123,100,1629,1776,85.9344255336196,4499.55910072953
"2014/2015",2015,123,123,100,1594,1693.5,86.2984696534349,4762.44268271269
"2015/2016",2016,123,123,100,1700,1832,88.2211179290575,4727.71066526975
"2016/2017",2017,123,123,100,1520,1831.5,86.4922917643698,6049.53539842635
"2017/2018",2018,123,123,100,1637,1801,87.6762176728462,4952.34585080191
"2018/2019",2019,123,123,100,1477,1608.5,84.9354171548425,3848.63689997653
"2019/2020",2020,123,123,100,1701,1824,89.8352551916123,3856.38756855391
"2020/2021",2021,123,123,100,1623,1710.5,87.2123950619557,4159.72120183357
"2021/2022",2022,123,123,100,1671,1812,87.8034669697363,5247.6676092518
"2022/2023",2023,123,123,100,1631,1859,88.1720940640707,4598.90358308074
"2023/2024",2024,123,123,100,1590,1667,86.061025137556,4315.45704146917
"2024/2025",2025,123,123,100,1590,1688,84.1156321630388,5356.14665186242
"2025/2026",2026,123,123,100,1562,1678,85.3655827419898,4769.94880034635
"2026/2027",2027,123,123,100,1649,1801.5,87.9199170132724,4628.73494068836
"2027/2028",2028,123,123,100,1584,1732,86.4559111432891,5232.74944572151
"2028/2029",2029,123,123,100,1740,1681.5,86.9740618830383,3440.43440498016
"2029/2030",2030,123,123,100,1552,1803,87.7533857312756,5317.37799010938
"2030/2031",2031,123,123,100,1683,1689.5,87.6403823309684,4114.58580174111
"2031/2032",2032,123,123,100,1791,1873,87.9331110403036,3937.45757942484
"2032/2033",2033,123,123,100,1746,1671,87.2702116805731,3102.54816073715
"2033/2034",2034,123,123,100,1602,1762.5,88.0043901061235,4448.57015686971
"2034/2035",2035,123,123,100,1645,1862,88.029535968898,4896.6149812988
"2035/2036",2036,123,123,100,1736,1871,86.8184932308104,3859.7097223443
"2036/2037",2037,123,123,100,1522,1599.5,84.1285675479703,5748.95355335553
"2037/2038",2038,123,123,100,1670,1694,87.2316658875916,3826.54719216004
"2038/2039",2039,123,123,100,1678,1807.5,85.3492511512259,5112.76792908972
"2039/2040",2040,123,123,100,1672,1823.5,90.5448910117266,4360.00387013191
"2040/2041",2041,123,123,100,1598,1763,88.1836112418023,4158.93766902667
"2041/2042",2042,123,123,100,1655,1783,87.6380399492,3811.76098134322
"2042/2043",2043,123,123,100,1668,1834,88.97111021822,4136.60955218086
"2043/2044",2044,123,123,100,1584,1751.5,87.8696417678766,4435.52041703742
"2044/2045",2045,123,123,100,1727,1960.5,91.193322643061,4437.92295536073
"2045/2046",2046,123,123,100,1679,1914.5,89.9446364737187,5111.36973644095
"2046/2047",2047,123,123,100,1612,1773,88.4227904236586,5175.66022387706
"2047/2048",2048,123,123,100,1688,1867,89.7889416606422,4130.13979127724
"2048/2049",2049,123,123,100,1549,1627,85.6029892437336,3988.22748195427
"2049/2050",2050,123,123,100,1469,1585.5,82.9256370719449,5013.8308518827
"2050/2051",2051,123,123,100,1591,1614.5,85.6495359545352,4417.53211122844
"2051/2052",2052,123,123,100,1691,1633,85.6600350899753,3252.02815657854
"2052/2053",2053,123,123,100,1661,1750.5,88.13233834942,3434.75350944046
"2053/2054",2054,123,123,100,1672,1702.5,87.1839170265612,4218.34832683718
"2054/2055",2055,123,123,100,1672,1783,88.5606818282904,3682.89586990234
"2055/2056",2056,123,123,100,1651,1706.5,88.0420893161845,3113.08343245275
"2056/2057",2057,123,123,100,1650,1647,86.7357625200893,3332.05904376414
"2057/2058",2058,123,123,100,1671,1682.5,88.995498942324,3624.19228925416
"2058/2059",2059,123,123,100,1665,1793,88.4804172347576,4299.38918179693
"2059/2060",2060,123,123,100,1546,1680,88.188981565896,4300.88120269636
"2060/2061",2061,123,123,100,1663,1807.5,89.5017557402862,3717.02314228239
"2061/2062",2062,123,123,100,1664,1705,88.1493359274555,3020.23105113255
"2062/2063",2063,123,123,100,1708,1752,87.5259496029303,4599.0330574289
"2063/2064",2064,123,123,100,1612,1660,84.9768754354227,3563.57464431413
"2064/2065",2065,123,123,100,1703,1839.5,88.4591795866872,4526.00319621293
"2065/2066",2066,123,123,100,1475,1672,85.2115453837414,5198.7937690448
"2066/2067",2067,123,123,100,1765,1838.5,89.5744208341839,3107.87882543635
"2067/2068",2068,123,123,100,1627,1741,89.7738345798025,4601.39678909117
"2068/2069",2069,123,123,100,1552,1802.5,88.7956090344123,5897.19932386465
"2069/2070",2070,123,123,100,1648,1813.5,90.0366259171442,4381.23630947154
"2070/2071",2071,123,123,100,1687,1733.5,88.188278558031,2859.93268040149
"2071/2072",2072,123,123,100,1759,1778,87.6867841016538,3308.48895907123
"2072/2073",2073,123,123,100,1518,1566.5,83.1857745441976,4351.91359084146
"2073/2074",2074,123,123,100,1716,1604,87.1200384561798,2402.7779854252
"2074/2075",2075,123,123,100,1699,1695,86.8824176151847,3021.9654126009
"2075/2076",2076,123,123,100,1666,1714,88.7898161367084,4330.63900363771
"2076/2077",2077,123,123,100,1501,1566,82.9463962245882,5697.64645191981
"2077/2078",2078,123,123,100,1676,1770,88.5419714987202,3218.0774990879
"2078/2079",2079,123,123,100,1746,1755,88.8181818351422,3977.75115314871
"2079/2080",2080,123,123,100,1640,1706,86.2818694996022,4456.63755314983
"2080/2081",2081,123,123,100,1702,1694,86.8602580098232,3122.47426802106
"2081/2082",2082,123,123,100,1580,1642.5,88.8137052580896,3288.12756009493
"2082/2083",2083,123,123,100,1731,1767.5,88.2491885337222,3856.7251691483
"2083/2084",2084,123,123,100,1632,1715.5,87.0907386928448,4792.60080567934
"2084/2085",2085,123,123,100,1499,1574,85.2433136167838,5099.22523838747
"2085/2086",2086,123,123,100,1674,1794,87.1289797422251,5180.8707200652
"2086/2087",2087,123,123,100,1546,1616.5,86.2561738691074,3742.59002866689
"2087/2088",2088,123,123,100,1666,1722.5,86.9156722613243,4172.47650272865
"2088/2089",2089,123,123,100,1634,1603.5,85.9883193323458,3691.37122858688
"2089/2090",2090,123,123,100,1687,1771,88.5903809535666,3885.47013376746
"2090/2091",2091,123,123,100,1848,1817,88.2349512387809,3145.84846976679
"2091/2092",2092,123,123,100,1633,1737.5,87.004521452116,3865.00489460863
"2092/2093",2093,123,123,100,1529,1869.5,88.3309944522607,5710.24498851318
"2093/2094",2094,123,123,100,1822,1967,88.7135938681258,4083.24195976928
"2094/2095",2095,123,123,100,1545,1588,85.1987155038096,4674.40529521368
"2095/2096",2096,123,123,100,1814,1748.5,88.1091932783074,2943.22384762485
"2096/2097",2097,123,123,100,1688,1874.5,89.9979751808696,4365.93970297836
"2097/2098",2098,123,123,100,1779,1864.5,88.8609083376068,3756.24615882523
"2098/2099",2099,123,123,100,1581,1710,86.4823095685442,3773.15317146853
"2099/2100",2100,123,123,100,1596,1773,87.709916717813,4860.66435442399
