"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1719,1877.5,87.7511922583729,4237.58023723496
"2000/2001",2001,123,123,100,1670,1924.5,89.2451499774466,4626.69963600978
"2001/2002",2002,123,123,100,1731,1965.5,89.8293183538325,4215.70820401861
"2002/2003",2003,123,123,100,1684,1828.5,87.0265413000506,4090.24760324118
"2003/2004",2004,123,123,100,1705,1890.5,90.7202467083354,3927.50548318907
"2004/2005",2005,123,123,100,1713,1920,88.1495231867274,4240.97192897875
"2005/2006",2006,123,123,100,1602,1913.5,89.4741624011915,4340.36755911831
"2006/2007",2007,123,123,100,1637,1753.5,86.0189571709009,4301.28995620203
"2007/2008",2008,123,123,100,1576,1900.5,86.8992445205117,5855.27962762851
"2008/2009",2009,123,123,100,1609,1774.5,88.5163581264444,4537.27915782866
"2009/2010",2010,123,123,100,1812,1853,89.449811555133,3263.13646042626
"2010/2011",2011,123,123,100,1816,2150.5,91.5423110515173,3955.59683559265
"2011/2012",2012,123,123,100,1689,1919.5,89.1024685320381,4147.05000230717
"2012/2013",2013,123,123,100,1666,1849,88.663888629183,3349.55325495184
"2013/2014",2014,123,123,100,1676,1931,88.3242957050543,4579.97769946302
"2014/2015",2015,123,123,100,1658,1852,88.233197955868,4846.18588902534
"2015/2016",2016,123,123,100,1724,1975,91.3352343633583,4845.38596403133
"2016/2017",2017,123,123,100,1529,1936,88.7969051125015,6246.65438636648
"2017/2018",2018,123,123,100,1652,1930.5,89.6032680536387,5131.42473672074
"2018/2019",2019,123,123,100,1541,1788,87.4494244649709,3799.55922374409
"2019/2020",2020,123,123,100,1734,1997.5,89.2830975222078,4021.7938352921
"2020/2021",2021,123,123,100,1692,1854,89.5567139476625,4232.53636172554
"2021/2022",2022,123,123,100,1696,1975.5,90.3479845311326,5396.93283868255
"2022/2023",2023,123,123,100,1697,1990.5,89.8491612596868,4732.23426987161
"2023/2024",2024,123,123,100,1649,1816,89.4392246939769,4412.53572507226
"2024/2025",2025,123,123,100,1625,1861,85.3576751151822,5428.21554755908
"2025/2026",2026,123,123,100,1618,1841.5,86.9495075955765,4837.30397239677
"2026/2027",2027,123,123,100,1717,1982.5,90.8946019458635,4736.35286361142
"2027/2028",2028,123,123,100,1655,1863,86.7567845534913,5374.49279754446
"2028/2029",2029,123,123,100,1824,1837,87.8501357142732,3546.95112940902
"2029/2030",2030,123,123,100,1589,1963,89.9277450077752,5422.61387439189
"2030/2031",2031,123,123,100,1719,1812,87.4518036332029,4308.63035331294
"2031/2032",2032,123,123,100,1817,2039,89.951559286299,4091.46147043817
"2032/2033",2033,123,123,100,1817,1808,88.3592138113318,3236.59985497757
"2033/2034",2034,123,123,100,1671,1928.5,92.1756372133596,4493.04642641405
