"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1462,1840,86.1567410965645,7767.1247482078
"2000/2001",2001,123,123,100,1384,1870,87.3516285597749,8272.18089939634
"2001/2002",2002,123,123,100,1335,1885.5,88.4776861669268,7864.68511718637
"2002/2003",2003,123,123,100,1470,1837,85.8792127692508,7546.25978832104
"2003/2004",2004,123,123,100,1462,1902.5,88.2670569445067,7247.77353045868
"2004/2005",2005,123,123,100,1365,1862,88.3549055806326,7951.11263969383
"2005/2006",2006,123,123,100,1357,1798,86.9414424117746,8089.98748768627
"2006/2007",2007,123,123,100,1481,1780,83.1768433703487,7642.1693090265
"2007/2008",2008,123,123,100,1229,1718.5,83.5707866185371,9949.15820623597
"2008/2009",2009,123,123,100,1360,1752,84.5682954336519,8152.65575824957
"2009/2010",2010,123,123,100,1620,1961.5,89.0844140271265,6232.55488177389
"2010/2011",2011,123,123,100,1354,2013.5,91.5157198337754,7807.81938889401
"2011/2012",2012,123,123,100,1361,1884,87.2081236707411,7677.89495628409
"2012/2013",2013,123,123,100,1464,1873,88.0900514451171,6450.87602024968
"2013/2014",2014,123,123,100,1359,1848,88.6901241957478,8330.47971643275
"2014/2015",2015,123,123,100,1376,1798.5,83.9650021671132,8543.3754080357
"2015/2016",2016,123,123,100,1409,1900,87.1016699069296,8662.05141695845
"2016/2017",2017,123,123,100,1129,1706,83.4627783222445,10656.2903002556
"2017/2018",2018,123,123,100,1331,1834,86.5631950010957,9039.11436653067
"2018/2019",2019,123,123,100,1343,1717,85.079760471247,7329.04252749821
"2019/2020",2020,123,123,100,1401,1948,87.3790468922707,7526.83162428648
"2020/2021",2021,123,123,100,1480,1863.5,85.910599959936,7742.14345296286
"2021/2022",2022,123,123,100,1253,1830,84.7474592795625,9449.17193135992
"2022/2023",2023,123,123,100,1226,1864,86.0593776689002,8767.481370589
"2023/2024",2024,123,123,100,1397,1799.5,85.1294844401627,7896.64451512834
"2024/2025",2025,123,123,100,1295,1730,82.9869798605491,9224.34401183482
"2025/2026",2026,123,123,100,1325,1776.5,82.6861532384173,8581.24019144895
"2026/2027",2027,123,123,100,1360,1904,88.8461151744787,8629.03484552936
"2027/2028",2028,123,123,100,1325,1777,85.2613345918253,9200.60065543186
"2028/2029",2029,123,123,100,1600,1963,88.2335354550505,6496.44139828067
"2029/2030",2030,123,123,100,1224,1782,86.9086990306105,9628.47311033262
"2030/2031",2031,123,123,100,1470,1871,87.3096269991379,7502.25289661065
"2031/2032",2032,123,123,100,1395,2030,88.7970339581843,7659.57261058176
"2032/2033",2033,123,123,100,1608,1979,89.9991767876845,6090.67063878337
"2033/2034",2034,123,123,100,1356,1844,85.3110199843695,8235.99176044157
"2034/2035",2035,123,123,100,1309,1871.5,86.8091532487115,9100.60335446801
"2035/2036",2036,123,123,100,1446,1960.5,88.6617371097909,7468.60505451495
"2036/2037",2037,123,123,100,1340,1650.5,80.0995372742536,9602.89052453451
"2037/2038",2038,123,123,100,1441,1843.5,86.8097647800951,7243.93138040742
"2038/2039",2039,123,123,100,1390,1881,84.6098122501317,9124.66681973357
"2039/2040",2040,123,123,100,1351,1885,88.1434981519296,8215.89955383306
"2040/2041",2041,123,123,100,1413,1890,88.6048524302487,7928.99834562885
"2041/2042",2042,123,123,100,1517,1942.5,89.751471722012,7295.68935502274
"2042/2043",2043,123,123,100,1390,1959.5,89.9774251698454,7961.96435226919
"2043/2044",2044,123,123,100,1395,1836,84.4762127244549,8301.28293347405
"2044/2045",2045,123,123,100,1346,1959.5,90.3326673127704,8510.80710748537
"2045/2046",2046,123,123,100,1204,1873.5,85.1122992523124,9480.9116270761
