"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2065,0,47784.6695419289
"2000/2001",2001,123,123,100,0,-1939,0,46828.1407986419
"2001/2002",2002,123,123,100,0,-2149.5,0,48716.2474592819
"2002/2003",2003,123,123,100,0,-2077,0,48311.0258516016
"2003/2004",2004,123,123,100,0,-2065.5,0,47980.3033047497
"2004/2005",2005,123,123,100,0,-2080.5,0,47747.121689237
"2005/2006",2006,123,123,100,11,-1959.5,0,46676.650872229
"2006/2007",2007,123,123,100,0,-2042,0,47416.0829612201
"2007/2008",2008,123,123,100,0,-2088,0,47890.5803326117
"2008/2009",2009,123,123,100,0,-2061.5,0,48023.3928941858
"2009/2010",2010,123,123,100,0,-2153,0,48434.1906421529
"2010/2011",2011,123,123,100,0,-1958.5,0,46942.7267443954
"2011/2012",2012,123,123,100,0,-2082,0,48044.9055284397
"2012/2013",2013,123,123,100,0,-2140,0,48698.1881011191
"2013/2014",2014,123,123,100,0,-2013,0,47052.3339994145
"2014/2015",2015,123,123,100,0,-2141,0,48613.705288209
"2015/2016",2016,123,123,100,0,-2077.5,0,48038.220604762
"2016/2017",2017,123,123,100,0,-1961,0,46948.8535985672
"2017/2018",2018,123,123,100,5,-1840.5,0,45673.5889488677
"2018/2019",2019,123,123,100,0,-2192,0,48520.2585195201
"2019/2020",2020,123,123,100,0,-2157,0,48043.9570792029
"2020/2021",2021,123,123,100,0,-2097,0,48360.0261571617
"2021/2022",2022,123,123,100,0,-2066.5,0,47671.0471491702
"2022/2023",2023,123,123,100,4,-1833,0,45698.924142478
"2023/2024",2024,123,123,100,0,-2308,0,49782.977118677
"2024/2025",2025,123,123,100,0,-1930.5,0,46547.8382553351
"2025/2026",2026,123,123,100,2,-2002,0,47337.9666799009
"2026/2027",2027,123,123,100,0,-2170.5,0,48630.9903107882
"2027/2028",2028,123,123,100,2,-2044.5,0,47685.8239578535
"2028/2029",2029,123,123,100,0,-2074,0,48051.6056822706
"2029/2030",2030,123,123,100,0,-2081.5,0,47989.7952453475
"2030/2031",2031,123,123,100,0,-2052.5,0,47634.6136514079
"2031/2032",2032,123,123,100,0,-1934,0,46744.1503644651
"2032/2033",2033,123,123,100,0,-2206,0,49085.630617721
"2033/2034",2034,123,123,100,0,-2171,0,48497.9309431026
"2034/2035",2035,123,123,100,4,-1881,0,46238.9783106204
"2035/2036",2036,123,123,100,1,-1865,0,45890.0290375771
"2036/2037",2037,123,123,100,3,-2104.5,0,48346.4248134969
"2037/2038",2038,123,123,100,0,-2275,0,48952.0582670616
"2038/2039",2039,123,123,100,0,-2120,0,48535.670550636
"2039/2040",2040,123,123,100,0,-2083,0,48071.2646720884
"2040/2041",2041,123,123,100,0,-2087,0,48136.9157557562
"2041/2042",2042,123,123,100,0,-2147.5,0,48364.9663624829
"2042/2043",2043,123,123,100,0,-2055.5,0,47804.7419000864
"2043/2044",2044,123,123,100,0,-1970.5,0,47067.04575889
"2044/2045",2045,123,123,100,0,-1850.5,0,46157.5957810748
"2045/2046",2046,123,123,100,0,-1770.5,0,45100.129357907
"2046/2047",2047,123,123,100,0,-2065,0,47833.0176704945
"2047/2048",2048,123,123,100,0,-2052.5,0,47568.8185698306
"2048/2049",2049,123,123,100,0,-2104,0,48301.1558476165
"2049/2050",2050,123,123,100,1,-2085.5,0,47183.5539951036
"2050/2051",2051,123,123,100,0,-2082.5,0,47804.7617814839
"2051/2052",2052,123,123,100,0,-2201,0,48832.8974424191
"2052/2053",2053,123,123,100,0,-2180.5,0,48577.6182852872
"2053/2054",2054,123,123,100,0,-2060.5,0,47679.6632296462
"2054/2055",2055,123,123,100,0,-2216.5,0,49263.9519207301
"2055/2056",2056,123,123,100,3,-2203.5,0,49134.1798758404
"2056/2057",2057,123,123,100,0,-2061,0,47666.6834236225
"2057/2058",2058,123,123,100,12,-2260.5,0,49939.734593044
"2058/2059",2059,123,123,100,0,-2133.5,0,48454.4367866609
"2059/2060",2060,123,123,100,0,-2212.5,0,49104.4156421479
"2060/2061",2061,123,123,100,12,-1991,0,47081.8887087926
"2061/2062",2062,123,123,100,0,-2071.5,0,47984.5013788138
"2062/2063",2063,123,123,100,0,-2129,0,48274.0829587504
"2063/2064",2064,123,123,100,0,-2221,0,48746.431239035
"2064/2065",2065,123,123,100,0,-2077,0,48069.263745822
"2065/2066",2066,123,123,100,3,-2132,0,48562.740943728
"2066/2067",2067,123,123,100,0,-2179,0,48714.6986146886
"2067/2068",2068,123,123,100,0,-2019,0,47338.1304200217
"2068/2069",2069,123,123,100,0,-2020,0,47611.3083345648
"2069/2070",2070,123,123,100,0,-2048.5,0,47795.1799199581
"2070/2071",2071,123,123,100,0,-2269.5,0,49340.4104667138
"2071/2072",2072,123,123,100,2,-2203,0,48710.9692016132
"2072/2073",2073,123,123,100,0,-2324,0,50509.4701989349
"2073/2074",2074,123,123,100,0,-2352,0,49953.2111487649
"2074/2075",2075,123,123,100,1,-2118,0,48179.3263006378
"2075/2076",2076,123,123,100,0,-2060,0,48093.272268936
"2076/2077",2077,123,123,100,0,-2012,0,47216.6499631088
"2077/2078",2078,123,123,100,0,-2149,0,48636.9705401659
"2078/2079",2079,123,123,100,0,-2184,0,48673.1661365386
"2079/2080",2080,123,123,100,0,-2110,0,48651.5491291881
"2080/2081",2081,123,123,100,0,-2245.5,0,49059.3114407714
"2081/2082",2082,123,123,100,0,-2205,0,48994.7340899836
"2082/2083",2083,123,123,100,0,-2034,0,47313.1302170698
"2083/2084",2084,123,123,100,0,-2148,0,48373.1462881919
"2084/2085",2085,123,123,100,0,-2074.5,0,48074.6108627375
"2085/2086",2086,123,123,100,0,-1926,0,46549.3693423402
"2086/2087",2087,123,123,100,0,-2411.5,0,50480.6133630369
"2087/2088",2088,123,123,100,0,-1972.5,0,47052.5433026571
"2088/2089",2089,123,123,100,0,-2082.5,0,46908.0464535747
"2089/2090",2090,123,123,100,3,-2109,0,48401.7925525568
"2090/2091",2091,123,123,100,11,-1952.5,0,46937.4330072384
"2091/2092",2092,123,123,100,0,-2139.5,0,48264.3783890065
"2092/2093",2093,123,123,100,0,-1736,0,44720.7490686867
"2093/2094",2094,123,123,100,0,-1862.5,0,46340.3019052073
"2094/2095",2095,123,123,100,0,-2199.5,0,48905.4826491568
"2095/2096",2096,123,123,100,0,-2175,0,49082.0271807723
"2096/2097",2097,123,123,100,1,-2032.5,0,47710.3288124967
"2097/2098",2098,123,123,100,0,-1899,0,46071.7168317102
"2098/2099",2099,123,123,100,1,-2188.5,0,48217.007983515
"2099/2100",2100,123,123,100,0,-1949.5,0,47068.9275493287
