"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2539,0,51931.5335184775
"2000/2001",2001,123,123,100,0,-2434.5,0,51093.3539913411
"2001/2002",2002,123,123,100,0,-2579,0,53003.1293357406
"2002/2003",2003,123,123,100,0,-2535,0,52152.0302591203
"2003/2004",2004,123,123,100,0,-2540.5,0,52058.9734657599
"2004/2005",2005,123,123,100,0,-2565,0,51803.040863564
"2005/2006",2006,123,123,100,5,-2446,0,50929.926803347
"2006/2007",2007,123,123,100,0,-2521,0,51646.0385511147
"2007/2008",2008,123,123,100,0,-2620,0,52442.2830833904
"2008/2009",2009,123,123,100,0,-2504.5,0,51921.7987632928
"2009/2010",2010,123,123,100,0,-2620.5,0,51988.1085522422
"2010/2011",2011,123,123,100,0,-2473,0,51272.9991923247
"2011/2012",2012,123,123,100,0,-2549,0,51713.3304911761
"2012/2013",2013,123,123,100,0,-2574.5,0,52066.1404839577
"2013/2014",2014,123,123,100,0,-2482.5,0,51002.1794266738
"2014/2015",2015,123,123,100,0,-2607.5,0,52588.5195175414
"2015/2016",2016,123,123,100,0,-2532.5,0,52281.8426620802
"2016/2017",2017,123,123,100,0,-2462,0,51573.8102792818
"2017/2018",2018,123,123,100,0,-2358,0,49979.722688192
"2018/2019",2019,123,123,100,0,-2613.5,0,52101.1398170423
"2019/2020",2020,123,123,100,0,-2608.5,0,51583.1059211176
"2020/2021",2021,123,123,100,0,-2592,0,52588.6715689451
"2021/2022",2022,123,123,100,0,-2529,0,51917.7911932725
"2022/2023",2023,123,123,100,1,-2390,0,50399.4945738483
"2023/2024",2024,123,123,100,0,-2693.5,0,53336.4711330482
"2024/2025",2025,123,123,100,0,-2472,0,51379.9956870573
"2025/2026",2026,123,123,100,0,-2466.5,0,51342.8809495838
"2026/2027",2027,123,123,100,0,-2617,0,52703.7999233101
"2027/2028",2028,123,123,100,0,-2537.5,0,52311.190445994
"2028/2029",2029,123,123,100,0,-2559.5,0,51876.1805186733
"2029/2030",2030,123,123,100,0,-2581,0,52293.5409033904
"2030/2031",2031,123,123,100,0,-2529.5,0,51402.3039364759
"2031/2032",2032,123,123,100,0,-2467,0,51059.0734632351
"2032/2033",2033,123,123,100,0,-2607.5,0,52248.4345371146
"2033/2034",2034,123,123,100,0,-2633.5,0,52528.9607365737
"2034/2035",2035,123,123,100,0,-2402.5,0,50859.6765220435
"2035/2036",2036,123,123,100,0,-2379,0,50176.8981533293
"2036/2037",2037,123,123,100,0,-2618.5,0,52725.1244990667
"2037/2038",2038,123,123,100,0,-2683,0,52306.8497753683
"2038/2039",2039,123,123,100,0,-2616.5,0,52997.0530491732
"2039/2040",2040,123,123,100,0,-2529,0,51864.9482762367
"2040/2041",2041,123,123,100,0,-2587.5,0,52534.1684731124
