"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1814,1865,85.2083217883321,3086.83743208313
"2000/2001",2001,123,123,100,1940,2057,90.2141149364031,3054.03481167542
"2001/2002",2002,123,123,100,1963,2018,90.6042114675736,2944.18211512498
"2002/2003",2003,123,123,100,1832,1861.5,87.0561454106432,2999.17638333325
"2003/2004",2004,123,123,100,2049,1946.5,90.3324002227986,2677.90405885776
"2004/2005",2005,123,123,100,1892,2006,88.3671879486435,3015.29144852352
"2005/2006",2006,123,123,100,1771,1987,89.1990206190465,2935.62392295519
"2006/2007",2007,123,123,100,1735,1805,84.7361758694187,3153.48716996086
"2007/2008",2008,123,123,100,1731,1992,88.7335700543158,4363.02012812009
"2008/2009",2009,123,123,100,1795,1864.5,88.0882468854859,3299.98388167343
"2009/2010",2010,123,123,100,1992,1880,88.0409065479937,2173.42085622088
"2010/2011",2011,123,123,100,2080,2207.5,91.7260169050005,2604.86459526652
"2011/2012",2012,123,123,100,1891,2014,88.4272869016193,2795.00801697304
"2012/2013",2013,123,123,100,1886,1927,85.5967961766582,2161.53545902588
"2013/2014",2014,123,123,100,1899,1982,89.46607514569,3235.08080614172
"2014/2015",2015,123,123,100,1877,1953.5,90.2626643485924,3310.39993453561
"2015/2016",2016,123,123,100,2002,2111.5,90.853861418133,3410.71218739881
"2016/2017",2017,123,123,100,1822,2125,90.514780289046,4469.36125540955
"2017/2018",2018,123,123,100,1889,2016.5,89.8012269256251,3597.40814617847
"2018/2019",2019,123,123,100,1699,1841.5,85.9188622936244,2770.99937971239
"2019/2020",2020,123,123,100,2024,2113.5,91.1456817067265,2496.58927736571
"2020/2021",2021,123,123,100,1907,1947,89.6489738364767,3021.43285690015
"2021/2022",2022,123,123,100,1830,2042.5,90.2147682052928,3908.15987312864
"2022/2023",2023,123,123,100,1840,2102.5,91.2331193304644,3419.35756720323
"2023/2024",2024,123,123,100,1878,1926.5,88.8836893164566,2943.13133904128
"2024/2025",2025,123,123,100,1773,1921.5,85.3226484570441,4084.23848335235
"2025/2026",2026,123,123,100,1759,1911,86.6917375209223,3579.25380117726
"2026/2027",2027,123,123,100,1999,2129.5,90.7329087757525,3313.22131226631
"2027/2028",2028,123,123,100,1859,2007,90.0882010502883,3773.90599399176
"2028/2029",2029,123,123,100,2003,1852,86.8922217375593,2428.64262941619
"2029/2030",2030,123,123,100,1788,2099.5,90.8015705244352,3810.99987901072
"2030/2031",2031,123,123,100,1926,1881.5,87.416851337769,2797.80827814015
"2031/2032",2032,123,123,100,2086,2143.5,91.980635496644,2649.43810643628
"2032/2033",2033,123,123,100,2080,1855.5,86.5459990441104,2078.84157643584
"2033/2034",2034,123,123,100,1828,1962.5,89.7921926946774,3266.31421051477
"2034/2035",2035,123,123,100,1890,2130,90.7180043541985,3478.0817233345
"2035/2036",2036,123,123,100,2060,2035,87.5810310326196,2730.7662020179
"2036/2037",2037,123,123,100,1695,1824.5,86.0030972384748,4368.71140616806
"2037/2038",2038,123,123,100,1935,1962,89.2373076000868,2514.28605898609
"2038/2039",2039,123,123,100,2033,2140,90.6845987858942,3714.23007959826
"2039/2040",2040,123,123,100,1942,2033,91.0229189271877,3167.05415024795
"2040/2041",2041,123,123,100,1843,1978,90.1495277259028,2958.34040224133
"2041/2042",2042,123,123,100,1971,2056,88.7721139170108,2519.8133350783
"2042/2043",2043,123,123,100,2001,2089.5,90.0312573613382,2910.96044795122
"2043/2044",2044,123,123,100,1860,1983.5,89.7050487606712,3098.76627235813
"2044/2045",2045,123,123,100,1961,2203,91.3891416617371,3104.64277454419
"2045/2046",2046,123,123,100,1952,2195,92.1084518844118,3643.75796144223
"2046/2047",2047,123,123,100,1871,2002.5,89.7946878430848,3792.78852134291
"2047/2048",2048,123,123,100,1912,2107,91.7286934782705,2887.86536167609
"2048/2049",2049,123,123,100,1748,1832.5,86.8822530457473,2929.83186643152
"2049/2050",2050,123,123,100,1661,1813.5,84.3902132801286,3810.4998367019
"2050/2051",2051,123,123,100,1874,1799,86.3930613585162,3180.65437894315
"2051/2052",2052,123,123,100,1970,1798.5,87.0050258901465,2288.76608494483
"2052/2053",2053,123,123,100,2005,1966.5,89.1453412837582,2291.50801163819
"2053/2054",2054,123,123,100,1861,1904,87.2543623839229,3219.33230333636
"2054/2055",2055,123,123,100,2039,2019,89.4131997919303,2539.73009884078
"2055/2056",2056,123,123,100,1916,1890,88.0021595545186,2055.30725905672
"2056/2057",2057,123,123,100,1875,1808,85.8157738149348,2456.22531156382
"2057/2058",2058,123,123,100,2006,1968.5,88.0941948079289,2521.20815062895
"2058/2059",2059,123,123,100,1961,2029,90.6424177413755,3047.29049514374
"2059/2060",2060,123,123,100,1768,1933.5,87.6660588614977,3074.26595511474
"2060/2061",2061,123,123,100,2040,2089,91.1089131759327,2426.68660976458
"2061/2062",2062,123,123,100,1988,1872.5,88.6268355471548,2063.15114933159
"2062/2063",2063,123,123,100,2038,2014.5,90.2788021047327,3335.81657087663
"2063/2064",2064,123,123,100,1880,1866.5,87.616750112953,2507.21450564591
"2064/2065",2065,123,123,100,2001,2131.5,90.8452650770214,3174.36999931
"2065/2066",2066,123,123,100,1760,1913,87.5393492940857,3867.19646269642
"2066/2067",2067,123,123,100,2074,2093,91.3678190832798,2042.39561594278
"2067/2068",2068,123,123,100,1935,2013,89.9386846182279,3249.47098710993
"2068/2069",2069,123,123,100,1817,2111,90.9858710475273,4402.95679639885
"2069/2070",2070,123,123,100,1893,2072.5,91.80641807139,3168.85214920482
"2070/2071",2071,123,123,100,1989,1892,87.7584663292273,1927.80067527154
"2071/2072",2072,123,123,100,2090,2034,87.9737962036579,2231.83507517073
"2072/2073",2073,123,123,100,1665,1736.5,83.662382547207,3363.00318579748
"2073/2074",2074,123,123,100,2053,1775.5,85.1916839999176,1483.32791877165
"2074/2075",2075,123,123,100,2037,1875,86.5750046553349,2120.59417968709
"2075/2076",2076,123,123,100,1915,1910,88.8350232389912,3176.47618074156
