"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1874,2003,87.3758545361258,3601.48098910791
"2000/2001",2001,123,123,100,1838,2072,90.9339713673544,3823.07303471552
"2001/2002",2002,123,123,100,1868,2089.5,90.8463430367673,3650.02731609481
"2002/2003",2003,123,123,100,1782,2002,87.7075730432041,3505.3498064561
"2003/2004",2004,123,123,100,1941,2027.5,91.3885305386474,3394.34694859202
"2004/2005",2005,123,123,100,1892,2087.5,89.9512683772066,3627.33743772493
"2005/2006",2006,123,123,100,1758,2094,90.7819723188504,3476.62541381753
"2006/2007",2007,123,123,100,1689,1852,84.4498013019547,3933.37461971585
"2007/2008",2008,123,123,100,1646,2027,89.5201847957912,5161.38844718016
"2008/2009",2009,123,123,100,1773,1938,89.0607039873662,3882.8069054028
"2009/2010",2010,123,123,100,1962,1998.5,89.0862092889511,2848.64441918931
"2010/2011",2011,123,123,100,2016,2371,94.559673359408,3105.71342974901
"2011/2012",2012,123,123,100,1835,2052.5,89.7262552321347,3491.32253146567
"2012/2013",2013,123,123,100,1781,1963.5,87.2790773488655,2897.7826226746
"2013/2014",2014,123,123,100,1857,2050,90.2917210987216,3917.73047238402
"2014/2015",2015,123,123,100,1823,2010.5,90.2117807765921,4015.06104769395
"2015/2016",2016,123,123,100,1918,2172,92.4234414584203,4161.67313378886
"2016/2017",2017,123,123,100,1721,2103.5,89.0539636744684,5352.97166341008
"2017/2018",2018,123,123,100,1785,2073.5,91.4219377907457,4404.82141624927
"2018/2019",2019,123,123,100,1695,1931.5,86.7150437272162,3271.75600919942
"2019/2020",2020,123,123,100,1912,2190.5,92.2290550593498,3258.76479769172
"2020/2021",2021,123,123,100,1840,2043,90.2712962392993,3579.36963572796
"2021/2022",2022,123,123,100,1779,2108.5,91.6152611839866,4639.51630592137
"2022/2023",2023,123,123,100,1825,2169.5,91.7101064876474,4104.6385225358
"2023/2024",2024,123,123,100,1828,1953,89.2213249552565,3765.44578811061
"2024/2025",2025,123,123,100,1748,1973.5,86.2040222377163,4806.68414052133
"2025/2026",2026,123,123,100,1710,1973,89.1931189929146,4270.16732687037
"2026/2027",2027,123,123,100,1942,2198.5,92.7303333913724,4064.07886176882
"2027/2028",2028,123,123,100,1828,2022,88.0058336150232,4677.58825996658
