"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1999,0,45986.8416663947
"2000/2001",2001,123,123,100,0,-1844,0,44944.3380422663
"2001/2002",2002,123,123,100,0,-2042.5,0,46159.8151818635
"2002/2003",2003,123,123,100,0,-2029,0,46503.8742516188
"2003/2004",2004,123,123,100,0,-2024,0,46340.2651351003
"2004/2005",2005,123,123,100,0,-1928.5,0,45623.8327772723
"2005/2006",2006,123,123,100,0,-1893.5,1.00485489228902,45088.634364242
"2006/2007",2007,123,123,100,0,-1984,0,45957.8124730291
"2007/2008",2008,123,123,100,0,-1904,0,45214.4849038387
"2008/2009",2009,123,123,100,0,-1980.5,0,46124.0470572768
"2009/2010",2010,123,123,100,0,-2110.5,0,47374.2251045816
"2010/2011",2011,123,123,100,0,-1836.5,0,44933.2243926474
"2011/2012",2012,123,123,100,0,-2026.5,0,46616.0641404702
"2012/2013",2013,123,123,100,0,-2108,0,47307.2380810571
"2013/2014",2014,123,123,100,0,-1894.5,0,45443.5993213067
"2014/2015",2015,123,123,100,0,-2049,0,46534.6918797563
"2015/2016",2016,123,123,100,0,-1925,0,45241.6813736553
"2016/2017",2017,123,123,100,0,-1740,0,43916.2685566219
"2017/2018",2018,123,123,100,0,-1730.5,0,43995.3981298623
"2018/2019",2019,123,123,100,0,-2122.5,0,47343.8801223147
"2019/2020",2020,123,123,100,0,-1998.5,0,46279.0859089093
"2020/2021",2021,123,123,100,0,-2021,0,46342.7572045941
"2021/2022",2022,123,123,100,0,-1897.5,0,45238.4305063281
"2022/2023",2023,123,123,100,0,-1761,0,44120.9487994225
"2023/2024",2024,123,123,100,0,-2160,0,47498.8798216335
"2024/2025",2025,123,123,100,0,-1825.5,0,44676.7345462134
"2025/2026",2026,123,123,100,0,-1882.5,0,45225.9358398621
"2026/2027",2027,123,123,100,0,-2004.5,0,46023.1500462373
"2027/2028",2028,123,123,100,0,-1887.5,0,45041.3751475206
"2028/2029",2029,123,123,100,0,-2061.5,0,46784.974158179
"2029/2030",2030,123,123,100,0,-1896,0,45050.3211487383
"2030/2031",2031,123,123,100,0,-1955.5,0,46278.8760806862
"2031/2032",2032,123,123,100,0,-1817.5,0,44988.1320973057
"2032/2033",2033,123,123,100,0,-2151,0,47771.251293594
"2033/2034",2034,123,123,100,0,-2050.5,0,46434.9120413549
"2034/2035",2035,123,123,100,0,-1718,1.0030657855766,43763.5060099848
"2035/2036",2036,123,123,100,0,-1803,0,44410.9547234578
"2036/2037",2037,123,123,100,0,-1961.5,0,45767.8482006099
"2037/2038",2038,123,123,100,0,-2138.5,0,47475.2620439045
"2038/2039",2039,123,123,100,0,-1959.5,0,45600.0236740233
"2039/2040",2040,123,123,100,0,-1917.5,0,45690.9512311239
"2040/2041",2041,123,123,100,0,-1968,0,45894.9132871544
"2041/2042",2042,123,123,100,0,-2001,0,46406.560793058
"2042/2043",2043,123,123,100,0,-1947.5,0,45469.4392289724
"2043/2044",2044,123,123,100,0,-1878,0,45027.7805179153
"2044/2045",2045,123,123,100,0,-1699,0,44060.9565250417
"2045/2046",2046,123,123,100,0,-1603,0,43042.0937311379
"2046/2047",2047,123,123,100,0,-1877.5,0,45095.2829080075
