"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2337.5,0,49045.1363638218
"2000/2001",2001,123,123,100,0,-2195,0,48126.6058283315
"2001/2002",2002,123,123,100,0,-2374,0,49301.0327919715
"2002/2003",2003,123,123,100,0,-2363,0,49572.4108878585
"2003/2004",2004,123,123,100,0,-2355,0,49453.3574628851
"2004/2005",2005,123,123,100,0,-2311,0,48661.8316348727
"2005/2006",2006,123,123,100,0,-2256,0,48193.3902737647
"2006/2007",2007,123,123,100,0,-2357,0,49146.130067436
"2007/2008",2008,123,123,100,0,-2291,0,48437.6117080033
"2008/2009",2009,123,123,100,0,-2315,0,49173.6466020215
"2009/2010",2010,123,123,100,0,-2435.5,0,50284.8132733463
"2010/2011",2011,123,123,100,0,-2202,0,48046.3509967369
"2011/2012",2012,123,123,100,0,-2355,0,49622.4529851479
"2012/2013",2013,123,123,100,0,-2404,0,50273.2918733878
"2013/2014",2014,123,123,100,0,-2255.5,0,48434.6627678997
"2014/2015",2015,123,123,100,0,-2387,0,49580.8459039698
"2015/2016",2016,123,123,100,0,-2260,0,48374.6544566094
"2016/2017",2017,123,123,100,0,-2118.5,0,47161.3940393473
"2017/2018",2018,123,123,100,0,-2075,0,47156.0532492255
"2018/2019",2019,123,123,100,0,-2463.5,0,50322.672236634
"2019/2020",2020,123,123,100,0,-2351,0,49221.5872205584
"2020/2021",2021,123,123,100,0,-2375.5,0,49460.830797941
"2021/2022",2022,123,123,100,0,-2252.5,0,48286.9875615989
"2022/2023",2023,123,123,100,0,-2148.5,0,47345.6050127335
"2023/2024",2024,123,123,100,0,-2511.5,0,50477.5882484312
"2024/2025",2025,123,123,100,0,-2262,0,47972.7920167083
"2025/2026",2026,123,123,100,0,-2251.5,0,48353.7403605357
"2026/2027",2027,123,123,100,0,-2374,0,49066.6418670295
"2027/2028",2028,123,123,100,0,-2285.5,0,48273.9858698016
"2028/2029",2029,123,123,100,0,-2400,0,49855.4828212587
"2029/2030",2030,123,123,100,0,-2280.5,0,48263.075408102
"2030/2031",2031,123,123,100,0,-2323,0,49214.1771144308
"2031/2032",2032,123,123,100,0,-2206.5,0,48215.2015152862
"2032/2033",2033,123,123,100,0,-2460.5,0,50628.1349521279
"2033/2034",2034,123,123,100,0,-2381.5,0,49484.9418567093
"2034/2035",2035,123,123,100,0,-2126.5,0,47054.1096244641
"2035/2036",2036,123,123,100,0,-2157,0,47560.0286097685
"2036/2037",2037,123,123,100,0,-2342.5,0,48896.132687916
"2037/2038",2038,123,123,100,0,-2437.5,0,50285.7536202082
"2038/2039",2039,123,123,100,0,-2328,0,48734.2820649697
"2039/2040",2040,123,123,100,0,-2279,0,48710.9577436261
"2040/2041",2041,123,123,100,0,-2343.5,0,49080.6625023922
"2041/2042",2042,123,123,100,0,-2353.5,0,49414.3027523179
"2042/2043",2043,123,123,100,0,-2323.5,0,48687.7116847262
"2043/2044",2044,123,123,100,0,-2235,0,48188.2369009797
"2044/2045",2045,123,123,100,0,-2110,0,47255.356200112
"2045/2046",2046,123,123,100,0,-2011.5,0,46343.1569890026
"2046/2047",2047,123,123,100,0,-2298.5,0,48340.3562977109
"2047/2048",2048,123,123,100,0,-2287,0,48619.1525849905
"2048/2049",2049,123,123,100,0,-2419,0,49725.5148781585
"2049/2050",2050,123,123,100,0,-2325.5,0,48968.4364164099
"2050/2051",2051,123,123,100,0,-2343.5,0,49064.3503862694
"2051/2052",2052,123,123,100,0,-2498.5,0,50523.8443594566
"2052/2053",2053,123,123,100,0,-2382,0,49708.152453593
"2053/2054",2054,123,123,100,0,-2339,0,49012.7869873848
"2054/2055",2055,123,123,100,0,-2453,0,49911.0150775183
"2055/2056",2056,123,123,100,0,-2464.5,0,50473.1439501233
"2056/2057",2057,123,123,100,0,-2406,0,49714.7556960657
"2057/2058",2058,123,123,100,0,-2447,0,50581.35831259
"2058/2059",2059,123,123,100,0,-2373,0,49058.5819398612
"2059/2060",2060,123,123,100,0,-2424,0,49959.4191778619
"2060/2061",2061,123,123,100,0,-2267.5,0,48477.9997585583
"2061/2062",2062,123,123,100,0,-2368.5,0,49646.6961225048
"2062/2063",2063,123,123,100,0,-2339,0,48993.8219767846
"2063/2064",2064,123,123,100,0,-2479.5,0,50387.5367186908
"2064/2065",2065,123,123,100,0,-2315,0,48844.7558289114
"2065/2066",2066,123,123,100,0,-2349,0,48984.778922189
"2066/2067",2067,123,123,100,0,-2403.5,0,49945.9533117171
"2067/2068",2068,123,123,100,0,-2244,0,48465.4934246484
