"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2680,0,52324.2368793472
"2000/2001",2001,123,123,100,0,-2547,0,51489.9122630506
"2001/2002",2002,123,123,100,0,-2704,0,52569.8159126823
"2002/2003",2003,123,123,100,0,-2682.5,0,52802.5641316328
"2003/2004",2004,123,123,100,0,-2688.5,0,52708.2773406745
"2004/2005",2005,123,123,100,0,-2686,0,51985.8702677941
"2005/2006",2006,123,123,100,0,-2633.5,0,51493.6622407401
"2006/2007",2007,123,123,100,0,-2710.5,0,52554.3696543509
"2007/2008",2008,123,123,100,0,-2707,0,51719.3368388417
"2008/2009",2009,123,123,100,0,-2651.5,0,52370.2501958145
"2009/2010",2010,123,123,100,0,-2778.5,0,53400.4687151695
"2010/2011",2011,123,123,100,0,-2603.5,0,51438.9991809616
"2011/2012",2012,123,123,100,0,-2660,0,52782.178769412
"2012/2013",2013,123,123,100,0,-2729,0,53440.7327822535
"2013/2014",2014,123,123,100,0,-2614.5,0,51711.6204580814
"2014/2015",2015,123,123,100,0,-2717,0,52765.3631953355
"2015/2016",2016,123,123,100,0,-2632,0,51687.0630556205
"2016/2017",2017,123,123,100,0,-2533,0,50633.8439501678
"2017/2018",2018,123,123,100,0,-2487.5,0,50621.6881345166
"2018/2019",2019,123,123,100,0,-2746.5,0,53471.0593372509
"2019/2020",2020,123,123,100,0,-2669.5,0,52237.1248504715
"2020/2021",2021,123,123,100,0,-2739.5,0,52686.9290772397
"2021/2022",2022,123,123,100,0,-2629.5,0,51562.0927588958
"2022/2023",2023,123,123,100,0,-2546.5,0,50830.4655759563
"2023/2024",2024,123,123,100,0,-2799.5,0,53569.555728599
"2024/2025",2025,123,123,100,0,-2647,0,51444.7253693859
"2025/2026",2026,123,123,100,0,-2583.5,0,51684.3506779326
"2026/2027",2027,123,123,100,0,-2700.5,0,52299.6971630845
"2027/2028",2028,123,123,100,0,-2673.5,0,51651.3540326729
"2028/2029",2029,123,123,100,0,-2711,0,53089.8252866343
"2029/2030",2030,123,123,100,0,-2663.5,0,51628.6302040536
"2030/2031",2031,123,123,100,0,-2675,0,52351.842214277
"2031/2032",2032,123,123,100,0,-2620,0,51659.8460789593
"2032/2033",2033,123,123,100,0,-2748,0,53691.8965091705
"2033/2034",2034,123,123,100,0,-2741.5,0,52687.4372235704
"2034/2035",2035,123,123,100,0,-2535.5,0,50564.6763104917
"2035/2036",2036,123,123,100,0,-2550.5,0,51035.9072625274
"2036/2037",2037,123,123,100,0,-2677.5,0,52120.4716245355
"2037/2038",2038,123,123,100,0,-2751.5,0,53358.194778908
"2038/2039",2039,123,123,100,0,-2708.5,0,51995.3951976979
"2039/2040",2040,123,123,100,0,-2630,0,52000.6215206254
"2040/2041",2041,123,123,100,0,-2730,0,52421.7193153761
"2041/2042",2042,123,123,100,0,-2674.5,0,52604.2002192177
"2042/2043",2043,123,123,100,0,-2718.5,0,52050.3882619618
"2043/2044",2044,123,123,100,0,-2602.5,0,51584.9577851463
"2044/2045",2045,123,123,100,0,-2565,0,50737.0296431864
"2045/2046",2046,123,123,100,0,-2392.5,0,49863.4926543692
"2046/2047",2047,123,123,100,0,-2679.5,0,51736.5102521069
"2047/2048",2048,123,123,100,0,-2627,0,51930.2128721885
"2048/2049",2049,123,123,100,0,-2714,0,52927.2511185687
"2049/2050",2050,123,123,100,0,-2617,0,52148.9707807852
"2050/2051",2051,123,123,100,0,-2689,0,52184.5178261967
"2051/2052",2052,123,123,100,0,-2818,0,53647.4122379012
"2052/2053",2053,123,123,100,0,-2691.5,0,52785.6052785777
"2053/2054",2054,123,123,100,0,-2732,0,52341.7877396345
"2054/2055",2055,123,123,100,0,-2769.5,0,53117.3493385967
"2055/2056",2056,123,123,100,0,-2760,0,53572.4080265891
"2056/2057",2057,123,123,100,0,-2743,0,53017.9809344076
"2057/2058",2058,123,123,100,0,-2740.5,0,53614.6158717088
"2058/2059",2059,123,123,100,0,-2691.5,0,52340.3081453275
"2059/2060",2060,123,123,100,0,-2739,0,53133.4680750873
"2060/2061",2061,123,123,100,0,-2606.5,0,51818.431052424
"2061/2062",2062,123,123,100,0,-2706,0,52888.9492299277
"2062/2063",2063,123,123,100,0,-2714,0,52280.7822772842
"2063/2064",2064,123,123,100,0,-2784.5,0,53520.4528104663
"2064/2065",2065,123,123,100,0,-2665,0,52125.1619211324
"2065/2066",2066,123,123,100,0,-2680.5,0,52269.4480614644
"2066/2067",2067,123,123,100,0,-2762,0,53111.0207257159
"2067/2068",2068,123,123,100,0,-2633.5,0,51780.6480268594
"2068/2069",2069,123,123,100,0,-2638,0,51195.2852251772
