"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1122,1235,72.6750554828721,12241.5551366815
"2000/2001",2001,123,123,100,1201,1335.5,73.1952165238877,11506.8326603989
"2001/2002",2002,123,123,100,1150,1219.5,69.2707169789762,13105.3895634931
"2002/2003",2003,123,123,100,1165,1250.5,72.5828094177741,12006.4593596576
"2003/2004",2004,123,123,100,1214,1336.5,74.5941201703761,11609.8011686952
"2004/2005",2005,123,123,100,1226,1360.5,72.1890547020065,12120.3016665434
"2005/2006",2006,123,123,100,1225,1304,74.6977339335185,11273.5323612711
"2006/2007",2007,123,123,100,1181,1269,74.1364209987465,11620.8129117055
"2007/2008",2008,123,123,100,1013,1268.5,69.9009884803104,14257.0056540768
"2008/2009",2009,123,123,100,1095,1201,69.4551320158851,12984.6974091918
"2009/2010",2010,123,123,100,1162,1249.5,74.0993513485319,12201.6005007769
"2010/2011",2011,123,123,100,1220,1455,75.3066211305666,11014.8441434753
"2011/2012",2012,123,123,100,1136,1259,67.494987484376,13050.9555141691
"2012/2013",2013,123,123,100,1198,1212,70.1618660606275,12367.8612738959
"2013/2014",2014,123,123,100,1181,1314.5,71.7160543363507,11973.8239437342
"2014/2015",2015,123,123,100,1066,1231.5,69.2497178873873,13812.7934013826
"2015/2016",2016,123,123,100,1176,1135,65.1808215383544,13920.6355370595
"2016/2017",2017,123,123,100,1200,1320,70.8528201689553,12910.2764182515
"2017/2018",2018,123,123,100,1311,1461.5,76.4755462006026,10129.349060249
"2018/2019",2019,123,123,100,1211,1264,73.8725281649415,12863.5273426443
"2019/2020",2020,123,123,100,1126,1252.5,68.5001251390697,13404.9825826073
"2020/2021",2021,123,123,100,1140,1282,69.8289391535679,12536.0236552847
"2021/2022",2022,123,123,100,1042,1247,69.6629280533693,13544.0230786994
"2022/2023",2023,123,123,100,1295,1567,81.5597604612874,9430.23794364464
"2023/2024",2024,123,123,100,990,1126,65.6246481806165,15366.1502372632
"2024/2025",2025,123,123,100,1116,1357,73.7150150155553,11962.5508883127
"2025/2026",2026,123,123,100,1217,1304.5,71.3493292889675,11585.6052082432
"2026/2027",2027,123,123,100,1193,1321,68.5435676787133,13674.865745408
"2027/2028",2028,123,123,100,1138,1335,70.3096190350011,13089.3346517971
"2028/2029",2029,123,123,100,1194,1259.5,73.7904532392417,11482.7828107355
"2029/2030",2030,123,123,100,1152,1364.5,73.0787913239187,13241.98141141
"2030/2031",2031,123,123,100,1220,1290,72.0078000098993,11726.0080963438
