"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1092,1185.5,68.7802845003498,12880.0904814387
"2000/2001",2001,123,123,100,1180,1293,71.0301115866127,12147.6634173467
"2001/2002",2002,123,123,100,1134,1166.5,68.0905687024899,13843.1253804645
"2002/2003",2003,123,123,100,1163,1195.5,68.7374045236722,12650.9735480771
"2003/2004",2004,123,123,100,1188,1268.5,72.5813308515724,12370.9383096282
"2004/2005",2005,123,123,100,1192,1306,71.642327471217,12806.3225021528
"2005/2006",2006,123,123,100,1166,1244,73.4866277368893,11990.0112408315
"2006/2007",2007,123,123,100,1160,1218,71.4969832438567,12275.7539049056
"2007/2008",2008,123,123,100,988,1190.5,69.8023749800353,15068.0456526864
"2008/2009",2009,123,123,100,1080,1149,67.8879107019753,13555.75071604
"2009/2010",2010,123,123,100,1152,1191.5,73.1155653931377,12904.895949401
"2010/2011",2011,123,123,100,1196,1389.5,73.023482071752,11719.2657776416
"2011/2012",2012,123,123,100,1116,1184.5,69.2099867245209,13677.2239169291
"2012/2013",2013,123,123,100,1202,1172.5,69.067763302045,13015.9579687639
"2013/2014",2014,123,123,100,1178,1270,69.8368790447571,12657.8023483662
"2014/2015",2015,123,123,100,1047,1165.5,65.0308003131431,14550.6914606653
"2015/2016",2016,123,123,100,1174,1093.5,61.5432310862561,14602.6508952719
"2016/2017",2017,123,123,100,1180,1283,67.5219022832944,13659.6195636643
"2017/2018",2018,123,123,100,1299,1425,75.4717817665912,10797.2134866507
"2018/2019",2019,123,123,100,1182,1197,69.288881109095,13631.7128246941
"2019/2020",2020,123,123,100,1102,1192.5,66.4909025465431,14029.8907499025
"2020/2021",2021,123,123,100,1120,1242,67.2409815180501,13235.8109869089
"2021/2022",2022,123,123,100,1013,1190,65.4827251474296,14214.2477732906
"2022/2023",2023,123,123,100,1270,1520.5,81.4777327117699,10149.8769810249
"2023/2024",2024,123,123,100,970,1066,61.5017108032516,15993.9200531212
"2024/2025",2025,123,123,100,1096,1313,71.3097496681232,12636.8216269179
"2025/2026",2026,123,123,100,1199,1273.5,71.3639527991895,12162.9344398589
"2026/2027",2027,123,123,100,1164,1259,65.6971095338795,14426.5617365395
"2027/2028",2028,123,123,100,1102,1274,69.6670697988329,13823.2883278374
"2028/2029",2029,123,123,100,1197,1219.5,71.5371298133509,12164.9983317042
"2029/2030",2030,123,123,100,1106,1296.5,70.374541901248,13973.6177011929
"2030/2031",2031,123,123,100,1212,1245.5,72.008955941968,12363.8376128091
"2031/2032",2032,123,123,100,1242,1418.5,76.1692629910867,11384.0303041483
"2032/2033",2033,123,123,100,1169,1115.5,62.9033605373024,13491.0669494653
"2033/2034",2034,123,123,100,1045,1205.5,68.5803486780401,14208.8355718451
"2034/2035",2035,123,123,100,1192,1320.5,72.2715405799399,12105.8902366213
"2035/2036",2036,123,123,100,1287,1295.5,75.4076906987716,10354.9702794878
"2036/2037",2037,123,123,100,1062,1185.5,69.6253482478883,14147.1486963262
"2037/2038",2038,123,123,100,1033,1103.5,67.5330105917255,14662.1735244743
"2038/2039",2039,123,123,100,1147,1218.5,67.5040569003304,14652.6433732305
"2039/2040",2040,123,123,100,1180,1202.5,67.0261454712731,13666.1675008284
"2040/2041",2041,123,123,100,1189,1311,73.9112194359559,12894.5257912185
"2041/2042",2042,123,123,100,1201,1205.5,66.7100250025328,14165.9699486261
"2042/2043",2043,123,123,100,1210,1387.5,75.7384335851821,12502.6335908575
"2043/2044",2044,123,123,100,1194,1312.5,72.3158594136489,11759.4568469729
"2044/2045",2045,123,123,100,1216,1347.5,74.0457508748877,12016.0288542751
"2045/2046",2046,123,123,100,1220,1473.5,77.3650218889488,10486.2293242491
"2046/2047",2047,123,123,100,1100,1230.5,68.7904752085519,13716.6621943358
"2047/2048",2048,123,123,100,1217,1328.5,69.7675463230221,12737.7199063231
"2048/2049",2049,123,123,100,1181,1239,72.811644309113,12283.9590246142
"2049/2050",2050,123,123,100,1097,1196.5,73.9271408322393,12798.8926111944
"2050/2051",2051,123,123,100,1115,1128,69.0022509742103,13241.6276244377
"2051/2052",2052,123,123,100,1233,1232,72.5986873123147,12752.7822299497
"2052/2053",2053,123,123,100,1061,1121,64.3314903937689,14241.2055866318
"2053/2054",2054,123,123,100,1134,1276,74.8339047210629,12492.8171911249
"2054/2055",2055,123,123,100,1193,1251.5,69.7571872967228,13771.5403077006
"2055/2056",2056,123,123,100,1111,1134,66.3675693661162,13621.8685560478
"2056/2057",2057,123,123,100,1166,1223.5,70.7826903456598,11832.055579829
"2057/2058",2058,123,123,100,1109,1014,56.5012182528035,15689.2654005289
"2058/2059",2059,123,123,100,1119,1225,68.7803636700846,13649.1572699193
"2059/2060",2060,123,123,100,1219,1219.5,65.6492096611792,14086.0926834112
"2060/2061",2061,123,123,100,1254,1251.5,72.4530081896019,11588.8410465596
"2061/2062",2062,123,123,100,1251,1199,71.7804580345301,11878.2400796637
"2062/2063",2063,123,123,100,1141,1225,66.8200734155125,13319.4446379179
"2063/2064",2064,123,123,100,1197,1186.5,70.6968619795534,13269.0834463602
"2064/2065",2065,123,123,100,1152,1344,70.0219974245128,13509.5036077127
"2065/2066",2066,123,123,100,1069,1168.5,69.5498394600318,14460.2245080238
"2066/2067",2067,123,123,100,1199,1251,69.4651999137477,13432.2649892038
"2067/2068",2068,123,123,100,1113,1301.5,73.1170461006786,12672.8732492356
"2068/2069",2069,123,123,100,1058,1337,72.040189499643,14090.8738534655
"2069/2070",2070,123,123,100,1237,1429.5,76.5206693587761,12100.1230694521
"2070/2071",2071,123,123,100,1218,1205.5,67.4710501607615,13487.1490127379
"2071/2072",2072,123,123,100,1184,1128,65.8923763553448,14219.2422155486
"2072/2073",2073,123,123,100,972,949,61.5991203825233,16004.2227312895
"2073/2074",2074,123,123,100,1146,1045.5,63.0269376303895,14301.5002752496
"2074/2075",2075,123,123,100,1192,1186,72.7822675474945,11972.741107584
"2075/2076",2076,123,123,100,1131,1244,69.0929835404186,13000.7343291575
"2076/2077",2077,123,123,100,1045,1122.5,67.144364332753,13434.4125318984
