"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1012,1071,64.7652317781041,14907.9039030894
"2000/2001",2001,123,123,100,1115,1170.5,68.8412189560529,14179.3810542904
"2001/2002",2002,123,123,100,1038,1030,60.7510824757096,15922.207796456
"2002/2003",2003,123,123,100,1031,1058,65.0583528837832,14726.5203954161
"2003/2004",2004,123,123,100,1104,1155.5,68.9850001499362,14355.1279560466
"2004/2005",2005,123,123,100,1074,1178.5,65.3855179611274,14868.4561737191
"2005/2006",2006,123,123,100,1069,1157,67.3091111208991,13810.5642338354
"2006/2007",2007,123,123,100,1016,1076.5,63.5243729895832,14300.3613649394
"2007/2008",2008,123,123,100,856,996.5,62.3993418300445,17317.3022695401
"2008/2009",2009,123,123,100,1009,1017.5,59.8825155953666,15583.5336484032
"2009/2010",2010,123,123,100,1047,1041.5,65.146238638705,15064.3574302165
"2010/2011",2011,123,123,100,1097,1282,68.168527460236,13661.2875973268
"2011/2012",2012,123,123,100,1068,1054.5,59.4590854930857,15699.5802648963
"2012/2013",2013,123,123,100,1062,1039.5,63.4372687709991,15101.5616633082
"2013/2014",2014,123,123,100,1051,1133,65.8133367631388,14717.7176789287
"2014/2015",2015,123,123,100,941,1003.5,61.9780992413635,16758.3760717839
"2015/2016",2016,123,123,100,1050,945.5,55.6662457244065,16771.1574554762
"2016/2017",2017,123,123,100,1044,1130.5,64.5900786340155,15896.679128617
"2017/2018",2018,123,123,100,1151,1313,71.3754697983716,12700.7424789816
"2018/2019",2019,123,123,100,1067,1081,64.441019417234,15584.1492684465
"2019/2020",2020,123,123,100,987,1063,63.1595677602086,16029.3792506412
"2020/2021",2021,123,123,100,981,1094,63.3089167857147,15407.3032610125
"2021/2022",2022,123,123,100,940,1023,60.5484194186763,16351.3823519528
"2022/2023",2023,123,123,100,1128,1392,73.8958497403721,12173.6145747176
"2023/2024",2024,123,123,100,826,851.5,52.9415391628504,18414.7972747392
"2024/2025",2025,123,123,100,963,1126.5,65.9542149534125,14833.7800768479
"2025/2026",2026,123,123,100,1050,1134,64.2343822976495,14178.4833952882
"2026/2027",2027,123,123,100,1012,1107.5,59.2676936681105,16499.2014639317
"2027/2028",2028,123,123,100,981,1089,66.7027653008022,15986.6034641052
"2028/2029",2029,123,123,100,1093,1095.5,65.9497620144234,14135.8528638482
"2029/2030",2030,123,123,100,965,1150.5,63.4702232071586,16086.2987198625
"2030/2031",2031,123,123,100,1080,1087,67.001711513085,14531.3385887169
"2031/2032",2032,123,123,100,1139,1320.5,70.8419027099226,13306.4529092293
"2032/2033",2033,123,123,100,1096,951.5,62.5927118817626,15539.9544098154
"2033/2034",2034,123,123,100,942,1017,58.3625959256306,16494.313805304
"2034/2035",2035,123,123,100,1088,1209.5,66.4029500547113,13999.9064421193
"2035/2036",2036,123,123,100,1193,1209.5,70.4106539048598,12236.7382149515
"2036/2037",2037,123,123,100,937,933.5,63.0060583914151,16685.9453966948
"2037/2038",2038,123,123,100,948,962,59.6181464392221,16676.0923183295
"2038/2039",2039,123,123,100,1039,1041,63.4305825666511,16871.1701725423
"2039/2040",2040,123,123,100,1024,1033,60.2631715941193,15927.7872463339
"2040/2041",2041,123,123,100,1084,1197.5,67.3823688117145,14855.0190544063
"2041/2042",2042,123,123,100,1050,1032.5,59.0563772378273,16234.9072986743
