"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2149,1779.5,86.6422091551478,931.666233986403
"2000/2001",2001,123,123,100,2028,1720,83.0801818620139,911.543327942061
"2001/2002",2002,123,123,100,2262,1860.5,87.7995724348384,635.909762379335
"2002/2003",2003,123,123,100,2118,1877,87.1492897502525,983.626242902159
"2003/2004",2004,123,123,100,2192,1807.5,87.1243880515085,917.609307022925
"2004/2005",2005,123,123,100,2122,1685,86.1884976379192,972.176944489416
"2005/2006",2006,123,123,100,2063,1677,84.1992504776269,1026.38256855341
"2006/2007",2007,123,123,100,2352,1884,87.8418938325738,829.651194358041
"2007/2008",2008,123,123,100,2104,1549,83.9598003028905,725.750575894024
"2008/2009",2009,123,123,100,2107,1798,86.8007872192175,887.676570538228
"2009/2010",2010,123,123,100,2237,1864,88.3792648824551,1242.28668753555
"2010/2011",2011,123,123,100,1914,1593.5,83.9058690259503,983.14808676939
"2011/2012",2012,123,123,100,2063,1736,84.6685595180015,1073.22771187534
"2012/2013",2013,123,123,100,2154,1973,87.753718946813,1040.73890939966
"2013/2014",2014,123,123,100,2098,1671.5,86.5741829261615,826.061206691258
"2014/2015",2015,123,123,100,2156,1759.5,86.2854313074722,899.551579005201
"2015/2016",2016,123,123,100,2154,1764.5,85.3274851911665,671.842880892626
"2016/2017",2017,123,123,100,1961,1451.5,80.7205118377124,554.509429762431
"2017/2018",2018,123,123,100,1981,1573.5,82.9110401334046,842.079466200434
"2018/2019",2019,123,123,100,2202,1890,87.3291994552192,1114.95707400684
"2019/2020",2020,123,123,100,2072,1660.5,85.2408583049737,1300.64890038141
"2020/2021",2021,123,123,100,2163,1718,87.319239190354,872.036073060182
"2021/2022",2022,123,123,100,1961,1536.5,81.3509694734657,859.753122690832
"2022/2023",2023,123,123,100,2072,1620,84.5876746540443,746.622744917404
"2023/2024",2024,123,123,100,2114,1800.5,84.6873841504348,1110.82812030136
"2024/2025",2025,123,123,100,2079,1580,83.5551489227164,781.164468189585
"2025/2026",2026,123,123,100,2170,1754.5,86.8792916520388,814.408512432245
"2026/2027",2027,123,123,100,2231,1743.5,85.4070922170258,666.95451860188
"2027/2028",2028,123,123,100,2115,1650.5,84.0424531740982,674.167959391489
"2028/2029",2029,123,123,100,2176,1881.5,86.8017596191648,1121.68803196389
"2029/2030",2030,123,123,100,2169,1635,84.2481248327613,551.188082458801
"2030/2031",2031,123,123,100,2055,1777.5,86.6383017544749,1114.80042641819
"2031/2032",2032,123,123,100,2180,1630,84.9042994238271,839.72894138156
"2032/2033",2033,123,123,100,2121,1977.5,87.3040804285356,1209.18747713708
"2033/2034",2034,123,123,100,2146,1715,85.5364783703117,880.812664250145
"2034/2035",2035,123,123,100,2146,1615,83.8704863434177,555.304170135525
"2035/2036",2036,123,123,100,2053,1684.5,85.6232253116068,967.690582098323
"2036/2037",2037,123,123,100,2231,1659,84.9948360122635,619.019118012046
"2037/2038",2038,123,123,100,2070,1875,86.3520302899306,1277.2431685871
"2038/2039",2039,123,123,100,2165,1632.5,84.1961931516562,663.98225468467
"2039/2040",2040,123,123,100,2085,1687.5,86.7256112491741,805.336152099189
"2040/2041",2041,123,123,100,2235,1738.5,86.2211145309848,697.905303798965
"2041/2042",2042,123,123,100,2206,1786.5,86.2414475750684,981.198292091372
"2042/2043",2043,123,123,100,2204,1727.5,85.5912911701962,745.920445212279
"2043/2044",2044,123,123,100,2025,1703,83.3220860661131,873.135838890681
"2044/2045",2045,123,123,100,2002,1531.5,83.6409573657602,743.215465775924
"2045/2046",2046,123,123,100,1890,1389,81.132422162993,750.832133041229
"2046/2047",2047,123,123,100,2295,1668,85.0070476698838,486.421620497946
"2047/2048",2048,123,123,100,2030,1716.5,83.6192567129674,973.750047571957
"2048/2049",2049,123,123,100,2154,1874.5,86.9439713212396,1019.47748687956
"2049/2050",2050,123,123,100,2082,1727,84.8981068306275,1212.43671829137
"2050/2051",2051,123,123,100,2058,1776,86.614812974105,1224.07511203224
"2051/2052",2052,123,123,100,2242,1907.5,89.3378415202224,1204.01998236729
"2052/2053",2053,123,123,100,1969,1818,86.8021805922272,1286.47184967506
"2053/2054",2054,123,123,100,2031,1724.5,87.0830184808365,1097.54889346613
"2054/2055",2055,123,123,100,2133,1819.5,87.3172808175641,972.942029629601
"2055/2056",2056,123,123,100,2181,1975,89.3729387584481,1140.79181895824
"2056/2057",2057,123,123,100,2219,1867.5,87.765740550487,1202.09235873632
"2057/2058",2058,123,123,100,2268,1930.5,87.8779875257915,957.826348662144
"2058/2059",2059,123,123,100,2283,1792.5,85.6577777607472,699.210484639276
"2059/2060",2060,123,123,100,2230,1881,87.4547150434882,770.479046418564
"2060/2061",2061,123,123,100,2158,1813.5,85.3686561422564,940.750358816469
"2061/2062",2062,123,123,100,2197,1913,88.283994789268,1114.38119378197
"2062/2063",2063,123,123,100,2228,1715.5,84.8721688328387,791.594259141013
"2063/2064",2064,123,123,100,2161,1987.5,88.6336539343101,1200.78045379347
"2064/2065",2065,123,123,100,2206,1677,84.7861942498439,651.44912089617
"2065/2066",2066,123,123,100,2235,1759.5,85.8202529406772,693.851994275814
"2066/2067",2067,123,123,100,2182,1855.5,88.010701817846,1081.17494987603
"2067/2068",2068,123,123,100,2119,1691,84.3481974253955,806.372256148141
"2068/2069",2069,123,123,100,2140,1539,82.4446437509359,484.553537405329
"2069/2070",2070,123,123,100,2229,1728.5,86.7545255211189,657.921110707102
"2070/2071",2071,123,123,100,2256,1949,88.4835750855782,1210.50869011763
"2071/2072",2072,123,123,100,2175,1916.5,88.2136867269292,1114.39057194674
"2072/2073",2073,123,123,100,2404,2021.5,88.3628786331865,720.267586257076
"2073/2074",2074,123,123,100,2268,2085,90.8546691909141,1502.71257069684
"2074/2075",2075,123,123,100,2277,1951.5,89.1360012176665,1069.06000999571
"2075/2076",2076,123,123,100,2217,1794.5,85.7612030762539,665.74801451969
"2076/2077",2077,123,123,100,2189,1761,84.5164779353363,741.292471500114
"2077/2078",2078,123,123,100,2168,1897.5,87.971161478803,1046.4074650181
"2078/2079",2079,123,123,100,2057,1812.5,84.900097851445,1022.00536081148
"2079/2080",2080,123,123,100,2220,1804.5,87.6209798775453,724.274858177872
"2080/2081",2081,123,123,100,2138,1969,88.3077112389983,1336.46382054361
"2081/2082",2082,123,123,100,2238,2015,87.8589174804583,1119.36330667208
"2082/2083",2083,123,123,100,2085,1687,85.7433823976025,1100.67152292118
"2083/2084",2084,123,123,100,2267,1806.5,85.6617176083018,639.356551714009
"2084/2085",2085,123,123,100,2121,1764,84.72918244225,836.319634885294
"2085/2086",2086,123,123,100,2082,1594,84.7267546050462,624.962697566021
"2086/2087",2087,123,123,100,2305,2004,88.3973209106553,1149.03114097007
"2087/2088",2088,123,123,100,2106,1701.5,85.6889812032241,1018.5525839841
"2088/2089",2089,123,123,100,1991,1719,86.9391090849786,1590.09549903078
"2089/2090",2090,123,123,100,2380,1892,88.4129907884053,639.365265982226
"2090/2091",2091,123,123,100,2139,1847.5,87.2669409054506,1024.3182198829
"2091/2092",2092,123,123,100,2174,1798.5,87.2218832848303,1033.92667099368
"2092/2093",2093,123,123,100,1809,1360,79.9239796046568,792.98669834109
"2093/2094",2094,123,123,100,2080,1529.5,84.7478525587358,661.280972561333
"2094/2095",2095,123,123,100,2184,1837.5,87.2828580686837,938.819115930703
"2095/2096",2096,123,123,100,2196,1921.5,87.9875857315928,1128.91964783333
"2096/2097",2097,123,123,100,2189,1725.5,85.1485458618699,692.063493566588
"2097/2098",2098,123,123,100,1968,1670,84.0384066189399,1012.33314532042
"2098/2099",2099,123,123,100,2027,1859,85.8699273704406,1409.9989169878
"2099/2100",2100,123,123,100,2272,1679,86.0973583271043,501.337454592809
