"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2251,1939,89.2607594291765,1068.14846216484
"2000/2001",2001,123,123,100,2094,1833.5,84.7253691790602,1040.59923479654
"2001/2002",2002,123,123,100,2328,2015.5,88.859767491157,759.093175330316
"2002/2003",2003,123,123,100,2194,2018,89.0213520114772,1134.92799781173
"2003/2004",2004,123,123,100,2261,1971,89.2713707105372,1066.87720422048
"2004/2005",2005,123,123,100,2185,1843,86.7689901433416,1100.75948198617
"2005/2006",2006,123,123,100,2149,1832,86.5522072167296,1146.30536125737
"2006/2007",2007,123,123,100,2406,2070.5,89.77036310361,987.52258740025
"2007/2008",2008,123,123,100,2233,1737.5,85.0542412455015,796.644036081998
"2008/2009",2009,123,123,100,2177,1935.5,88.1961122412545,1023.38205422563
"2009/2010",2010,123,123,100,2295,2025.5,88.9864058957846,1414.72136547102
"2010/2011",2011,123,123,100,2059,1738,86.6773375559042,1092.56606707757
"2011/2012",2012,123,123,100,2154,1888.5,87.8599335614122,1218.66130902723
"2012/2013",2013,123,123,100,2202,2080.5,89.7048560420772,1241.71212971793
"2013/2014",2014,123,123,100,2191,1820,87.2820277180194,979.934172678797
"2014/2015",2015,123,123,100,2231,1914.5,88.023054685541,1055.69838396943
"2015/2016",2016,123,123,100,2206,1917,86.8812621357733,783.678976015071
"2016/2017",2017,123,123,100,2055,1564,81.6828824354288,666.977845341957
"2017/2018",2018,123,123,100,2040,1711,84.2816749001158,978.359558612166
"2018/2019",2019,123,123,100,2260,2043,89.5186600292072,1303.47447549616
"2019/2020",2020,123,123,100,2149,1854,87.0254777291948,1425.41464039922
"2020/2021",2021,123,123,100,2276,1897.5,88.5661914401935,974.106611555559
"2021/2022",2022,123,123,100,2079,1677.5,85.2284441425936,955.727456055116
"2022/2023",2023,123,123,100,2172,1783.5,87.0268092934011,864.944378001499
"2023/2024",2024,123,123,100,2180,1948,87.5813833356151,1265.28060186259
"2024/2025",2025,123,123,100,2168,1754,84.9358242884182,882.904181664228
"2025/2026",2026,123,123,100,2216,1878,87.5545668962377,964.072744498844
"2026/2027",2027,123,123,100,2301,1912,86.999878038866,799.298036082997
"2027/2028",2028,123,123,100,2229,1808,86.4635501984621,784.276392123546
"2028/2029",2029,123,123,100,2261,2031.5,89.0336421828588,1288.50567286834
"2029/2030",2030,123,123,100,2238,1800,86.4514584926137,659.263724800316
"2030/2031",2031,123,123,100,2113,1911,88.5497552091265,1307.42786732165
"2031/2032",2032,123,123,100,2239,1806.5,86.5348838965583,984.035073436215
"2032/2033",2033,123,123,100,2185,2099.5,88.8686983945172,1404.65246718156
"2033/2034",2034,123,123,100,2275,1869,87.2645161282726,1007.72942428105
"2034/2035",2035,123,123,100,2239,1799,85.6175608530339,655.018342292402
"2035/2036",2036,123,123,100,2109,1845.5,87.4750925672724,1117.56607609324
"2036/2037",2037,123,123,100,2353,1834,86.1147119438374,734.593275352032
