"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2227,2089,90.9648170948532,1589.82199622349
"2000/2001",2001,123,123,100,2049,1974.5,88.6402206054827,1575.07402745251
"2001/2002",2002,123,123,100,2293,2171,90.3916498471842,1216.44292862641
"2002/2003",2003,123,123,100,2123,2126,89.9974372489378,1686.38883846751
"2003/2004",2004,123,123,100,2253,2127,91.2765697581963,1579.79429541685
"2004/2005",2005,123,123,100,2192,2003.5,90.5219960584582,1614.99776092599
"2005/2006",2006,123,123,100,2082,1976,88.2425360909583,1701.20203686811
"2006/2007",2007,123,123,100,2366,2249.5,92.4174448754964,1421.77757044518
"2007/2008",2008,123,123,100,2206,1919,87.1807774895578,1229.44670626684
"2008/2009",2009,123,123,100,2105,2063.5,90.5474095174295,1558.49563497101
"2009/2010",2010,123,123,100,2239,2183.5,90.7972641170691,1965.74594988674
"2010/2011",2011,123,123,100,2079,1853.5,87.4884393014481,1643.88020376541
"2011/2012",2012,123,123,100,2073,2014,88.9294220962038,1813.88231216924
"2012/2013",2013,123,123,100,2162,2175,91.1624585990576,1802.80118167907
"2013/2014",2014,123,123,100,2183,1985.5,90.3468616823452,1438.05937947298
"2014/2015",2015,123,123,100,2216,2077,89.9356966721093,1533.87195016793
"2015/2016",2016,123,123,100,2162,2055,89.2425865591167,1230.00656218361
"2016/2017",2017,123,123,100,2123,1762.5,86.2334993962422,1013.22121343319
"2017/2018",2018,123,123,100,2030,1877.5,89.2348285677144,1425.53486098663
"2018/2019",2019,123,123,100,2183,2168,91.5842828101222,1903.21223646891
"2019/2020",2020,123,123,100,2142,1982.5,90.018397707935,2018.4366906432
"2020/2021",2021,123,123,100,2220,2068,90.7057700901178,1481.2636450209
"2021/2022",2022,123,123,100,2088,1836.5,87.8174396424756,1437.30712610821
"2022/2023",2023,123,123,100,2164,1933,87.7991987711202,1304.63662371715
"2023/2024",2024,123,123,100,2186,2073,90.0955758587907,1806.59470144578
"2024/2025",2025,123,123,100,2229,1908,88.1383395815592,1320.4579607551
"2025/2026",2026,123,123,100,2183,2052.5,89.6193853089253,1414.42539805104
"2026/2027",2027,123,123,100,2234,2088,89.496011074496,1244.11183359218
"2027/2028",2028,123,123,100,2247,1971.5,88.978081339641,1193.8089657533
"2028/2029",2029,123,123,100,2178,2158,91.9646331364302,1869.97194811073
"2029/2030",2030,123,123,100,2218,1985,88.5546085505393,1062.71410148439
"2030/2031",2031,123,123,100,2094,2027,90.2096135272604,1807.99738814391
"2031/2032",2032,123,123,100,2190,2004,89.2507794358744,1448.07002655801
"2032/2033",2033,123,123,100,2117,2186.5,90.9327620408803,2008.83247523545
"2033/2034",2034,123,123,100,2248,2047.5,90.0753641872507,1498.03580520418
"2034/2035",2035,123,123,100,2204,1976,88.7864607337378,1041.23036739882
"2035/2036",2036,123,123,100,2092,1988.5,88.5124989069955,1619.19806370744
"2036/2037",2037,123,123,100,2404,2053,88.5421703325155,1067.24242418725
"2037/2038",2038,123,123,100,2039,2084.5,90.8452542309587,2145.04168774514
"2038/2039",2039,123,123,100,2322,1992.5,88.4937845787026,1160.99345697113
"2039/2040",2040,123,123,100,2157,1992.5,90.3762220593908,1428.82025927538
"2040/2041",2041,123,123,100,2315,2129,90.6933427088497,1271.38403567928
"2041/2042",2042,123,123,100,2206,2102.5,89.5829126686021,1647.21133687347
"2042/2043",2043,123,123,100,2299,2105.5,90.8854504146329,1280.56290340237
"2043/2044",2044,123,123,100,2094,1970.5,88.2891210001562,1510.88346267911
"2044/2045",2045,123,123,100,2099,1867,88.4722397864407,1296.66367133032
"2045/2046",2046,123,123,100,1991,1701.5,85.5405968151208,1260.93800610793
"2046/2047",2047,123,123,100,2384,2080.5,89.88165214318,925.223253821023
"2047/2048",2048,123,123,100,2070,1966.5,87.2594029360735,1646.51824413263
"2048/2049",2049,123,123,100,2165,2134,89.6149233577489,1703.34347475553
"2049/2050",2050,123,123,100,2078,1995,89.1438994174387,1961.95620308677
"2050/2051",2051,123,123,100,2066,2026.5,89.2302437318358,1945.26093027391
"2051/2052",2052,123,123,100,2224,2215,91.8246974464437,1976.1292702104
"2052/2053",2053,123,123,100,1986,2007,89.2285935257823,2094.54541250924
"2053/2054",2054,123,123,100,2073,2013.5,88.7915389651935,1828.62252477417
"2054/2055",2055,123,123,100,2175,2098,90.7477144509285,1696.73603424616
"2055/2056",2056,123,123,100,2127,2192.5,92.9213909055015,1960.07790140272
"2056/2057",2057,123,123,100,2221,2190.5,92.5296509600394,1964.49241017923
"2057/2058",2058,123,123,100,2186,2215,92.1635367319595,1758.85650392156
"2058/2059",2059,123,123,100,2309,2191,90.5530401485776,1258.2881871534
"2059/2060",2060,123,123,100,2255,2139,90.4925576642963,1409.86504862853
"2060/2061",2061,123,123,100,2183,2105.5,90.3567111864049,1593.35668138345
"2061/2062",2062,123,123,100,2199,2181,91.0947466495745,1893.08646762418
"2062/2063",2063,123,123,100,2298,2129,90.3972743722115,1335.27795315743
"2063/2064",2064,123,123,100,2126,2196.5,91.454383271066,2045.15296228882
"2064/2065",2065,123,123,100,2323,2048.5,89.1380742432139,1168.64828964742
"2065/2066",2066,123,123,100,2277,2082,92.0571989935816,1276.76426983066
"2066/2067",2067,123,123,100,2193,2155.5,92.405278432876,1835.87878994597
"2067/2068",2068,123,123,100,2211,2022,87.6079577961082,1367.06704586139
"2068/2069",2069,123,123,100,2248,1929,88.5794304249703,924.909341833089
"2069/2070",2070,123,123,100,2317,2085.5,89.8132481589073,1176.61688125459
