"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2217,2163,91.1570703284747,1831.19570719755
"2000/2001",2001,123,123,100,2060,2007.5,88.8201944362505,1877.32934170398
"2001/2002",2002,123,123,100,2293,2256.5,92.2219084404603,1529.1387852433
"2002/2003",2003,123,123,100,2136,2199.5,92.3960383830682,1974.42266594441
"2003/2004",2004,123,123,100,2241,2184,91.8541628926293,1789.32833270985
"2004/2005",2005,123,123,100,2240,2142,91.6615526651763,1794.65534679897
"2005/2006",2006,123,123,100,2078,2085.5,90.3553645712884,1950.30828273844
"2006/2007",2007,123,123,100,2332,2328.5,92.96158198479,1603.71153885685
"2007/2008",2008,123,123,100,2281,2081.5,89.3437385644249,1469.28220697885
"2008/2009",2009,123,123,100,2058,2096.5,91.9969631565514,2016.3984964058
"2009/2010",2010,123,123,100,2231,2271,92.524900511371,2185.47300245945
"2010/2011",2011,123,123,100,2178,1967.5,89.5820116391073,1818.96653660509
"2011/2012",2012,123,123,100,2063,2089.5,89.4392127779256,2237.05763186235
"2012/2013",2013,123,123,100,2177,2269,92.7591199401531,2053.455703908
"2013/2014",2014,123,123,100,2194,2048.5,90.9736246389825,1770.15667160478
"2014/2015",2015,123,123,100,2227,2194,91.5273043858979,1897.52743225422
"2015/2016",2016,123,123,100,2182,2169.5,90.7060285187172,1518.30189433269
"2016/2017",2017,123,123,100,2248,1908.5,88.3232208965619,1210.84289081953
"2017/2018",2018,123,123,100,2060,1936,88.5874495030403,1553.79298399307
"2018/2019",2019,123,123,100,2144,2238,93.6021176838685,2470.00169197924
"2019/2020",2020,123,123,100,2169,2155.5,91.5326426899173,2255.76641010365
"2020/2021",2021,123,123,100,2234,2153.5,92.5432631099811,1747.30488040857
"2021/2022",2022,123,123,100,2166,1973.5,89.5229182026878,1701.88475715625
"2022/2023",2023,123,123,100,2208,1966.5,89.1903427712477,1597.31154123018
"2023/2024",2024,123,123,100,2207,2235,92.2556616103648,2145.85190425382
"2024/2025",2025,123,123,100,2217,1974.5,88.9950389288097,1576.42219557904
"2025/2026",2026,123,123,100,2119,2107.5,89.4288409053497,1717.89036826754
"2026/2027",2027,123,123,100,2262,2249.5,92.2225818551242,1498.55357780249
"2027/2028",2028,123,123,100,2288,2111,90.6183562774468,1352.30307537876
"2028/2029",2029,123,123,100,2143,2234,93.0166440720959,2139.80112123862
"2029/2030",2030,123,123,100,2274,2144,90.8084983910076,1293.67662802699
"2030/2031",2031,123,123,100,2118,2119.5,90.9670762542119,2098.86137046409
"2031/2032",2032,123,123,100,2258,2085.5,91.0496741252082,1581.89685979777
"2032/2033",2033,123,123,100,2091,2269.5,92.2616235304467,2352.41170186899
"2033/2034",2034,123,123,100,2239,2155,92.1178557016556,1852.71854303963
"2034/2035",2035,123,123,100,2249,2071.5,90.0016087092899,1194.49283083156
"2035/2036",2036,123,123,100,2106,2044,90.5806427961306,1696.03659633128
