"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,985,1251,70.7420626086037,14586.4139172147
"2000/2001",2001,123,123,100,960,1174,67.8409860370466,14375.1652637265
"2001/2002",2002,123,123,100,990,1336,73.2496132938773,13794.9189920419
"2002/2003",2003,123,123,100,909,1163.5,68.5767004314663,15350.3742347513
"2003/2004",2004,123,123,100,964,1220,67.4488523405418,14991.5562410757
"2004/2005",2005,123,123,100,1049,1286,69.7772107243852,13987.0161071952
"2005/2006",2006,123,123,100,989,1162.5,68.2824327076921,14885.8086925412
"2006/2007",2007,123,123,100,999,1329,69.9619366804876,14598.4386610603
"2007/2008",2008,123,123,100,1204,1438.5,76.6781930766994,12087.3353359393
"2008/2009",2009,123,123,100,938,1235.5,72.6343628283298,14705.8793251464
"2009/2010",2010,123,123,100,943,1190,66.9956659771301,15752.7897207502
"2010/2011",2011,123,123,100,1084,1218,70.1707767606651,13874.2519178359
"2011/2012",2012,123,123,100,1000,1176.5,63.5643634491953,15142.221782244
"2012/2013",2013,123,123,100,812,1105.5,64.4007984311659,16082.6136406411
"2013/2014",2014,123,123,100,1050,1292,70.9063993138896,13518.801399248
"2014/2015",2015,123,123,100,1044,1364,73.1049981864103,13519.653659981
"2015/2016",2016,123,123,100,1035,1399,75.9107284797353,12819.5836544491
"2016/2017",2017,123,123,100,1179,1426,79.0744454010819,11180.0746909278
"2017/2018",2018,123,123,100,1063,1225,71.0740578861635,13325.6896329969
"2018/2019",2019,123,123,100,920,1216.5,69.0285651868687,15509.5295055136
"2019/2020",2020,123,123,100,1092,1259,69.238673470539,14259.8268588693
"2020/2021",2021,123,123,100,1031,1263,68.3551332100046,14354.8334753693
"2021/2022",2022,123,123,100,1118,1338.5,72.8009115317416,12742.3873526063
"2022/2023",2023,123,123,100,1078,1308,74.7223284176584,13164.7352962387
"2023/2024",2024,123,123,100,988,1286,70.2839345546117,14367.8385011714
"2024/2025",2025,123,123,100,1158,1365.5,70.7033362008156,13036.2908311761
"2025/2026",2026,123,123,100,982,1331.5,72.5321343349869,13611.4226082093
"2026/2027",2027,123,123,100,1008,1433,80.3676470304063,12672.2000027965
"2027/2028",2028,123,123,100,1146,1412,72.7697569619559,12608.7174935816
"2028/2029",2029,123,123,100,900,1122.5,64.3283901959758,16157.5133088739
"2029/2030",2030,123,123,100,1172,1509.5,76.9615090087514,11781.7631876823
"2030/2031",2031,123,123,100,961,1127,67.2776465414995,15207.5067884549
"2031/2032",2032,123,123,100,1108,1318.5,69.4535343059774,13690.5472775521
"2032/2033",2033,123,123,100,829,1045,63.7762149717582,16795.953635721
"2033/2034",2034,123,123,100,1093,1368,69.9663916873233,13518.0979492939
"2034/2035",2035,123,123,100,1123,1450.5,77.2411971592574,12201.2220908003
"2035/2036",2036,123,123,100,1019,1180,68.7567459484999,14601.6282717129
"2036/2037",2037,123,123,100,1175,1505,74.6846500124684,12325.1683961833
"2037/2038",2038,123,123,100,857,1091,61.2402667639376,15990.635242702
"2038/2039",2039,123,123,100,1132,1449,73.9749707295996,12424.5124828499
"2039/2040",2040,123,123,100,1086,1322.5,73.034971521593,13459.8291181941
"2040/2041",2041,123,123,100,1132,1393,71.3603904563402,13500.8977437257
"2041/2042",2042,123,123,100,1019,1311,71.9560098877982,14397.7686606934
"2042/2043",2043,123,123,100,1129,1423.5,76.0930937321118,12968.0852296478
"2043/2044",2044,123,123,100,932,1179.5,67.8055025832632,14370.772568522
"2044/2045",2045,123,123,100,1159,1340,73.7622412544224,12848.0572702875
"2045/2046",2046,123,123,100,1160,1249,70.7363004047174,12765.120822602
"2046/2047",2047,123,123,100,1187,1556,81.3160395679006,11601.9597968073
"2047/2048",2048,123,123,100,935,1171,67.9062500534792,14331.9286271045
"2048/2049",2049,123,123,100,877,1162,64.9622478722058,15692.0194826741
"2049/2050",2050,123,123,100,940,1175.5,66.9355477408581,14981.8578797486
"2050/2051",2051,123,123,100,933,1170.5,67.1833556971105,15202.47382994
"2051/2052",2052,123,123,100,936,1191,64.8420341957071,16153.5652512889
"2052/2053",2053,123,123,100,904,1072.5,65.8736693070186,15658.2588503351
"2053/2054",2054,123,123,100,998,1129,65.5560411736878,15439.753795973
