"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,947,1206.5,68.939035734479,15120.7709917519
"2000/2001",2001,123,123,100,929,1120.5,67.2865728470554,14941.4148704057
"2001/2002",2002,123,123,100,970,1287,74.2943656148999,14359.3822952432
"2002/2003",2003,123,123,100,873,1110,65.8138587965346,15915.1418913884
"2003/2004",2004,123,123,100,940,1148,66.0961401295394,15580.1609451166
"2004/2005",2005,123,123,100,1018,1245,68.2066295984662,14535.7346944261
"2005/2006",2006,123,123,100,967,1125,65.6540797240539,15376.7363451587
"2006/2007",2007,123,123,100,966,1279,68.1444866914668,15133.6969987727
"2007/2008",2008,123,123,100,1158,1390,76.9273823802788,12577.0441679151
"2008/2009",2009,123,123,100,918,1192,69.8713370033283,15219.0401607277
"2009/2010",2010,123,123,100,916,1142.5,66.851463701568,16318.2781071499
"2010/2011",2011,123,123,100,1056,1181,68.0661674608388,14442.8271596553
"2011/2012",2012,123,123,100,959,1122.5,61.9200221429064,15715.326309616
"2012/2013",2013,123,123,100,785,1026,63.9230627791983,16705.4097795419
"2013/2014",2014,123,123,100,1023,1235.5,70.7689711990486,14089.5678116248
"2014/2015",2015,123,123,100,997,1311,73.007951199229,14093.4252252851
"2015/2016",2016,123,123,100,1007,1348,73.0715337837109,13393.104893428
"2016/2017",2017,123,123,100,1146,1376,75.8122678918355,11727.7099879687
"2017/2018",2018,123,123,100,1040,1167.5,71.053230418974,13877.3790754899
"2018/2019",2019,123,123,100,900,1169.5,68.4301786052756,16054.2658463777
"2019/2020",2020,123,123,100,1076,1196.5,67.3264421298313,14849.3535159393
"2020/2021",2021,123,123,100,1012,1227.5,68.4734503914265,14857.9422101895
"2021/2022",2022,123,123,100,1082,1278,72.8275257630366,13270.0291352931
"2022/2023",2023,123,123,100,1035,1272.5,72.9680874524256,13682.4389488192
"2023/2024",2024,123,123,100,953,1232.5,72.8087020363828,14932.7271811478
"2024/2025",2025,123,123,100,1117,1339.5,70.2983283944914,13485.2683015685
"2025/2026",2026,123,123,100,946,1276.5,72.8693678736076,14156.1860009637
"2026/2027",2027,123,123,100,975,1372,74.1995116666999,13277.8483410776
"2027/2028",2028,123,123,100,1117,1381.5,74.3339112997946,13111.6695622983
"2028/2029",2029,123,123,100,876,1067.5,63.4962225932532,16720.8712343331
"2029/2030",2030,123,123,100,1136,1471,76.5930887068498,12314.0318497983
"2030/2031",2031,123,123,100,917,1080,66.3913502096525,15795.3653818616
"2031/2032",2032,123,123,100,1073,1264.5,69.3563002923943,14267.6658135168
"2032/2033",2033,123,123,100,802,971,62.1512243235766,17415.2801839733
"2033/2034",2034,123,123,100,1068,1330,68.6847645748735,14022.1984061305
"2034/2035",2035,123,123,100,1083,1395.5,73.638547266698,12747.1766928826
"2035/2036",2036,123,123,100,982,1126,67.1419627545411,15145.2369088191
"2036/2037",2037,123,123,100,1139,1470,73.9782802574978,12787.4920287691
"2037/2038",2038,123,123,100,832,1025.5,60.9343516764266,16594.8699777918
"2038/2039",2039,123,123,100,1100,1397.5,72.5765676670544,12943.8742673406
"2039/2040",2040,123,123,100,1071,1266.5,71.9850606132186,14044.6511517614
"2040/2041",2041,123,123,100,1118,1357.5,70.4637048357868,14043.337168403
"2041/2042",2042,123,123,100,979,1257,70.1617776809967,14974.3006492262
"2042/2043",2043,123,123,100,1110,1381,76.0370418937223,13467.2251627105
"2043/2044",2044,123,123,100,904,1123,65.8852883155591,14936.0035892986
"2044/2045",2045,123,123,100,1129,1289,73.4942154016608,13399.2246488533
"2045/2046",2046,123,123,100,1114,1210,69.7843061815092,13295.0384524367
"2046/2047",2047,123,123,100,1161,1504,78.3861804447188,12131.8442486189
"2047/2048",2048,123,123,100,901,1126,63.7027246907764,14890.9014079114
"2048/2049",2049,123,123,100,855,1124,62.9461694564106,16206.2468013316
"2049/2050",2050,123,123,100,912,1118.5,65.9805563192031,15530.3933511721
"2050/2051",2051,123,123,100,911,1120,64.4297427735373,15746.9932706971
"2051/2052",2052,123,123,100,915,1137.5,64.5408952045473,16737.7422962794
"2052/2053",2053,123,123,100,893,1019,64.4029755799429,16234.486241864
"2053/2054",2054,123,123,100,974,1080,64.9907020451255,15978.0358268097
"2054/2055",2055,123,123,100,977,1174,68.2168065431497,15362.7047601491
"2055/2056",2056,123,123,100,829,1047,64.1525203675419,16916.4430098161
"2056/2057",2057,123,123,100,938,1099,60.9432952866673,16565.7731020804
"2057/2058",2058,123,123,100,877,1166,67.1050731408823,15870.3770263176
"2058/2059",2059,123,123,100,1023,1375,72.4357433547448,13866.2039156752
"2059/2060",2060,123,123,100,962,1280,70.4758056310038,14734.5210125921
"2060/2061",2061,123,123,100,877,1165,65.0362085329816,15502.0786017105
"2061/2062",2062,123,123,100,873,1059,60.7698494231545,17003.5636463258
"2062/2063",2063,123,123,100,1054,1342,70.9238357314862,13826.8458231334
"2063/2064",2064,123,123,100,794,1030.5,62.1497840237207,17135.1114289807
"2064/2065",2065,123,123,100,1124,1420,74.4235145128914,12963.9137350619
"2065/2066",2066,123,123,100,1006,1344,73.7770685614969,13580.6863747789
"2066/2067",2067,123,123,100,939,1124,63.0331787306959,16077.533041792
"2067/2068",2068,123,123,100,1019,1280,69.8902253973665,13973.4204282342
"2068/2069",2069,123,123,100,1193,1529.5,79.0028759986526,11466.9565592827
"2069/2070",2070,123,123,100,1052,1377,76.5957218474368,13512.330851444
"2070/2071",2071,123,123,100,911,1126.5,62.591477005978,16708.233827766
"2071/2072",2072,123,123,100,852,1117,67.7164209540697,16063.5949389944
"2072/2073",2073,123,123,100,915,1307.5,72.2892626860303,15311.868429671
"2073/2074",2074,123,123,100,721,928,57.9341222399589,18801.1816179752
"2074/2075",2075,123,123,100,881,1120,64.5023136492564,16668.3056848785
"2075/2076",2076,123,123,100,963,1282,72.2357572619931,14478.5019640885
"2076/2077",2077,123,123,100,975,1285,71.1130417944714,13801.3682977883
"2077/2078",2078,123,123,100,864,1057,60.3750830185554,16681.5404893253
"2078/2079",2079,123,123,100,932,1139.5,65.8188971730024,15407.4478491014
"2079/2080",2080,123,123,100,1010,1303,72.1227893194309,14336.6663115053
"2080/2081",2081,123,123,100,789,1023.5,59.6939055773355,17111.9299226394
"2081/2082",2082,123,123,100,833,1077,64.7095909170466,16607.7388770357
"2082/2083",2083,123,123,100,998,1183.5,68.0965151373366,14911.0448452905
"2083/2084",2084,123,123,100,1027,1424,75.3962272376848,13291.5552127399
"2084/2085",2085,123,123,100,951,1288.5,71.1546877511382,14042.6509812186
"2085/2086",2086,123,123,100,1059,1327,73.3879927416056,12914.988024706
"2086/2087",2087,123,123,100,904,1250.5,70.0735693946035,15540.1930418368
"2087/2088",2088,123,123,100,959,1151,68.0555358193678,15420.7189515345
"2088/2089",2089,123,123,100,915,1013.5,64.6519573210417,16615.8183877422
"2089/2090",2090,123,123,100,970,1322,71.9543493894316,14621.0146734128
"2090/2091",2091,123,123,100,894,1067,61.7298802652294,16493.3550858656
"2091/2092",2092,123,123,100,988,1220.5,67.6579453317663,15123.7392154373
"2092/2093",2093,123,123,100,1130,1239.5,71.7754240018985,12658.3094149884
"2093/2094",2094,123,123,100,1129,1276.5,72.8644685509462,13743.809707772
"2094/2095",2095,123,123,100,986,1235.5,68.6808944181685,15056.7015341902
"2095/2096",2096,123,123,100,924,1068.5,62.6535640574402,16986.3441741308
"2096/2097",2097,123,123,100,985,1288,73.0453996374417,13814.0887173973
"2097/2098",2098,123,123,100,1007,1105.5,65.2807121097849,15111.3940637615
"2098/2099",2099,123,123,100,891,1011.5,65.1972416903791,16481.8019469958
"2099/2100",2100,123,123,100,1094,1420,73.9527296758806,12853.048624238
