"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,951,1160,67.7881435107988,15422.7389332527
"2000/2001",2001,123,123,100,927,1088.5,68.0721020002342,15197.8075539092
"2001/2002",2002,123,123,100,979,1233,71.5450890109753,14677.069661931
"2002/2003",2003,123,123,100,881,1056,63.2830029300741,16210.6937426758
"2003/2004",2004,123,123,100,936,1111,65.0439830976565,15858.864512031
"2004/2005",2005,123,123,100,1016,1179,68.6407625535732,14820.8411858766
"2005/2006",2006,123,123,100,966,1074,63.7655003765544,15620.1642126715
"2006/2007",2007,123,123,100,973,1235,69.6093445307157,15415.1256307288
"2007/2008",2008,123,123,100,1158,1343.5,73.8383491156318,12853.1738084091
"2008/2009",2009,123,123,100,927,1122.5,70.018458127778,15518.2992289907
"2009/2010",2010,123,123,100,925,1095,65.0616032327438,16569.1083013219
"2010/2011",2011,123,123,100,1052,1127,67.4424176905461,14727.8750497053
"2011/2012",2012,123,123,100,966,1088.5,64.4891158585012,15939.4219395232
"2012/2013",2013,123,123,100,789,991,63.1739382138014,16978.4193954114
"2013/2014",2014,123,123,100,1010,1185.5,70.2149782642807,14390.9285314006
"2014/2015",2015,123,123,100,994,1252,70.3099521851329,14394.6408254397
"2015/2016",2016,123,123,100,1008,1290.5,70.3307998464747,13693.6769496265
"2016/2017",2017,123,123,100,1128,1317,73.240186047444,12043.3399932254
"2017/2018",2018,123,123,100,1026,1102,70.3898839012866,14182.0132869428
"2018/2019",2019,123,123,100,906,1123,67.359272558205,16333.7159043588
"2019/2020",2020,123,123,100,1064,1151,67.1904911375773,15127.0183726167
"2020/2021",2021,123,123,100,1000,1176.5,67.0780965521628,15140.2454651757
"2021/2022",2022,123,123,100,1071,1231.5,68.7965484971201,13512.2379020001
"2022/2023",2023,123,123,100,1029,1211,70.8615046777181,13988.8643027695
"2023/2024",2024,123,123,100,942,1194.5,70.580493504779,15182.2372503676
"2024/2025",2025,123,123,100,1128,1290.5,67.750230669652,13745.852031325
"2025/2026",2026,123,123,100,952,1212.5,71.8488960984873,14491.1735722767
"2026/2027",2027,123,123,100,968,1319.5,71.926449965169,13580.6630275734
"2027/2028",2028,123,123,100,1107,1315.5,71.9881471227382,13379.5189541904
"2028/2029",2029,123,123,100,885,1032,61.5118830949314,16985.147065748
"2029/2030",2030,123,123,100,1128,1415,75.1105599068037,12620.711575117
"2030/2031",2031,123,123,100,910,1026.5,65.1963674416838,16067.5376943788
"2031/2032",2032,123,123,100,1063,1210,68.0765596626215,14587.0542063923
"2032/2033",2033,123,123,100,814,933,60.0912280769271,17634.5280521247
"2033/2034",2034,123,123,100,1055,1284,68.9524407639874,14286.0703406129
"2034/2035",2035,123,123,100,1083,1335.5,71.3388152176572,13045.3367972649
"2035/2036",2036,123,123,100,981,1072.5,64.9047686138383,15425.6709014671
"2036/2037",2037,123,123,100,1133,1413,73.4950416162069,13103.032418374
"2037/2038",2038,123,123,100,838,984.5,60.0338573807853,16806.689087078
"2038/2039",2039,123,123,100,1087,1348.5,74.2661536270848,13207.34508027
"2039/2040",2040,123,123,100,1035,1212,69.555639184041,14363.9185390784
"2040/2041",2041,123,123,100,1113,1302,69.0080739468158,14370.4545138855
"2041/2042",2042,123,123,100,992,1213,67.53615757946,15223.1662588045
"2042/2043",2043,123,123,100,1101,1339.5,71.7007369349722,13716.4323594952
"2043/2044",2044,123,123,100,906,1089.5,66.3254113169787,15190.1406837897
"2044/2045",2045,123,123,100,1127,1235.5,69.678748150679,13707.7412808724
"2045/2046",2046,123,123,100,1106,1156,68.0733550165169,13541.3964625932
"2046/2047",2047,123,123,100,1149,1440,76.350693532363,12478.8674008003
"2047/2048",2048,123,123,100,899,1089,62.0603835059428,15118.6685982943
"2048/2049",2049,123,123,100,850,1079.5,61.4392287551927,16446.365414504
"2049/2050",2050,123,123,100,910,1055,66.3432272173095,15805.2870830446
"2050/2051",2051,123,123,100,916,1081,64.0165189057261,15971.8970969608
"2051/2052",2052,123,123,100,912,1084,63.0608664877573,17011.495365683
"2052/2053",2053,123,123,100,881,973,62.4914930083505,16438.6561292848
"2053/2054",2054,123,123,100,974,1032.5,64.3002221433107,16194.1165537955
"2054/2055",2055,123,123,100,971,1142,66.4170527955721,15628.0175246084
"2055/2056",2056,123,123,100,833,995,62.0795687561531,17193.8980637779
"2056/2057",2057,123,123,100,943,1046.5,61.9556016823099,16811.7980551133
"2057/2058",2058,123,123,100,878,1113,65.3433495319987,16150.0798218474
"2058/2059",2059,123,123,100,1045,1329,70.0581525606212,14131.1939911321
"2059/2060",2060,123,123,100,961,1219,70.9544239907736,15060.5472119953
"2060/2061",2061,123,123,100,877,1115,65.3786089547439,15758.7363296542
"2061/2062",2062,123,123,100,880,1017,58.3700065058274,17239.4866035925
"2062/2063",2063,123,123,100,1044,1298,69.9482764179165,14114.0622581355
"2063/2064",2064,123,123,100,804,983.5,59.5144402009382,17389.8328540055
"2064/2065",2065,123,123,100,1129,1369.5,72.1414282836213,13268.2653220631
"2065/2066",2066,123,123,100,1003,1282.5,71.2929723159596,13897.6354690967
"2066/2067",2067,123,123,100,935,1081,61.8779767298129,16317.4766363222
"2067/2068",2068,123,123,100,1015,1229.5,68.1029660816739,14243.1573627656
"2068/2069",2069,123,123,100,1188,1467,78.1809077873568,11761.6398850502
"2069/2070",2070,123,123,100,1045,1310.5,73.2084401041484,13844.8329772186
"2070/2071",2071,123,123,100,898,1086,62.1558121886383,16923.2435894171
"2071/2072",2072,123,123,100,875,1082.5,66.297128952041,16257.3203103095
"2072/2073",2073,123,123,100,911,1254.5,70.92611274914,15591.5225246157
"2073/2074",2074,123,123,100,732,896,55.6872634290066,18967.0907571819
"2074/2075",2075,123,123,100,888,1092.5,63.778426035854,16895.8760002675
"2075/2076",2076,123,123,100,960,1229.5,71.4802202441397,14794.3775246432
"2076/2077",2077,123,123,100,965,1239.5,69.5363868747354,14075.5260796808
"2077/2078",2078,123,123,100,854,999.5,59.6077952370306,16964.7267119894
"2078/2079",2079,123,123,100,928,1092,63.401706520086,15629.1129625496
"2079/2080",2080,123,123,100,1011,1257.5,70.7182918623148,14614.660486063
"2080/2081",2081,123,123,100,801,988.5,59.857517422477,17323.3797494778
"2081/2082",2082,123,123,100,832,1026,62.5371415845748,16871.4814397199
"2082/2083",2083,123,123,100,990,1124.5,64.2794585170059,15209.0839745849
"2083/2084",2084,123,123,100,1025,1372.5,75.0591229331503,13605.5283266539
"2084/2085",2085,123,123,100,945,1247,69.5368844968834,14290.9595625931
"2085/2086",2086,123,123,100,1048,1269.5,71.9670146356821,13238.2917369716
"2086/2087",2087,123,123,100,913,1207.5,66.1067247446645,15740.9787727064
"2087/2088",2088,123,123,100,960,1092.5,64.4243853608987,15710.9567610929
"2088/2089",2089,123,123,100,920,952.5,63.1684811259929,16845.4142746441
"2089/2090",2090,123,123,100,979,1263.5,70.361282623091,14935.3103558626
"2090/2091",2091,123,123,100,911,1021,61.107362023904,16745.3707773825
"2091/2092",2092,123,123,100,990,1166,64.3171070996486,15382.4598724777
"2092/2093",2093,123,123,100,1113,1193,68.3019352979009,12946.9044201095
"2093/2094",2094,123,123,100,1114,1211,69.9869439999238,14078.3342772191
"2094/2095",2095,123,123,100,988,1189.5,68.1321152212713,15309.3167381156
"2095/2096",2096,123,123,100,930,1025,58.6604465199653,17237.9956075558
"2096/2097",2097,123,123,100,977,1231.5,71.0734042522272,14118.1384157343
"2097/2098",2098,123,123,100,990,1054.5,63.7570964576644,15384.4455650123
"2098/2099",2099,123,123,100,891,978.5,62.7463312658201,16663.9333662875
"2099/2100",2100,123,123,100,1086,1350.5,73.7712234127957,13202.9551545996
