"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1220,1298.5,70.396381623621,12116.8179303273
"2000/2001",2001,123,123,100,1138,1324.5,74.4211826321562,12523.4485221059
"2001/2002",2002,123,123,100,1084,1296.5,73.0254899595639,12515.6457209146
"2002/2003",2003,123,123,100,1204,1311.5,73.6758537498377,11794.3973128339
"2003/2004",2004,123,123,100,1175,1348,73.3397460411653,11437.3201734857
"2004/2005",2005,123,123,100,1128,1260.5,69.7751143239307,12799.5710637521
"2005/2006",2006,123,123,100,1073,1313.5,75.1885557148458,12374.9414996259
"2006/2007",2007,123,123,100,1222,1259.5,69.6213900804066,11922.1653060268
"2007/2008",2008,123,123,100,1081,1131.5,65.6624744359802,14678.7237178385
"2008/2009",2009,123,123,100,1129,1210.5,72.0949694293445,12541.3622897608
"2009/2010",2010,123,123,100,1294,1444,78.4922803330085,10690.1590771757
"2010/2011",2011,123,123,100,1133,1414.5,74.2336152469181,12406.2815363945
"2011/2012",2012,123,123,100,1185,1351.5,74.3577585013925,12019.9515766741
"2012/2013",2013,123,123,100,1215,1382.5,75.1610493847111,10767.3591679817
"2013/2014",2014,123,123,100,1112,1238,71.7929386481685,13101.0251458001
"2014/2015",2015,123,123,100,1121,1179.5,69.1636004461109,13169.3754483571
"2015/2016",2016,123,123,100,1112,1281.5,69.2100546822221,13433.3931469526
"2016/2017",2017,123,123,100,964,1098,64.7733982803104,15320.666859657
"2017/2018",2018,123,123,100,1056,1244.5,70.0068793797598,13735.1434476876
"2018/2019",2019,123,123,100,1135,1224.5,71.4085542063956,12027.8049798608
"2019/2020",2020,123,123,100,1148,1330,76.5124664207272,12265.9230434075
"2020/2021",2021,123,123,100,1211,1310,72.2592788576242,12146.8696428083
"2021/2022",2022,123,123,100,1121,1217.5,64.9036707926159,14215.2614081914
"2022/2023",2023,123,123,100,1041,1273,73.1423644765832,13332.9033850785
"2023/2024",2024,123,123,100,1139,1166.5,68.3563487160382,12840.760164503
"2024/2025",2025,123,123,100,1111,1256,67.4994020628014,13398.0344301085
"2025/2026",2026,123,123,100,1128,1213.5,70.1604539439818,13070.2278739642
"2026/2027",2027,123,123,100,1093,1184.5,69.2986756908895,13797.4609446628
"2027/2028",2028,123,123,100,1090,1153.5,67.9001220009,13975.7200445696
