"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1132,1265,69.0525302541792,13646.9582670837
"2000/2001",2001,123,123,100,1046,1218,66.6939438432797,14196.685033949
"2001/2002",2002,123,123,100,993,1214.5,69.2657065890052,14207.411566407
"2002/2003",2003,123,123,100,1124,1244,69.9307735793504,13361.0515705631
"2003/2004",2004,123,123,100,1101,1299.5,72.4676065122528,13039.0625864455
"2004/2005",2005,123,123,100,1049,1188,68.6930740555061,14449.4575402798
"2005/2006",2006,123,123,100,997,1204.5,68.8502567395835,14088.883126264
"2006/2007",2007,123,123,100,1169,1205.5,70.7172892731434,13430.0967533024
"2007/2008",2008,123,123,100,989,1018.5,58.2457006412778,16380.2585139357
"2008/2009",2009,123,123,100,1065,1147.5,67.4410355313064,14123.0174595817
"2009/2010",2010,123,123,100,1195,1393,74.5890478283973,12236.0287153751
"2010/2011",2011,123,123,100,1035,1315,73.3422145030713,14165.489286073
"2011/2012",2012,123,123,100,1088,1293,70.3451479417456,13662.5424534052
"2012/2013",2013,123,123,100,1144,1330.5,73.2439933506305,12314.1043945549
"2013/2014",2014,123,123,100,1022,1135,69.9728765673585,14760.8767790035
"2014/2015",2015,123,123,100,1080,1118.5,64.5432222413074,14794.3957591145
"2015/2016",2016,123,123,100,1012,1179.5,64.9545693116941,15156.8070956753
"2016/2017",2017,123,123,100,886,996.5,60.2341184465085,17109.9433885654
"2017/2018",2018,123,123,100,967,1145.5,66.339090640804,15507.2683540217
"2018/2019",2019,123,123,100,1095,1166.5,69.3140528270558,13558.4580799085
"2019/2020",2020,123,123,100,1071,1248,71.0848017958654,13949.1107230871
"2020/2021",2021,123,123,100,1121,1248,69.7138564903416,13740.0763775206
"2021/2022",2022,123,123,100,986,1125.5,62.6840411302053,15919.5081321476
"2022/2023",2023,123,123,100,941,1180,65.8841970974529,15111.0407181652
"2023/2024",2024,123,123,100,1064,1120,64.6546609634133,14440.8913951693
"2024/2025",2025,123,123,100,1006,1160,65.8466349539599,15019.1326228273
"2025/2026",2026,123,123,100,1058,1152,65.2275930738892,14692.8052630289
"2026/2027",2027,123,123,100,1027,1102,66.6178605477739,15531.158467608
"2027/2028",2028,123,123,100,984,1085.5,64.0873373924001,15712.5154480003
