"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1265,1404.5,74.4701768741111,11231.3687284081
"2000/2001",2001,123,123,100,1172,1417.5,75.8639073839668,11688.7247379161
"2001/2002",2002,123,123,100,1121,1403,79.3455552684302,11639.8656166038
"2002/2003",2003,123,123,100,1267,1425,76.3184659456212,10773.2223328265
"2003/2004",2004,123,123,100,1243,1484,77.6783595091804,10498.428782264
"2004/2005",2005,123,123,100,1176,1387.5,75.3866974929971,11775.132044916
"2005/2006",2006,123,123,100,1129,1440.5,78.2030362852299,11386.4567195659
"2006/2007",2007,123,123,100,1241,1332.5,72.1945442334384,11071.5983800153
"2007/2008",2008,123,123,100,1105,1249.5,69.7239913334413,13964.401037357
"2008/2009",2009,123,123,100,1177,1313.5,74.780856578485,11650.1015281018
"2009/2010",2010,123,123,100,1345,1541.5,78.6019713434544,9715.8167246423
"2010/2011",2011,123,123,100,1193,1568,79.5244223712766,11362.0305275769
"2011/2012",2012,123,123,100,1217,1455.5,77.31123672638,11153.9012668728
"2012/2013",2013,123,123,100,1240,1478,77.3039759672677,9943.47304474027
"2013/2014",2014,123,123,100,1183,1407,76.9712867658066,12008.9971793827
"2014/2015",2015,123,123,100,1185,1355.5,73.6246128443381,12188.3023376514
"2015/2016",2016,123,123,100,1154,1381.5,75.278458418227,12638.6191646273
"2016/2017",2017,123,123,100,970,1232.5,71.8485048946736,14561.3155616145
"2017/2018",2018,123,123,100,1084,1370,75.704320342707,12633.0248108245
"2018/2019",2019,123,123,100,1176,1369.5,76.5978985597906,10889.4002562868
"2019/2020",2020,123,123,100,1210,1493.5,79.1398886297102,11281.1056631035
"2020/2021",2021,123,123,100,1225,1414,76.3709748569981,11255.1529464955
"2021/2022",2022,123,123,100,1115,1320,69.4863154413811,13370.5855514065
"2022/2023",2023,123,123,100,1063,1395.5,75.9751657373217,12444.7260268372
"2023/2024",2024,123,123,100,1162,1307.5,72.9622411381129,11933.0407844256
"2024/2025",2025,123,123,100,1172,1343,71.1518815868008,12593.8022080706
"2025/2026",2026,123,123,100,1142,1332,67.7062567092435,12251.9161722302
"2026/2027",2027,123,123,100,1141,1415.5,75.7130675210042,12440.9278376587
"2027/2028",2028,123,123,100,1161,1305.5,75.6448609380163,13022.8750415929
"2028/2029",2029,123,123,100,1359,1555.5,80.1320342165536,9619.60255305469
"2029/2030",2030,123,123,100,1050,1293.5,74.8771803821855,13564.2662801556
"2030/2031",2031,123,123,100,1253,1435.5,76.7696475272924,10983.2615464423
"2031/2032",2032,123,123,100,1233,1559,75.2240221080283,11237.9471437819
"2032/2033",2033,123,123,100,1330,1550.5,81.5522939667503,9305.86366879009
"2033/2034",2034,123,123,100,1147,1352.5,73.5188212206544,12024.5789224999
"2034/2035",2035,123,123,100,1121,1359,72.237978038138,13263.0668519894
"2035/2036",2036,123,123,100,1261,1524.5,78.5760024276847,10565.7583873896
"2036/2037",2037,123,123,100,1114,1205.5,68.9970921024806,13355.8291056361
"2037/2038",2038,123,123,100,1241,1436,78.5081341862165,10703.1622702093
"2038/2039",2039,123,123,100,1181,1396.5,73.3104708138117,12788.7083001845
"2039/2040",2040,123,123,100,1157,1420,76.2646321253078,11977.734561943
