"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,895,987,61.4364906101644,17210.4243635521
"2000/2001",2001,123,123,100,868,893.5,55.4114682998242,18522.6325491898
"2001/2002",2002,123,123,100,983,1079,63.5912678497458,15861.0358303068
"2002/2003",2003,123,123,100,930,1052.5,58.2220029817023,17178.1422925596
"2003/2004",2004,123,123,100,869,890.5,59.9691665325421,18239.8183615272
"2004/2005",2005,123,123,100,895,937,54.9894459631275,17009.3339525457
"2005/2006",2006,123,123,100,845,805,54.552196184111,18598.1769149773
"2006/2007",2007,123,123,100,853,746.5,52.2318906344222,19124.6699964274
"2007/2008",2008,123,123,100,926,940,59.1902537561981,16123.2056744021
"2008/2009",2009,123,123,100,1025,1150,61.2189252783741,16081.0779835139
"2009/2010",2010,123,123,100,878,983.5,57.5020882750658,17693.2004543269
"2010/2011",2011,123,123,100,802,794,56.8816559582859,18506.5014272856
"2011/2012",2012,123,123,100,992,1082,62.3846315936306,16601.3131162049
"2012/2013",2013,123,123,100,874,981.5,60.7733619531954,17367.5503578852
"2013/2014",2014,123,123,100,935,1021,61.2746082669073,16859.7095817716
"2014/2015",2015,123,123,100,947,1051.5,65.7724419738324,15546.8972790018
"2015/2016",2016,123,123,100,960,1081.5,62.121160111325,15549.3841923901
"2016/2017",2017,123,123,100,938,943.5,59.3297474266335,16668.8333042557
"2017/2018",2018,123,123,100,857,824,52.2926165395029,19396.8758573204
"2018/2019",2019,123,123,100,983,1030,61.6824947635266,15840.142317757
"2019/2020",2020,123,123,100,923,1017,61.5016705262119,15879.4425354097
"2020/2021",2021,123,123,100,888,1037,60.2043298438434,17037.6983807408
"2021/2022",2022,123,123,100,986,1027.5,59.134783763275,16283.2545456663
"2022/2023",2023,123,123,100,781,719.5,43.8354244568015,20545.360074104
"2023/2024",2024,123,123,100,1050,1192,70.284301071039,13663.775190678
"2024/2025",2025,123,123,100,838,829.5,54.9457574453734,18190.9092690661
"2025/2026",2026,123,123,100,866,982.5,54.02705532406,17488.4728764798
"2026/2027",2027,123,123,100,1047,1165.5,68.140649025235,14950.5539921196
"2027/2028",2028,123,123,100,884,822,60.6533889369925,16739.6058247923
"2028/2029",2029,123,123,100,801,865,56.3382861985779,18628.5032757083
"2029/2030",2030,123,123,100,975,910.5,59.2726868188174,16072.037476772
"2030/2031",2031,123,123,100,855,1040,65.2393419694658,17222.3282017149
"2031/2032",2032,123,123,100,773,638,47.6621043222872,19995.803009754
"2032/2033",2033,123,123,100,914,1144.5,63.8782570492767,16198.3137230524
"2033/2034",2034,123,123,100,990,1033.5,63.5754205057551,15896.5787576288
"2034/2035",2035,123,123,100,859,813.5,54.4182065474524,18490.0186246284
"2035/2036",2036,123,123,100,719,671.5,48.6230215997789,21093.5596471676
"2036/2037",2037,123,123,100,1006,1083,62.8602635854049,15837.0980022824
"2037/2038",2038,123,123,100,844,1019,64.4294249255436,15869.082453052
"2038/2039",2039,123,123,100,996,1058,64.9394780330053,15478.4836173914
"2039/2040",2040,123,123,100,945,1047.5,58.0540375323953,16321.6805826109
"2040/2041",2041,123,123,100,854,890,57.1148916956686,17763.5150537314
"2041/2042",2042,123,123,100,903,1007.5,64.4562217793209,16554.267277665
"2042/2043",2043,123,123,100,892,878.5,56.0378895247218,17611.4210408139
"2043/2044",2044,123,123,100,908,891,54.2348971445676,18255.924537519
"2044/2045",2045,123,123,100,870,842.5,55.4313428333394,18663.404377888
"2045/2046",2046,123,123,100,766,650.5,46.6317206192784,20336.5242279624
"2046/2047",2047,123,123,100,892,849.5,58.2596098534241,17062.8155664774
"2047/2048",2048,123,123,100,1000,916.5,57.7577996023897,16909.1493777158
"2048/2049",2049,123,123,100,858,1140.5,61.3223367072933,17090.4524962595
"2049/2050",2050,123,123,100,814,883,53.4437207139304,17877.1148140347
"2050/2051",2051,123,123,100,809,970.5,61.7640544767714,17034.3708861992
"2051/2052",2052,123,123,100,893,1060.5,60.8744960016925,16818.6618679585
"2052/2053",2053,123,123,100,990,1065.5,64.2198246773592,15504.9953331565
"2053/2054",2054,123,123,100,785,884.5,57.7585311821235,17911.6544338875
"2054/2055",2055,123,123,100,938,1049.5,65.0386701546381,15588.1439102199
"2055/2056",2056,123,123,100,872,1071,61.29378906089,15856.8490245305
"2056/2057",2057,123,123,100,727,732,54.2315135874815,20044.4812076706
"2057/2058",2058,123,123,100,1207,1302,70.0887312006698,12840.0387816643
"2058/2059",2059,123,123,100,917,1031,61.6351545501902,16181.6655573407
"2059/2060",2060,123,123,100,1030,1124,66.2947071713797,15425.5810523061
"2060/2061",2061,123,123,100,875,867,54.2175720074865,18336.3011284787
"2061/2062",2062,123,123,100,758,793.5,54.040767664681,18902.1058849739
"2062/2063",2063,123,123,100,841,861.5,57.8176727361715,16488.3072487582
"2063/2064",2064,123,123,100,894,1129.5,62.5628239612079,16154.7062051911
"2064/2065",2065,123,123,100,975,952,58.0587358976181,16805.1662898501
"2065/2066",2066,123,123,100,1014,1076,65.1920028506902,15400.3586608805
"2066/2067",2067,123,123,100,898,962,59.6436792929326,17057.1923616324
"2067/2068",2068,123,123,100,894,878.5,54.0130455957506,17708.3545088321
"2068/2069",2069,123,123,100,1084,1000,61.2922395725145,15375.4780476019
"2069/2070",2070,123,123,100,881,1010,58.1090678178343,17548.2354002744
"2070/2071",2071,123,123,100,886,1027.5,63.1126040854524,16745.670083141
"2071/2072",2072,123,123,100,916,1023.5,63.3245271466731,16423.6872869888
"2072/2073",2073,123,123,100,1160,1348,70.0370127248398,13246.7667790027
"2073/2074",2074,123,123,100,928,1189,64.6217359010643,15536.7300160611
"2074/2075",2075,123,123,100,847,839.5,55.1025565728678,18757.7733191531
"2075/2076",2076,123,123,100,957,1132,64.2227184991616,16172.4622467468
"2076/2077",2077,123,123,100,867,933.5,56.9890463355932,17368.9512439929
"2077/2078",2078,123,123,100,890,1112,61.3492683325403,16697.6739668427
"2078/2079",2079,123,123,100,865,972,62.6962743083532,16981.4279680895
"2079/2080",2080,123,123,100,988,932,61.4007943976385,16254.3130964795
"2080/2081",2081,123,123,100,944,1123.5,67.1641139428712,15645.502678643
"2081/2082",2082,123,123,100,945,1024.5,59.6110454234349,16586.2452140506
"2082/2083",2083,123,123,100,787,715,51.2286363273624,18985.8230497893
"2083/2084",2084,123,123,100,980,1032.5,64.4217694317558,15571.8212731844
"2084/2085",2085,123,123,100,929,933.5,59.4302440212805,16083.1399541171
"2085/2086",2086,123,123,100,931,819.5,56.712224274399,18201.1640066206
"2086/2087",2087,123,123,100,1072,1206.5,73.2056648212911,12890.9542895025
"2087/2088",2088,123,123,100,857,922.5,58.3060550223208,18444.5669995323
"2088/2089",2089,123,123,100,808,902,57.9060650943929,18474.0797923142
"2089/2090",2090,123,123,100,848,1043.5,61.3244006935911,17137.7281523608
"2090/2091",2091,123,123,100,660,754.5,50.0385528853558,20255.5477845641
"2091/2092",2092,123,123,100,857,921.5,55.677586507908,17502.1959108096
"2092/2093",2093,123,123,100,773,672.5,48.0826454491644,20284.0345233129
"2093/2094",2094,123,123,100,781,829.5,53.6965498145219,19396.3475290518
"2094/2095",2095,123,123,100,950,1057,62.6532093057886,16044.3416941576
"2095/2096",2096,123,123,100,814,1068,63.8915757620671,17011.0054827128
"2096/2097",2097,123,123,100,920,986,60.6442484675881,17077.1016091444
"2097/2098",2098,123,123,100,838,941.5,54.8926610352701,19051.4636580609
"2098/2099",2099,123,123,100,854,984.5,61.8836166644478,16359.9565392863
"2099/2100",2100,123,123,100,905,868.5,55.5005969245085,18531.3919456955
