"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,602,391.5,36.8300792181456,23871.2537117797
"2000/2001",2001,123,123,100,567,286.5,36.2355184500863,24973.0230334722
"2001/2002",2002,123,123,100,713,595.5,43.5534776841501,21351.2973338415
"2002/2003",2003,123,123,100,638,447.5,40.6125429713462,23799.8440516397
"2003/2004",2004,123,123,100,574,229.5,33.4033553279174,24852.9759560451
"2004/2005",2005,123,123,100,640,352,37.0206248145406,23260.4044634942
"2005/2006",2006,123,123,100,540,174,38.4095729265922,24750.2944573639
"2006/2007",2007,123,123,100,628,86,33.8391151911495,25742.8157365939
"2007/2008",2008,123,123,100,686,453,43.9928018064859,21575.4509165249
"2008/2009",2009,123,123,100,669,580,41.4389946417262,22254.6223943913
"2009/2010",2010,123,123,100,562,340,35.5977326938054,24822.3500288301
"2010/2011",2011,123,123,100,576,229.5,36.3355353396984,24370.9805729021
"2011/2012",2012,123,123,100,666,502.5,39.2620649534225,23189.1037894781
"2012/2013",2013,123,123,100,574,360,38.7092670462737,24257.2710750562
"2013/2014",2014,123,123,100,609,476,39.3736783542336,22933.5578006892
"2014/2015",2015,123,123,100,731,586,49.1388341526166,20823.3922200494
"2015/2016",2016,123,123,100,725,592.5,43.5129440804221,21171.7476683042
"2016/2017",2017,123,123,100,681,466,38.0064891889785,21980.686101557
"2017/2018",2018,123,123,100,551,178,31.6967079937652,25619.2129346449
"2018/2019",2019,123,123,100,669,521.5,40.4738855475408,21720.6763991779
"2019/2020",2020,123,123,100,686,532,44.3742003762957,21394.2314027334
"2020/2021",2021,123,123,100,561,421.5,42.8684523342685,23492.5611928597
"2021/2022",2022,123,123,100,729,466,40.7958065022825,22375.1394229084
"2022/2023",2023,123,123,100,488,105,29.7701427460313,26659.2894646795
"2023/2024",2024,123,123,100,737,693.5,55.8289165325093,19342.0939837662
"2024/2025",2025,123,123,100,560,204,36.5526342094938,24624.2013036027
"2025/2026",2026,123,123,100,649,450,39.3630743219132,22924.8054603464
"2026/2027",2027,123,123,100,799,707.5,46.6506343418823,20374.3948554108
"2027/2028",2028,123,123,100,671,327.5,41.8909714552294,21922.2577085006
"2028/2029",2029,123,123,100,556,193,35.1132710669438,25547.4393354962
"2029/2030",2030,123,123,100,747,481.5,42.334507473196,21136.8325275495
"2030/2031",2031,123,123,100,583,425,40.2914253928291,23666.6272636745
"2031/2032",2032,123,123,100,540,8.5,32.0865813320713,26317.7377488804
"2032/2033",2033,123,123,100,587,477.5,41.1262636212414,23119.092681475
"2033/2034",2034,123,123,100,719,569.5,42.9465130439455,21514.7107344698
"2034/2035",2035,123,123,100,586,225,35.8844753838916,24248.5599135174
"2035/2036",2036,123,123,100,411,-79.5,25.3822374381232,28414.9713293994
"2036/2037",2037,123,123,100,715,564,45.9822887710175,21322.0612110333
"2037/2038",2038,123,123,100,615,436,44.181830118652,22297.7454545959
"2038/2039",2039,123,123,100,781,612,49.0012073077016,20864.7346932385
"2039/2040",2040,123,123,100,643,503.5,42.8557940151097,22065.0940490505
"2040/2041",2041,123,123,100,606,310.5,38.1836235366154,23825.3683588766
"2041/2042",2042,123,123,100,626,416.5,39.6152549545934,22851.1957159047
"2042/2043",2043,123,123,100,645,338,45.021680766336,23211.2536573261
"2043/2044",2044,123,123,100,616,299,35.6488299217835,24529.5479244785
"2044/2045",2045,123,123,100,586,220,35.0212761621101,25177.2669729181
"2045/2046",2046,123,123,100,563,23.5,27.3117815781798,26740.0416986486
"2046/2047",2047,123,123,100,645,299,36.760894924264,22983.3435357176
"2047/2048",2048,123,123,100,741,441,40.6657337862662,22554.7140968964
"2048/2049",2049,123,123,100,493,452.5,37.2447877477684,23757.3642924521
"2049/2050",2050,123,123,100,582,255.5,35.300721041388,24181.2889417093
"2050/2051",2051,123,123,100,588,354,40.3049004677623,23460.0045224717
"2051/2052",2052,123,123,100,568,405.5,38.0712748795049,23838.7121211858
"2052/2053",2053,123,123,100,654,578,50.8316201028993,21531.4271461116
"2053/2054",2054,123,123,100,546,232,37.4845724110555,24643.3434078656
"2054/2055",2055,123,123,100,702,572,44.7553239079321,21258.9630855182
"2055/2056",2056,123,123,100,630,504,43.9663433394708,21731.8722594166
"2056/2057",2057,123,123,100,440,-43.5,32.0956882395235,27656.66954129
"2057/2058",2058,123,123,100,882,856.5,57.3874447203407,17845.1675219797
"2058/2059",2059,123,123,100,662,456,40.9349517967958,22227.3509703893
"2059/2060",2060,123,123,100,709,636.5,45.9225388477671,20997.10469539
"2060/2061",2061,123,123,100,632,304,37.9018811528804,24193.5364440363
"2061/2062",2062,123,123,100,474,73,35.5443707533514,25780.0122801512
"2062/2063",2063,123,123,100,651,323,41.4128353020578,22157.3947829846
