"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,482,75.5,31.5778876428472,26993.7167112697
"2000/2001",2001,123,123,100,449,-39,30.8773064913458,27764.6515464252
"2001/2002",2002,123,123,100,566,308.5,39.2639279664404,24277.201277393
"2002/2003",2003,123,123,100,463,142,29.8780659610384,27018.7334717189
"2003/2004",2004,123,123,100,456,-41.5,31.5922264622629,27532.0282396745
"2004/2005",2005,123,123,100,546,71,32.2634844181974,26226.2999178274
"2005/2006",2006,123,123,100,439,-111.5,35.0332572845204,27075.9097091539
"2006/2007",2007,123,123,100,509,-142.5,29.5356769459728,27887.7906027816
"2007/2008",2008,123,123,100,601,176.5,38.2858553177769,24288.7226318753
"2008/2009",2009,123,123,100,498,290.5,34.3061912401379,25355.6160672614
"2009/2010",2010,123,123,100,427,33,29.4289497970483,27978.19560999
"2010/2011",2011,123,123,100,506,-81,31.2729053377267,27298.5842571217
"2011/2012",2012,123,123,100,534,168,32.4626798425114,26355.0098791418
"2012/2013",2013,123,123,100,446,55,33.9294967858769,27442.1228431261
"2013/2014",2014,123,123,100,482,146,33.3166034558024,26008.9701247397
"2014/2015",2015,123,123,100,610,348,41.6418944845072,23682.5825990646
"2015/2016",2016,123,123,100,595,318.5,36.4662920692555,24333.8320276299
"2016/2017",2017,123,123,100,574,218.5,32.2058982832847,24726.4174031103
"2017/2018",2018,123,123,100,419,-104,26.9695240183,28116.9838868561
"2018/2019",2019,123,123,100,571,240.5,39.5333983345575,24554.1178280953
"2019/2020",2020,123,123,100,604,229,37.3579641371832,24494.3305627734
"2020/2021",2021,123,123,100,454,70,33.0955232352137,26663.2783292155
"2021/2022",2022,123,123,100,559,182.5,34.9930559029018,25532.2591847642
"2022/2023",2023,123,123,100,386,-202.5,24.2881842320465,29081.0890912991
"2023/2024",2024,123,123,100,660,472.5,50.6573661408249,22100.1296913759
"2024/2025",2025,123,123,100,478,-38,31.6421769976638,26898.7191558671
"2025/2026",2026,123,123,100,480,158.5,33.8179443526183,25747.0281479144
"2026/2027",2027,123,123,100,638,408,38.6847444470355,23679.6161258686
"2027/2028",2028,123,123,100,584,107.5,37.5057971874937,24041.9481244511
"2028/2029",2029,123,123,100,428,-96.5,29.4518239276824,28421.8226702288
"2029/2030",2030,123,123,100,673,277,41.1539621927559,23550.3580652219
"2030/2031",2031,123,123,100,429,146,32.1186285729946,26914.0970492689
"2031/2032",2032,123,123,100,505,-265,28.7405453741467,28564.3692997848
"2032/2033",2033,123,123,100,437,183.5,33.1423705968234,26432.2315713977
"2033/2034",2034,123,123,100,601,308.5,35.7558293025077,24465.2701689764
"2034/2035",2035,123,123,100,496,-49,31.9386359980765,26606.7335250098
"2035/2036",2036,123,123,100,311,-389.5,16.6419355461223,31428.6978246211
"2036/2037",2037,123,123,100,563,329.5,36.7602648232973,24055.2085894425
"2037/2038",2038,123,123,100,553,108.5,35.8985905992497,25713.2941829972
"2038/2039",2039,123,123,100,683,395,41.1776645273897,23572.5063389633
"2039/2040",2040,123,123,100,511,231.5,35.4363501378866,24971.5304700849
"2040/2041",2041,123,123,100,519,25,31.4896197491112,26419.6874269051
"2041/2042",2042,123,123,100,498,96,32.9205282444602,25845.9900436522
"2042/2043",2043,123,123,100,562,100.5,36.0236872283174,25379.6095305057
"2043/2044",2044,123,123,100,483,-5.5,30.8112529147606,27500.9934881106
"2044/2045",2045,123,123,100,456,-80,28.1591112643689,28142.2913822951
"2045/2046",2046,123,123,100,475,-250,20.6967783926057,29391.123886019
"2046/2047",2047,123,123,100,565,49,32.0373524873687,25559.9086825233
"2047/2048",2048,123,123,100,630,176,36.039203984313,25507.440001063
"2048/2049",2049,123,123,100,347,96.5,31.2443398515409,26953.084380202
"2049/2050",2050,123,123,100,491,-50.5,31.0812794246858,27089.0580185577
"2050/2051",2051,123,123,100,487,60.5,28.7574860554173,26461.5713109979
"2051/2052",2052,123,123,100,455,83,31.4535350026383,27163.4936530273
"2052/2053",2053,123,123,100,560,288.5,41.8578969646169,24577.3838869492
"2053/2054",2054,123,123,100,482,-81.5,30.6246653287749,27640.5920022568
"2054/2055",2055,123,123,100,607,283,38.9811592283852,24326.1881746231
"2055/2056",2056,123,123,100,551,199.5,38.9489916505268,24790.183363135
"2056/2057",2057,123,123,100,357,-360,28.5730175971044,30317.4480613284
"2057/2058",2058,123,123,100,733,667.5,49.7933691497005,20527.5310393963
"2058/2059",2059,123,123,100,573,202,37.7988969488297,25006.1679599453
"2059/2060",2060,123,123,100,570,358.5,40.5559283299676,23994.429928395
"2060/2061",2061,123,123,100,525,31.5,34.8941059159793,26803.1956493938
"2061/2062",2062,123,123,100,400,-209,30.9026676855565,28397.3973315638
"2062/2063",2063,123,123,100,603,109,35.8144629139206,24830.1989481887
"2063/2064",2064,123,123,100,450,205,37.1670141688037,25855.6952009592
"2064/2065",2065,123,123,100,633,145.5,33.3457227564413,25431.1516275108
"2065/2066",2066,123,123,100,656,358,38.5693993235745,23429.43907037
"2066/2067",2067,123,123,100,553,93,38.8680415439599,25780.4668968348
"2067/2068",2068,123,123,100,560,53.5,33.8995719904724,26211.3015324492
"2068/2069",2069,123,123,100,777,438,42.7289137677299,22167.5692424048
"2069/2070",2070,123,123,100,468,155.5,31.7131849477673,26404.0962396786
"2070/2071",2071,123,123,100,521,92.5,36.7997187624846,26302.2527153445
"2071/2072",2072,123,123,100,534,131,35.405279020536,26089.3462624149
"2072/2073",2073,123,123,100,612,625,46.7211217436534,22002.4246108979
"2073/2074",2074,123,123,100,480,178,39.4892404587767,25576.6825324586
"2074/2075",2075,123,123,100,472,-115.5,32.8398779070039,28055.8857439002
"2075/2076",2076,123,123,100,478,265,33.8348935433337,25568.2223258
"2076/2077",2077,123,123,100,488,-20.5,31.6840705719619,27035.2985001374
"2077/2078",2078,123,123,100,414,113.5,33.4853654557473,26646.9270622069
"2078/2079",2079,123,123,100,506,65,32.8966664820277,26294.5678685959
"2079/2080",2080,123,123,100,655,227.5,44.9886469052049,24202.1940117422
"2080/2081",2081,123,123,100,530,197,42.1020880311935,25720.4632158475
"2081/2082",2082,123,123,100,533,215,39.5033472520308,25096.1068007089
"2082/2083",2083,123,123,100,515,-239,25.664148915102,28495.3160374351
"2083/2084",2084,123,123,100,645,264,39.9374022332513,23946.5900160111
"2084/2085",2085,123,123,100,610,179,42.8540893094296,24070.456148101
"2085/2086",2086,123,123,100,601,63.5,28.1265057377946,26413.9409270678
"2086/2087",2087,123,123,100,777,576,47.5990018596876,21203.6184040941
"2087/2088",2088,123,123,100,372,-45,28.4059949967677,27768.8896849658
"2088/2089",2089,123,123,100,391,-74.5,29.5760068795885,28181.3805752695
"2089/2090",2090,123,123,100,424,88,36.1151362643336,26302.3853961248
"2090/2091",2091,123,123,100,295,-432,22.4706376068893,31246.2080442198
"2091/2092",2092,123,123,100,481,15,31.1191114017142,26562.9253021367
"2092/2093",2093,123,123,100,449,-272,19.354171289333,29206.5760440473
"2093/2094",2094,123,123,100,363,-149,23.9216935403656,28923.0521633253
"2094/2095",2095,123,123,100,562,206.5,41.5646229975955,24945.6242257338
"2095/2096",2096,123,123,100,405,27,27.7553192006208,27633.1466342527
"2096/2097",2097,123,123,100,498,140,31.3178381119769,26485.6159600597
"2097/2098",2098,123,123,100,363,-105.5,27.0429980570734,29244.8500090651
"2098/2099",2099,123,123,100,555,109,41.4995810956352,25741.0662391912
"2099/2100",2100,123,123,100,514,53,30.3035811689692,26760.4341479689
