"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,473,67,32.5204822690922,27299.3987354192
"2000/2001",2001,123,123,100,407,-47.5,28.2545239514431,28322.5051332759
"2001/2002",2002,123,123,100,529,319,36.1400839749122,24572.2070946525
"2002/2003",2003,123,123,100,429,139,31.5920427655539,27200.4498125317
"2003/2004",2004,123,123,100,412,-39.5,30.7679684290294,28044.5276803976
"2004/2005",2005,123,123,100,521,93.5,31.7307018177731,26457.4085835911
"2005/2006",2006,123,123,100,411,-110,32.5223756809828,27928.6597737331
"2006/2007",2007,123,123,100,477,-140,29.644314522325,28523.9211249916
"2007/2008",2008,123,123,100,573,196.5,38.5985345494863,24703.3337114021
"2008/2009",2009,123,123,100,464,300,35.9276393593572,25566.9126587965
"2009/2010",2010,123,123,100,383,27.5,29.6846855018035,28259.9403752759
"2010/2011",2011,123,123,100,499,-56.5,28.3973044201315,27606.1003708146
"2011/2012",2012,123,123,100,503,171.5,33.0135036858825,26661.9253400255
"2012/2013",2013,123,123,100,407,69.5,33.5430708023206,27623.5707346513
"2013/2014",2014,123,123,100,447,159.5,32.9435217008692,26309.3042361445
"2014/2015",2015,123,123,100,573,379,40.18134579347,23924.7953656337
"2015/2016",2016,123,123,100,568,338,36.1507818453646,24398.6470065827
"2016/2017",2017,123,123,100,555,247,34.8134624163617,24916.1816752122
"2017/2018",2018,123,123,100,368,-124,27.5985966386625,28829.3988112288
"2018/2019",2019,123,123,100,538,259,37.0514664199728,24918.0067870142
"2019/2020",2020,123,123,100,563,268,38.0930410729703,24578.2724234574
"2020/2021",2021,123,123,100,408,78,31.4705068563695,26979.1985792872
"2021/2022",2022,123,123,100,542,224,37.2909163466715,25460.602396423
"2022/2023",2023,123,123,100,343,-226,24.089135341309,30104.3289622804
"2023/2024",2024,123,123,100,644,525.5,51.7721588802814,22195.4990692413
"2024/2025",2025,123,123,100,458,-50,29.1316557652416,27650.4591552797
"2025/2026",2026,123,123,100,453,162,36.2437267896108,26051.6116254698
"2026/2027",2027,123,123,100,603,448,37.2449470509241,23635.3645229819
"2027/2028",2028,123,123,100,569,135.5,36.1757025280583,24648.6082967529
"2028/2029",2029,123,123,100,396,-98,29.1876952096952,28844.3476993633
"2029/2030",2030,123,123,100,661,307,41.0075848991671,24019.2572396025
"2030/2031",2031,123,123,100,378,163,32.2852328438896,27041.4279950857
"2031/2032",2032,123,123,100,473,-269.5,32.3896915178279,29357.7848784486
"2032/2033",2033,123,123,100,405,189.5,31.6394074945067,26491.1639061025
"2033/2034",2034,123,123,100,568,326,40.1621330299758,24565.2117691375
"2034/2035",2035,123,123,100,458,-32,30.8562437988878,27292.8999638571
"2035/2036",2036,123,123,100,281,-423.5,16.3814007662627,31951.568262612
"2036/2037",2037,123,123,100,522,331.5,37.4275518221114,24292.6707647638
"2037/2038",2038,123,123,100,533,151.5,37.5882000962154,25691.5250079622
"2038/2039",2039,123,123,100,646,399.5,42.6153075610705,23783.5074378774
"2039/2040",2040,123,123,100,472,253.5,37.5089845124903,25226.6223883419
"2040/2041",2041,123,123,100,483,15,30.2816667109573,27111.2914201836
"2041/2042",2042,123,123,100,459,123.5,33.4646017658233,26035.268824013
"2042/2043",2043,123,123,100,530,97.5,34.5578899917839,26115.4203760121
"2043/2044",2044,123,123,100,439,8.5,31.40455954194,27857.3300366607
"2044/2045",2045,123,123,100,415,-69.5,26.997674046886,28540.4837260172
"2045/2046",2046,123,123,100,443,-253,22.4845475324832,29944.1191726131
"2046/2047",2047,123,123,100,556,79,32.2574233417729,25909.0818941956
"2047/2048",2048,123,123,100,587,199,33.5684346071248,25778.7929634107
"2048/2049",2049,123,123,100,303,87,29.1814212517406,27429.7885610638
"2049/2050",2050,123,123,100,451,-57,30.1255280189675,27486.8563524494
"2050/2051",2051,123,123,100,456,66.5,30.5007673061216,26796.5898950798
"2051/2052",2052,123,123,100,404,90,28.6677749284768,27325.2708461378
"2052/2053",2053,123,123,100,533,323,42.557306325378,24627.7414922062
"2053/2054",2054,123,123,100,466,-89,29.6220111406569,28120.2239176091
"2054/2055",2055,123,123,100,564,315,41.1618626529093,24433.3229699442
"2055/2056",2056,123,123,100,526,225.5,39.1212887301162,25223.1673243204
"2056/2057",2057,123,123,100,338,-409.5,22.8105237738446,31159.32446732
"2057/2058",2058,123,123,100,729,693.5,51.7761034181804,20586.430603331
"2058/2059",2059,123,123,100,543,208,36.2573013897095,25330.0215681754
"2059/2060",2060,123,123,100,526,354,41.2857863305567,24237.7818402704
"2060/2061",2061,123,123,100,471,26,32.836589758329,27356.8286231942
"2061/2062",2062,123,123,100,376,-220,31.4094600574963,28903.1343801776
"2062/2063",2063,123,123,100,588,134.5,36.4366342252079,25064.0593723208
"2063/2064",2064,123,123,100,412,218.5,38.5682190814409,26117.1459688628
"2064/2065",2065,123,123,100,609,152.5,35.3060539596363,25947.8346417127
"2065/2066",2066,123,123,100,620,364,41.7450112296738,23615.7649609288
"2066/2067",2067,123,123,100,518,119.5,38.6895558969541,26195.8731717393
"2067/2068",2068,123,123,100,529,65,36.4923602217241,26846.0635242257
"2068/2069",2069,123,123,100,746,476.5,40.4093357435058,22645.0195751963
"2069/2070",2070,123,123,100,403,133.5,31.4841571919942,26915.8306195019
"2070/2071",2071,123,123,100,501,96,38.4729756875245,26658.3924770122
"2071/2072",2072,123,123,100,502,137.5,38.2345242347778,26330.5618540142
"2072/2073",2073,123,123,100,588,607.5,47.9501998088899,22297.1299333256
"2073/2074",2074,123,123,100,451,210,40.1308560564248,25627.4302105093
"2074/2075",2075,123,123,100,452,-113.5,32.3674528223155,28477.2805637643
"2075/2076",2076,123,123,100,446,252,34.1113025259019,25804.7404022347
"2076/2077",2077,123,123,100,459,-0.5,28.7541074246483,27319.0534926839
"2077/2078",2078,123,123,100,373,111.5,30.9912208994133,26934.6892927792
