"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1659,1680.5,85.136931166817,3797.24093452641
"2000/2001",2001,123,123,100,1501,1614.5,84.9496395267549,3651.73241921827
"2001/2002",2002,123,123,100,1680,1805,89.0006444258265,2934.07927932689
"2002/2003",2003,123,123,100,1580,1740,87.3719213734295,3894.48642757465
"2003/2004",2004,123,123,100,1662,1708.5,87.2079296675122,3934.23133844446
"2004/2005",2005,123,123,100,1653,1623.5,85.0662633409005,3784.86144896346
"2005/2006",2006,123,123,100,1551,1538,84.9884560479825,4384.87517874513
"2006/2007",2007,123,123,100,1733,1691,85.6375511346605,4296.40362861834
"2007/2008",2008,123,123,100,1635,1492,83.7138170882668,2960.53069102025
"2008/2009",2009,123,123,100,1591,1758,87.2390059647198,3479.15971475007
"2009/2010",2010,123,123,100,1613,1703.5,86.1296656561119,4564.13000555779
"2010/2011",2011,123,123,100,1526,1510.5,84.7067251682288,3590.06930623995
"2011/2012",2012,123,123,100,1601,1632.5,87.1067422433234,3952.62533406133
"2012/2013",2013,123,123,100,1595,1761.5,88.4340911642316,4412.19726906111
"2013/2014",2014,123,123,100,1550,1626.5,86.122282799231,3450.11419164529
"2014/2015",2015,123,123,100,1750,1691,87.2016216143893,3000.05474400264
"2015/2016",2016,123,123,100,1739,1765.5,88.1152697330967,2455.28568331129
"2016/2017",2017,123,123,100,1626,1532.5,83.434089197508,2107.20095541957
"2017/2018",2018,123,123,100,1505,1494.5,84.8906206697984,3616.78857035039
"2018/2019",2019,123,123,100,1654,1693,87.7963032988432,4718.12907834747
"2019/2020",2020,123,123,100,1663,1611,86.1201534276333,3774.93839601916
"2020/2021",2021,123,123,100,1617,1686,88.3693345305505,3603.82728176937
"2021/2022",2022,123,123,100,1587,1517,84.5232931157784,3114.13741699117
"2022/2023",2023,123,123,100,1522,1543.5,84.6834192629026,3621.8915879752
"2023/2024",2024,123,123,100,1735,1767.5,86.5382568304212,3325.08295424352
"2024/2025",2025,123,123,100,1613,1503.5,84.427279210779,3350.66481710342
"2025/2026",2026,123,123,100,1680,1723.5,87.5814055887649,3222.09585157153
"2026/2027",2027,123,123,100,1800,1826,88.3133675315012,2564.64282900095
"2027/2028",2028,123,123,100,1687,1579.5,85.4223432274921,2924.68802715372
"2028/2029",2029,123,123,100,1543,1683.5,86.6170527243085,4461.1280255965
"2029/2030",2030,123,123,100,1777,1673,85.5171121344156,2316.68278141413
"2030/2031",2031,123,123,100,1571,1630,86.3181064079527,4068.51596733206
"2031/2032",2032,123,123,100,1560,1501,85.3955883534745,3948.94406121178
"2032/2033",2033,123,123,100,1623,1755.5,88.2109546199545,4433.61693425174
"2033/2034",2034,123,123,100,1691,1669.5,86.8940585060354,3478.44999824837
"2034/2035",2035,123,123,100,1688,1579.5,85.9545796013408,3077.06960303895
"2035/2036",2036,123,123,100,1592,1614.5,86.9654766594085,4094.30451598135
"2036/2037",2037,123,123,100,1785,1644.5,86.9965744651226,2762.84649601066
"2037/2038",2038,123,123,100,1618,1677.5,83.8230256398792,4460.65253223083
"2038/2039",2039,123,123,100,1767,1661,86.4672149499838,2708.91445836285
"2039/2040",2040,123,123,100,1643,1674.5,87.263127258896,3136.40367859276
"2040/2041",2041,123,123,100,1686,1675.5,86.4640557385446,3299.86793473642
"2041/2042",2042,123,123,100,1665,1648,86.9617460074924,3838.02491695527
"2042/2043",2043,123,123,100,1775,1671.5,88.4860915887675,3171.91355202347
"2043/2044",2044,123,123,100,1595,1653.5,85.8766670489958,3556.27962780977
"2044/2045",2045,123,123,100,1546,1499.5,85.6126701722551,3050.50181124778
"2045/2046",2046,123,123,100,1467,1375.5,84.0961302808582,3423.17071673693
"2046/2047",2047,123,123,100,1816,1625,86.0196555230787,2555.03574491479
"2047/2048",2048,123,123,100,1575,1680,85.787596462359,3494.77051879792
"2048/2049",2049,123,123,100,1599,1770.5,88.1666531233932,4142.64358190214
"2049/2050",2050,123,123,100,1543,1574,80.8794760979117,4539.41393167619
"2050/2051",2051,123,123,100,1587,1616.5,86.376447608759,3998.42029788392
"2051/2052",2052,123,123,100,1666,1760.5,87.7121706053586,4615.48672941606
"2052/2053",2053,123,123,100,1478,1660.5,87.0989736276388,4144.69771789759
"2053/2054",2054,123,123,100,1606,1570,84.3265238063541,4238.62802414782
"2054/2055",2055,123,123,100,1703,1790,87.4163927495174,3497.22067137668
"2055/2056",2056,123,123,100,1541,1757.5,89.3974593421426,4403.51640474563
"2056/2057",2057,123,123,100,1592,1610.5,85.8940474020164,4939.66867020773
"2057/2058",2058,123,123,100,1717,1917,89.6203899852317,3432.11572284857
"2058/2059",2059,123,123,100,1807,1780.5,86.5084438128542,3010.33800361585
"2059/2060",2060,123,123,100,1713,1800.5,88.7277729822763,3375.22380478401
"2060/2061",2061,123,123,100,1578,1648,85.904095346752,4165.45671540638
"2061/2062",2062,123,123,100,1641,1702.5,87.3363026792831,4879.26339293038
"2062/2063",2063,123,123,100,1727,1629,86.5001053744982,3480.24305785168
"2063/2064",2064,123,123,100,1592,1761,87.465215408416,4340.93061010167
"2064/2065",2065,123,123,100,1742,1657,85.921723942367,2969.66797630442
"2065/2066",2066,123,123,100,1789,1768.5,88.1786046604739,2716.93710534833
"2066/2067",2067,123,123,100,1691,1746,86.0569899967832,4034.75454251328
"2067/2068",2068,123,123,100,1666,1624.5,85.6511542089756,3364.35715150461
"2068/2069",2069,123,123,100,1739,1620,86.1507221073916,1999.9530137293
"2069/2070",2070,123,123,100,1786,1792,89.2231171207186,2753.47784494096
"2070/2071",2071,123,123,100,1696,1790.5,88.5429967645341,4505.19016397698
"2071/2072",2072,123,123,100,1684,1773.5,86.3168180442062,4141.09367741365
"2072/2073",2073,123,123,100,1776,1872.5,88.9875825329254,3367.96207979601
"2073/2074",2074,123,123,100,1659,1851.5,88.1037839288165,5120.40667890664
"2074/2075",2075,123,123,100,1665,1730.5,85.1345150054112,4814.50322813774
"2075/2076",2076,123,123,100,1649,1747,87.5563011314152,3089.42379171355
"2076/2077",2077,123,123,100,1690,1657.5,85.5769857100822,2987.47432118189
"2077/2078",2078,123,123,100,1545,1713.5,86.4367742499599,4452.32917766133
"2078/2079",2079,123,123,100,1645,1657.5,85.9680985938448,3732.83034586767
"2079/2080",2080,123,123,100,1672,1710,87.7440727892554,3240.1341943061
"2080/2081",2081,123,123,100,1609,1729.5,87.265998861054,4623.49629028514
"2081/2082",2082,123,123,100,1633,1821,87.7733114197126,4195.64922725875
"2082/2083",2083,123,123,100,1563,1515.5,85.3425926690306,4304.8898348771
"2083/2084",2084,123,123,100,1739,1706.5,86.5413311237826,2984.11032977793
"2084/2085",2085,123,123,100,1705,1665,86.3772170316806,3186.35810279008
"2085/2086",2086,123,123,100,1624,1534,85.3962986550614,2965.74857825506
"2086/2087",2087,123,123,100,1792,1891.5,88.1177731788703,3813.36494086403
"2087/2088",2088,123,123,100,1549,1602,86.8898635865044,3978.0937367212
"2088/2089",2089,123,123,100,1463,1550.5,84.6350323635124,5303.69117100257
"2089/2090",2090,123,123,100,1748,1823,87.9538725268503,3172.79619638529
"2090/2091",2091,123,123,100,1496,1604.5,85.7807652897882,4600.41886408255
"2091/2092",2092,123,123,100,1666,1668.5,86.6648826622404,4095.85936855339
"2092/2093",2093,123,123,100,1404,1341,81.563428934578,3268.01425213926
"2093/2094",2094,123,123,100,1536,1522,87.7094874547656,3168.1482163975
"2094/2095",2095,123,123,100,1724,1721,86.9408172976382,3607.96754835919
"2095/2096",2096,123,123,100,1605,1696.5,87.1235258631023,4344.79606482293
"2096/2097",2097,123,123,100,1633,1724.5,88.4632243129836,2966.12485959008
"2097/2098",2098,123,123,100,1483,1550.5,86.0771531429036,4158.65327269211
"2098/2099",2099,123,123,100,1608,1607,83.4071140190463,4460.6248781113
"2099/2100",2100,123,123,100,1749,1698,88.5041701707214,2635.02856830228
