"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1659,1689,86.7978686769599,3635.34166930831
"2000/2001",2001,123,123,100,1488,1600.5,85.0107069975647,3540.83484968822
"2001/2002",2002,123,123,100,1680,1793.5,89.7158079018552,2814.63656632125
"2002/2003",2003,123,123,100,1591,1740.5,86.9027522671288,3763.53515464292
"2003/2004",2004,123,123,100,1679,1706.5,86.9121780362448,3800.01626021019
"2004/2005",2005,123,123,100,1645,1601,84.4782403020145,3683.38965475012
"2005/2006",2006,123,123,100,1564,1536.5,85.146626259339,4232.18350916175
"2006/2007",2007,123,123,100,1758,1691.5,87.3874164765934,4113.183968328
"2007/2008",2008,123,123,100,1602,1479.5,82.9767572039455,2878.31794112682
"2008/2009",2009,123,123,100,1615,1746,87.0583955959912,3334.45726232958
"2009/2010",2010,123,123,100,1604,1679,87.0077710075598,4472.99552915699
"2010/2011",2011,123,123,100,1515,1485,83.9579460613772,3532.23310174502
"2011/2012",2012,123,123,100,1601,1632.5,85.6913191404781,3833.44521369692
"2012/2013",2013,123,123,100,1598,1765,87.4843178109431,4279.28519594809
"2013/2014",2014,123,123,100,1551,1618,85.7850264282561,3332.16788422398
"2014/2015",2015,123,123,100,1746,1684,86.5658468210354,2894.81190217193
"2015/2016",2016,123,123,100,1736,1743.5,87.6773581791349,2382.42854910006
"2016/2017",2017,123,123,100,1633,1511.5,84.6649370169944,2024.15381002834
"2017/2018",2018,123,123,100,1516,1489,86.8873422607917,3492.13209635078
"2018/2019",2019,123,123,100,1671,1708,88.0639198482472,4496.54229467327
"2019/2020",2020,123,123,100,1641,1578.5,85.6040622664777,3740.33112645498
"2020/2021",2021,123,123,100,1631,1663,88.1760146126321,3494.50337694096
"2021/2022",2022,123,123,100,1574,1498.5,83.4862026814872,3048.08741688216
"2022/2023",2023,123,123,100,1520,1521.5,85.0862838076532,3502.71666833945
"2023/2024",2024,123,123,100,1720,1755,86.63024430717,3243.99312076857
"2024/2025",2025,123,123,100,1630,1508.5,84.9053877546467,3185.88018403552
"2025/2026",2026,123,123,100,1666,1719.5,87.8956773603313,3084.38434080826
"2026/2027",2027,123,123,100,1797,1791.5,87.6710578496568,2500.10608693166
"2027/2028",2028,123,123,100,1667,1555,84.2283781575961,2839.0345446209
"2028/2029",2029,123,123,100,1547,1671,86.4179001733819,4347.11656455975
"2029/2030",2030,123,123,100,1772,1641.5,85.4690869693413,2238.28867497528
"2030/2031",2031,123,123,100,1554,1619.5,85.5447082336459,3974.62898838962
"2031/2032",2032,123,123,100,1555,1496.5,84.7193090187702,3823.72490046406
"2032/2033",2033,123,123,100,1608,1732,86.8911154623065,4362.57829035609
"2033/2034",2034,123,123,100,1699,1647,87.3411581821192,3384.71669576084
"2034/2035",2035,123,123,100,1678,1571.5,87.1873302647255,2946.39559189091
"2035/2036",2036,123,123,100,1598,1610,87.2399432925977,3960.39309023065
"2036/2037",2037,123,123,100,1762,1625,86.2487599515007,2688.38824935001
"2037/2038",2038,123,123,100,1606,1657.5,83.8595481054517,4372.47786531318
"2038/2039",2039,123,123,100,1778,1618.5,86.7441192629094,2688.23134640534
"2039/2040",2040,123,123,100,1639,1646,86.139612464779,3038.85686461581
"2040/2041",2041,123,123,100,1691,1659,87.2599031010877,3164.47798150405
"2041/2042",2042,123,123,100,1659,1628,86.0139939944747,3755.89767280174
"2042/2043",2043,123,123,100,1777,1638,87.2235810754037,3101.70914626308
"2043/2044",2044,123,123,100,1590,1641,85.5887172494577,3452.49031984759
"2044/2045",2045,123,123,100,1543,1482.5,84.1995196744747,2953.40777911572
"2045/2046",2046,123,123,100,1460,1362.5,82.9985441981235,3384.84629032481
"2046/2047",2047,123,123,100,1824,1608,85.892540748292,2427.43248140113
"2047/2048",2048,123,123,100,1576,1663.5,84.7934969895541,3415.78477223776
"2048/2049",2049,123,123,100,1614,1767,87.228471108484,4030.33865086222
"2049/2050",2050,123,123,100,1554,1577,82.8076693006324,4354.62369170552
"2050/2051",2051,123,123,100,1578,1603.5,86.1885072146397,3917.92690276355
"2051/2052",2052,123,123,100,1670,1754,89.2157712686267,4470.53616371471
"2052/2053",2053,123,123,100,1461,1630.5,85.9619399241274,4100.81201723823
"2053/2054",2054,123,123,100,1586,1561.5,84.4496372624399,4145.19917355943
"2054/2055",2055,123,123,100,1703,1764.5,86.897248142428,3423.22793932864
"2055/2056",2056,123,123,100,1540,1746,89.6651177920048,4258.34315361083
"2056/2057",2057,123,123,100,1606,1593.5,84.6424656286144,4773.00276758382
"2057/2058",2058,123,123,100,1699,1890.5,90.2526846965648,3332.58735554153
"2058/2059",2059,123,123,100,1790,1764.5,86.8893285710183,2911.14976445399
"2059/2060",2060,123,123,100,1727,1801,88.8130916303144,3251.9096047068
"2060/2061",2061,123,123,100,1581,1639.5,85.6985155463517,4068.02576264599
