"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1625,1666.5,85.9567398178933,3810.16271318711
"2000/2001",2001,123,123,100,1470,1569,85.6625226781853,3755.32222566805
"2001/2002",2002,123,123,100,1638,1760,89.3510452239926,3015.7488983309
"2002/2003",2003,123,123,100,1565,1707.5,89.5459292077315,3956.10260190692
"2003/2004",2004,123,123,100,1643,1667.5,87.8030580395671,4043.20812661902
"2004/2005",2005,123,123,100,1605,1577,84.8540369488235,3889.66648677783
"2005/2006",2006,123,123,100,1544,1491.5,85.18684880475,4455.20317980478
"2006/2007",2007,123,123,100,1735,1644,85.4232433622767,4346.22230196791
"2007/2008",2008,123,123,100,1588,1460.5,83.0434304994337,2999.91633947648
"2008/2009",2009,123,123,100,1599,1725,87.3840375287109,3509.12892896513
"2009/2010",2010,123,123,100,1556,1629,86.4172429440894,4733.35784808709
"2010/2011",2011,123,123,100,1501,1455.5,84.3715957948318,3760.97623108514
"2011/2012",2012,123,123,100,1580,1609,87.4263755353688,3969.31303378043
"2012/2013",2013,123,123,100,1560,1710.5,86.9509855629608,4543.90389643202
"2013/2014",2014,123,123,100,1511,1586.5,86.2204913058204,3576.38347926724
"2014/2015",2015,123,123,100,1693,1660,86.0261541310001,3101.52714690357
"2015/2016",2016,123,123,100,1715,1714,86.974276125804,2552.22908050893
"2016/2017",2017,123,123,100,1589,1488.5,84.5683855705988,2195.62199189747
"2017/2018",2018,123,123,100,1472,1444,83.8923829499167,3752.05911224184
"2018/2019",2019,123,123,100,1643,1661.5,87.524840481462,4724.90577246249
"2019/2020",2020,123,123,100,1600,1566.5,86.2618701454503,3978.5507957458
"2020/2021",2021,123,123,100,1613,1643,87.310577193422,3660.32815818209
"2021/2022",2022,123,123,100,1544,1498,84.3394717738602,3176.99925304973
"2022/2023",2023,123,123,100,1490,1500,85.7694286278997,3718.32282093097
"2023/2024",2024,123,123,100,1708,1729,86.6551104334949,3448.10714964406
"2024/2025",2025,123,123,100,1597,1485.5,82.9268317978172,3332.05472329166
"2025/2026",2026,123,123,100,1613,1698.5,88.5296040258863,3282.17201053537
"2026/2027",2027,123,123,100,1763,1759,87.5518896238355,2708.34275331325
"2027/2028",2028,123,123,100,1652,1524.5,84.1867335965726,3039.33967076987
"2028/2029",2029,123,123,100,1508,1640,86.3119026666363,4585.29564856575
"2029/2030",2030,123,123,100,1744,1622,86.3091643705347,2433.2359959078
"2030/2031",2031,123,123,100,1505,1590,84.5094764258074,4223.11920008273
"2031/2032",2032,123,123,100,1509,1452,84.5265472358988,4138.71439889679
"2032/2033",2033,123,123,100,1559,1693,87.32710533114,4589.86106224847
"2033/2034",2034,123,123,100,1673,1618.5,84.6853606355444,3575.69820049754
"2034/2035",2035,123,123,100,1654,1523,85.6015376573578,3214.80723004276
"2035/2036",2036,123,123,100,1575,1567.5,85.5942637015723,4203.42150271661
"2036/2037",2037,123,123,100,1727,1608,86.3977749851038,2842.01132152136
"2037/2038",2038,123,123,100,1600,1599,83.9212718229392,4630.24732265808
"2038/2039",2039,123,123,100,1751,1604,86.0562386709771,2823.52400071616
"2039/2040",2040,123,123,100,1613,1628.5,85.5526865778047,3249.99241478206
"2040/2041",2041,123,123,100,1672,1611.5,85.7959032963145,3427.96421406837
"2041/2042",2042,123,123,100,1615,1573.5,85.3864696832106,4053.41803943273
"2042/2043",2043,123,123,100,1750,1605.5,85.7681607771819,3322.32881821785
"2043/2044",2044,123,123,100,1562,1600.5,86.9932890106929,3669.41393640917
"2044/2045",2045,123,123,100,1506,1449,84.4635469535551,3200.28086256469
"2045/2046",2046,123,123,100,1419,1341,82.7652501036864,3598.7928989213
"2046/2047",2047,123,123,100,1769,1585.5,86.6914941584064,2638.96822503628
"2047/2048",2048,123,123,100,1556,1640,84.9414456671484,3607.38265487365
"2048/2049",2049,123,123,100,1608,1731,86.2045415969942,4161.99382551201
"2049/2050",2050,123,123,100,1504,1550,82.1625494984564,4595.83058552397
"2050/2051",2051,123,123,100,1564,1583.5,85.7257154317058,4090.38917221222
"2051/2052",2052,123,123,100,1651,1714,87.1803816126048,4741.85880913632
"2052/2053",2053,123,123,100,1450,1605,86.3499029936793,4313.50295362761
"2053/2054",2054,123,123,100,1561,1531,86.962623834761,4344.66561765224
"2054/2055",2055,123,123,100,1677,1729,87.3889751697261,3627.0336917704
"2055/2056",2056,123,123,100,1519,1703,88.2915453973601,4546.09387236508
"2056/2057",2057,123,123,100,1557,1546.5,84.6940230754008,5045.28243135149
"2057/2058",2058,123,123,100,1665,1861.5,90.0424876788729,3524.16345686698
"2058/2059",2059,123,123,100,1758,1727.5,85.4341985091323,3121.23467302788
"2059/2060",2060,123,123,100,1670,1762,88.7831818665563,3466.1076462674
"2060/2061",2061,123,123,100,1550,1594,85.308566220463,4320.65640769806
"2061/2062",2062,123,123,100,1616,1649.5,85.7197250823356,5024.36727878684
"2062/2063",2063,123,123,100,1686,1587,86.4183330828619,3641.14805384958
"2063/2064",2064,123,123,100,1570,1730.5,87.1064795243383,4434.67722448474
"2064/2065",2065,123,123,100,1693,1600,85.2799482072242,3125.85959496535
"2065/2066",2066,123,123,100,1765,1746,87.6631145400024,2767.5675642211
"2066/2067",2067,123,123,100,1657,1688.5,86.7087487384197,4197.00482697552
"2067/2068",2068,123,123,100,1622,1594.5,86.1971101195886,3470.02408965817
"2068/2069",2069,123,123,100,1707,1573.5,86.2806222116669,2094.6709421752
"2069/2070",2070,123,123,100,1761,1731,88.8186887853153,2851.59120617295
"2070/2071",2071,123,123,100,1672,1726,87.3702675722889,4675.37019841559
"2071/2072",2072,123,123,100,1678,1728.5,85.0991568722202,4247.28271850757
"2072/2073",2073,123,123,100,1766,1870.5,88.7898872337882,3274.79706981266
"2073/2074",2074,123,123,100,1638,1801.5,89.1840046762427,5255.09436465101
"2074/2075",2075,123,123,100,1638,1671.5,84.7798310009839,4942.78781975945
"2075/2076",2076,123,123,100,1614,1721.5,86.1264148466507,3125.41060496634
"2076/2077",2077,123,123,100,1673,1623.5,85.5815870585848,3008.32926608343
"2077/2078",2078,123,123,100,1502,1686,86.7024023365575,4562.48106782325
"2078/2079",2079,123,123,100,1624,1609.5,85.219804018363,3865.07803260721
"2079/2080",2080,123,123,100,1652,1652.5,86.7657741873518,3288.0748064802
"2080/2081",2081,123,123,100,1574,1653.5,85.4767497321536,4806.64249791484
"2081/2082",2082,123,123,100,1609,1755.5,87.6702656093094,4354.84472963959
"2082/2083",2083,123,123,100,1518,1465,81.4471036977957,4482.61745049246
"2083/2084",2084,123,123,100,1716,1665.5,85.0099514769117,3060.28549548797
"2084/2085",2085,123,123,100,1680,1610,85.6640351947899,3275.40202619601
"2085/2086",2086,123,123,100,1597,1502,84.5287751625547,3070.72509762365
"2086/2087",2087,123,123,100,1751,1836.5,87.0726284324446,3909.49027749989
"2087/2088",2088,123,123,100,1516,1559,86.1260926558443,4025.61846953258
"2088/2089",2089,123,123,100,1421,1499.5,83.4471498059356,5506.96292048413
"2089/2090",2090,123,123,100,1700,1763.5,88.1172284112999,3279.62252786756
"2090/2091",2091,123,123,100,1465,1535.5,85.9630153117105,4775.96847856697
"2091/2092",2092,123,123,100,1636,1618,85.6972103082699,4186.40742798056
"2092/2093",2093,123,123,100,1374,1292,81.8063144121443,3422.43937129527
"2093/2094",2094,123,123,100,1466,1475,86.0465950941416,3327.60305268224
"2094/2095",2095,123,123,100,1659,1674.5,85.8504806136189,3720.04401897453
"2095/2096",2096,123,123,100,1523,1645,88.5740266554076,4503.54680297058
"2096/2097",2097,123,123,100,1590,1676,87.7347429285019,3061.30678827688
"2097/2098",2098,123,123,100,1433,1507,86.2270942347259,4307.18411814701
"2098/2099",2099,123,123,100,1561,1553.5,82.099085949616,4645.75940150861
"2099/2100",2100,123,123,100,1702,1657,88.8759591190901,2740.71017808095
