"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,417,-155,30.4496504979119,28516.9632804815
"2000/2001",2001,123,123,100,340,-379,26.8937026444228,30248.0342044942
"2001/2002",2002,123,123,100,371,-259,23.753453467193,29914.1655200436
"2002/2003",2003,123,123,100,391,-150.5,30.0599112314478,28759.7013048912
"2003/2004",2004,123,123,100,406,-172.5,29.011171950669,28916.530512363
"2004/2005",2005,123,123,100,362,-326.5,22.3620260907082,30295.9477020324
"2005/2006",2006,123,123,100,390,-236,28.6484137241522,30098.7572682588
"2006/2007",2007,123,123,100,481,-136.5,30.0848242390958,28187.9029380012
"2007/2008",2008,123,123,100,253,-632.5,21.8228657038001,32067.4885911155
"2008/2009",2009,123,123,100,376,-307.5,25.40729616342,29355.5046964992
"2009/2010",2010,123,123,100,412,98,32.2912183109074,27253.2611646964
"2010/2011",2011,123,123,100,260,-381,20.8820197303164,31735.707820805
"2011/2012",2012,123,123,100,396,-285.5,26.7213830461462,29559.4446636064
"2012/2013",2013,123,123,100,458,80,34.2245520786689,26936.5174996471
"2013/2014",2014,123,123,100,369,-322.5,26.6200243988774,30125.6434562227
"2014/2015",2015,123,123,100,348,-305.5,27.9464041967599,29695.9823436125
"2015/2016",2016,123,123,100,280,-391,22.0268787072213,31030.5843451177
"2016/2017",2017,123,123,100,219,-816,15.4832149638776,33816.895259578
"2017/2018",2018,123,123,100,237,-494,25.8931498134112,31572.188543532
"2018/2019",2019,123,123,100,493,-148.5,33.2380099139822,27508.1083403507
"2019/2020",2020,123,123,100,354,-175.5,24.8245101373736,29274.821919417
"2020/2021",2021,123,123,100,394,-234.5,29.3019338592452,29546.4456594228
"2021/2022",2022,123,123,100,222,-532.5,21.4845837366745,31551.1571676838
"2022/2023",2023,123,123,100,262,-530.5,24.8625557366311,32451.0399325164
"2023/2024",2024,123,123,100,473,-139.5,28.559407809733,28269.0263770828
"2024/2025",2025,123,123,100,382,-402.5,25.1865123029198,29697.9391063652
"2025/2026",2026,123,123,100,329,-286.5,25.3499922808045,29866.4527204465
"2026/2027",2027,123,123,100,277,-515.5,13.9432855461464,32319.6617118404
"2027/2028",2028,123,123,100,331,-475.5,22.1258044866424,31551.2425856064
"2028/2029",2029,123,123,100,437,107.5,36.6689428985312,26624.2412205325
"2029/2030",2030,123,123,100,304,-647.5,14.7039080860231,33498.4942809246
"2030/2031",2031,123,123,100,394,-89,32.9665403234275,27801.8651027074
"2031/2032",2032,123,123,100,221,-357.5,26.1081664565792,30387.0355532435
"2032/2033",2033,123,123,100,449,147.5,33.9540787447072,26449.4045107779
"2033/2034",2034,123,123,100,390,-298,27.9231087154761,29696.4654315747
"2034/2035",2035,123,123,100,254,-560,15.8193608286954,32815.9571600407
"2035/2036",2036,123,123,100,269,-310.5,26.8771687790152,30449.4456192325
"2036/2037",2037,123,123,100,396,-451,24.8680288800288,30045.854690908
"2037/2038",2038,123,123,100,441,-16.5,29.2266066516565,26973.2237729011
"2038/2039",2039,123,123,100,259,-512.5,16.8041811403191,32324.6151130497
"2039/2040",2040,123,123,100,351,-381.5,24.8843614778989,31098.530667156
"2040/2041",2041,123,123,100,390,-356.5,27.652616629744,31053.8788763154
"2041/2042",2042,123,123,100,323,-226.5,24.0110981445607,29901.6296750624
"2042/2043",2043,123,123,100,365,-281.5,21.5135831985615,30639.0978466738
"2043/2044",2044,123,123,100,376,-269,25.4378537997934,30231.0516805882
"2044/2045",2045,123,123,100,205,-545.5,18.0034806081553,32615.7919375636
"2045/2046",2046,123,123,100,210,-740.5,18.1963815966308,33770.0545068914
"2046/2047",2047,123,123,100,241,-623.5,18.6107488288421,32540.0707010413
"2047/2048",2048,123,123,100,298,-393,19.1546670831249,30983.6073233271
"2048/2049",2049,123,123,100,530,-18,30.1047564227906,27441.1541826073
"2049/2050",2050,123,123,100,446,-413.5,27.4934529321438,28831.0970467599
"2050/2051",2051,123,123,100,462,-9.5,32.8584427237568,27539.4303656705
"2051/2052",2052,123,123,100,456,68.5,35.1067177036366,26646.7992331572
"2052/2053",2053,123,123,100,469,44,26.7819571284101,27393.0937507432
