"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,749,803,46.2345632358515,20115.5164635583
"2000/2001",2001,123,123,100,667,740,46.5257673906547,21002.0302169226
"2001/2002",2002,123,123,100,689,701,49.8713763690898,20891.337069198
"2002/2003",2003,123,123,100,773,847,51.4132562516139,19777.004607871
"2003/2004",2004,123,123,100,752,793,48.2202824560932,20214.7243752962
"2004/2005",2005,123,123,100,741,739,44.8444988711492,21184.5727854224
"2005/2006",2006,123,123,100,695,737.5,47.9258481940981,20701.0850316053
"2006/2007",2007,123,123,100,785,760.5,51.9205376062591,20219.3680169217
"2007/2008",2008,123,123,100,685,581,35.8512138335734,22268.003133804
"2008/2009",2009,123,123,100,742,723,43.6727687763063,20591.9386778463
"2009/2010",2010,123,123,100,797,968,55.056829015788,18865.9548472994
"2010/2011",2011,123,123,100,624,732,47.1362629176842,21340.7744660107
"2011/2012",2012,123,123,100,740,793.5,49.4499762406147,20241.7946656905
"2012/2013",2013,123,123,100,770,926.5,54.0826466828854,19055.5899103789
"2013/2014",2014,123,123,100,722,700,45.5710479059385,21238.8136124958
"2014/2015",2015,123,123,100,761,694.5,41.514092118143,21295.1198344727
"2015/2016",2016,123,123,100,696,688,42.9937993480643,21311.6611378961
"2016/2017",2017,123,123,100,620,506,36.7979077185956,22925.1055463136
"2017/2018",2018,123,123,100,613,652,48.570816414119,22065.1687887288
"2018/2019",2019,123,123,100,800,754,49.2479235932523,20049.7565785779
"2019/2020",2020,123,123,100,751,742.5,48.9911794632942,20746.5324039513
"2020/2021",2021,123,123,100,769,825.5,46.8991052787071,20234.046307394
"2021/2022",2022,123,123,100,677,702,39.8011709896332,21404.4324286529
"2022/2023",2023,123,123,100,574,671.5,50.6678874047716,21706.2842757907
"2023/2024",2024,123,123,100,859,711,44.0999286202173,20713.6143539138
"2024/2025",2025,123,123,100,700,708,43.5020200651943,21069.0706373383
"2025/2026",2026,123,123,100,752,742.5,44.7362157182033,20854.413561916
"2026/2027",2027,123,123,100,736,594.5,40.4733968909181,22247.0874405205
"2027/2028",2028,123,123,100,678,584.5,40.9992213700393,22146.0138749769
"2028/2029",2029,123,123,100,763,939,56.747202920119,18951.8114852039
"2029/2030",2030,123,123,100,633,470,35.0582258176617,23044.7748835012
"2030/2031",2031,123,123,100,744,900,53.4437721429933,19501.2796655316
"2031/2032",2032,123,123,100,581,747.5,49.6925106773749,21023.0936291274
"2032/2033",2033,123,123,100,816,1009.5,55.7880518781626,18380.9134383667
"2033/2034",2034,123,123,100,730,708.5,45.740164924031,20961.0374039528
"2034/2035",2035,123,123,100,668,618.5,39.6275210841302,22532.1614901349
"2035/2036",2036,123,123,100,620,898.5,55.1987697359607,19969.5500855851
"2036/2037",2037,123,123,100,735,690,42.8048058519109,21155.0214263625
"2037/2038",2038,123,123,100,824,802.5,48.3325723275848,19845.4564576214
"2038/2039",2039,123,123,100,733,647.5,42.7393261755115,21719.0394929796
"2039/2040",2040,123,123,100,710,679,42.5134358590858,21518.2301372145
"2040/2041",2041,123,123,100,741,658,45.9035621373487,21633.0126979477
"2041/2042",2042,123,123,100,766,776.5,45.4710114932432,20655.8018077761
"2042/2043",2043,123,123,100,722,705,45.3207025123397,21348.4045395656
"2043/2044",2044,123,123,100,705,780,47.3410326757876,20754.1042662417
"2044/2045",2045,123,123,100,597,709.5,44.6604154570864,21831.2748358673
"2045/2046",2046,123,123,100,561,689.5,47.4559588691645,22177.1387746865
"2046/2047",2047,123,123,100,620,571.5,37.3169346540112,22613.4248680603
"2047/2048",2048,123,123,100,647,665.5,45.4245601659304,21381.8618654152
"2048/2049",2049,123,123,100,814,876,51.3127251333867,19339.6851335689
"2049/2050",2050,123,123,100,769,703.5,47.0762630586332,20515.0839538518
"2050/2051",2051,123,123,100,818,883,52.0686171955763,19432.8042523405
"2051/2052",2052,123,123,100,818,928.5,53.9543381410595,19083.0672418205
"2052/2053",2053,123,123,100,797,858,49.0300056013166,19677.252080325
"2053/2054",2054,123,123,100,770,864.5,52.1393024788022,19948.2293830691
"2054/2055",2055,123,123,100,788,739.5,45.6714042668432,20671.1073204018
"2055/2056",2056,123,123,100,836,808,46.254354369496,19704.2687076991
"2056/2057",2057,123,123,100,858,1027.5,57.1849939311701,18685.5017402647
"2057/2058",2058,123,123,100,833,717,45.7538320587346,20507.7870079791
"2058/2059",2059,123,123,100,730,704.5,43.1388710298716,21122.9935786994
"2059/2060",2060,123,123,100,780,649.5,44.0443847121087,21208.7445569308
"2060/2061",2061,123,123,100,714,736.5,48.1326310711001,20840.6374526741
"2061/2062",2062,123,123,100,798,940,57.7893478919914,18969.4534530081
"2062/2063",2063,123,123,100,707,745.5,48.3339306989806,20777.0036379658
"2063/2064",2064,123,123,100,807,860.5,56.0480574505859,19442.6615593433
"2064/2065",2065,123,123,100,696,631,39.300580189321,22277.2868599547
"2065/2066",2066,123,123,100,779,637,39.5164794494481,21390.0884531736
"2066/2067",2067,123,123,100,738,776.5,49.0355355164484,20261.8637473304
"2067/2068",2068,123,123,100,691,699.5,43.8640044925678,21529.7600895371
"2068/2069",2069,123,123,100,638,411,36.7477499175102,23760.8497265484
"2069/2070",2070,123,123,100,698,647,43.5668024638949,21866.288181345
"2070/2071",2071,123,123,100,871,909.5,49.7367683910693,18983.1015704209
"2071/2072",2072,123,123,100,789,823.5,51.6293351712634,19899.9948572796
"2072/2073",2073,123,123,100,811,740,43.705738711797,20097.7979134116
"2073/2074",2074,123,123,100,913,1012,57.7235277314976,17773.3650734061
"2074/2075",2075,123,123,100,827,1014,59.8234546736708,18164.2785852272
"2075/2076",2076,123,123,100,721,764,50.4980928444129,20610.5177484797
"2076/2077",2077,123,123,100,715,696.5,44.1748941331571,21257.69261856
"2077/2078",2078,123,123,100,764,844.5,49.2604540095081,19791.5806035521
"2078/2079",2079,123,123,100,804,848,45.9306770392568,20046.4550286504
"2079/2080",2080,123,123,100,742,680.5,46.0158210737163,20851.5955634173
"2080/2081",2081,123,123,100,780,877.5,52.1950864781629,19107.8189991629
"2081/2082",2082,123,123,100,809,817,52.0042309697019,19605.9788600989
"2082/2083",2083,123,123,100,705,840.5,46.2679096718775,20233.4179740269
"2083/2084",2084,123,123,100,772,706.5,45.0832291249426,20978.9692801926
"2084/2085",2085,123,123,100,819,766.5,43.2650053707403,20578.1678958619
"2085/2086",2086,123,123,100,587,621.5,43.5259633881287,22102.9276742283
"2086/2087",2087,123,123,100,889,746,46.8078646109843,19940.8497619862
"2087/2088",2088,123,123,100,721,837.5,51.8553100452746,20069.3427025927
