"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,720,837,49.0732785587125,20038.1558847804
"2000/2001",2001,123,123,100,662,764,50.5463864255228,20889.9035313965
"2001/2002",2002,123,123,100,669,729.5,48.7801567827213,20781.9066033952
"2002/2003",2003,123,123,100,757,877.5,52.3108081381914,19709.1860218168
"2003/2004",2004,123,123,100,747,830,50.7951387432715,20195.2026822813
"2004/2005",2005,123,123,100,715,783,44.9509063712814,21048.1031247386
"2005/2006",2006,123,123,100,668,796.5,50.1931477180894,20487.6043589227
"2006/2007",2007,123,123,100,779,812,50.8648919833615,20040.9861140259
"2007/2008",2008,123,123,100,665,610,36.3356689554139,22293.8676955053
"2008/2009",2009,123,123,100,723,759,48.5193105865665,20483.8379005197
"2009/2010",2010,123,123,100,787,975,56.1838957097551,18793.5010685594
"2010/2011",2011,123,123,100,596,770,48.2734655740832,21225.5219348921
"2011/2012",2012,123,123,100,721,817.5,52.4158054205619,20127.5961508388
"2012/2013",2013,123,123,100,773,936.5,56.5350322901472,18970.3029818195
"2013/2014",2014,123,123,100,703,715,46.6455130552503,21195.1765002285
"2014/2015",2015,123,123,100,757,716.5,44.9943663160584,21298.2202335489
"2015/2016",2016,123,123,100,671,703.5,42.0259353988724,21305.7973496558
"2016/2017",2017,123,123,100,589,515,36.2821170478979,22934.5739598421
"2017/2018",2018,123,123,100,599,671,48.1695373647779,21971.6509694017
"2018/2019",2019,123,123,100,788,806.5,51.7985084959748,19808.2285304659
"2019/2020",2020,123,123,100,747,769,45.845454425832,20690.0409731993
"2020/2021",2021,123,123,100,757,860,46.817900033044,20189.5053899046
"2021/2022",2022,123,123,100,642,720.5,39.4989275104747,21406.4957610306
"2022/2023",2023,123,123,100,556,716.5,48.6895749546106,21525.9040997298
"2023/2024",2024,123,123,100,837,743.5,45.7227847743925,20653.5475824093
"2024/2025",2025,123,123,100,671,756,47.9040163565619,20948.2461269354
"2025/2026",2026,123,123,100,737,769.5,46.8988935489126,20816.2904327605
"2026/2027",2027,123,123,100,724,618,41.9608238980934,22187.7475944646
"2027/2028",2028,123,123,100,673,616,43.7088790175846,22060.0796538526
"2028/2029",2029,123,123,100,756,954,55.4618129695889,18873.7908606133
"2029/2030",2030,123,123,100,631,506.5,38.9543845054473,22964.6614858001
"2030/2031",2031,123,123,100,720,918,56.5387573582771,19470.3748310902
"2031/2032",2032,123,123,100,592,770,49.2254202678523,20952.3301813165
"2032/2033",2033,123,123,100,811,1028,55.8577679512498,18389.1969765574
"2033/2034",2034,123,123,100,719,754,46.6670693441799,20865.9656869271
"2034/2035",2035,123,123,100,648,645.5,41.7016924310838,22458.1934479005
"2035/2036",2036,123,123,100,610,937.5,58.1512896916618,19831.1672740877
"2036/2037",2037,123,123,100,722,707,43.0525273970316,21119.2776901675
"2037/2038",2038,123,123,100,814,846.5,50.5303933675191,19705.7934129555
"2038/2039",2039,123,123,100,716,672,42.5177243965636,21753.4476567283
"2039/2040",2040,123,123,100,687,710,45.0797429772933,21444.0854968345
"2040/2041",2041,123,123,100,718,698.5,47.2541947967934,21467.0595164183
"2041/2042",2042,123,123,100,740,799,46.7794523034213,20608.5008318149
"2042/2043",2043,123,123,100,702,738,46.3094378603923,21159.7991772178
"2043/2044",2044,123,123,100,692,793.5,47.2557168298122,20656.4969572513
"2044/2045",2045,123,123,100,561,739.5,45.5536916499254,21725.0848622089
"2045/2046",2046,123,123,100,549,690.5,44.4298949199497,22188.0764124021
"2046/2047",2047,123,123,100,612,591.5,39.1658740402377,22576.5401590476
"2047/2048",2048,123,123,100,621,695,43.9510761018091,21239.5266022356
"2048/2049",2049,123,123,100,820,924.5,51.3366594376521,19132.2662252113
