"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1051,1845,86.5969772886028,10169.7419738429
"2000/2001",2001,123,123,100,890,1771,85.7608992670976,11082.251143268
"2001/2002",2002,123,123,100,935,1798.5,87.6062914478653,10441.2760485022
"2002/2003",2003,123,123,100,1075,1855.5,86.4022962193479,9915.98135717254
"2003/2004",2004,123,123,100,1071,1844.5,85.2621852133657,10075.3921934002
"2004/2005",2005,123,123,100,1024,1833.5,87.7864526138053,10686.1748772456
"2005/2006",2006,123,123,100,946,1761.5,84.0027991603822,10853.9890135062
"2006/2007",2007,123,123,100,1085,1840.5,86.0228498609652,10191.3578375127
"2007/2008",2008,123,123,100,869,1601.5,80.2742347650301,12620.6242915291
"2008/2009",2009,123,123,100,1036,1710.5,85.2852762754808,10799.1016454169
"2009/2010",2010,123,123,100,1156,2015.5,90.3569643928456,8811.59768382297
"2010/2011",2011,123,123,100,842,1824.5,88.4832730152798,10861.4721395025
"2011/2012",2012,123,123,100,954,1804,87.5396506682177,10389.3692721066
"2012/2013",2013,123,123,100,1119,1958.5,90.9751305077352,8782.68731819326
"2013/2014",2014,123,123,100,979,1762.5,85.1780293376819,10866.9296458353
"2014/2015",2015,123,123,100,1024,1775,87.4576017890345,10751.6198733565
"2015/2016",2016,123,123,100,934,1801,88.7135426104987,10878.0441278748
"2016/2017",2017,123,123,100,768,1576,80.3088239147205,13115.3418139343
"2017/2018",2018,123,123,100,828,1719,82.1702505654457,11759.6945367246
"2018/2019",2019,123,123,100,1119,1785,85.2820023752233,9736.10223917873
"2019/2020",2020,123,123,100,1015,1854,88.6950868067215,9844.32721545896
"2020/2021",2021,123,123,100,1037,1860.5,86.0436565890568,10453.28039122
"2021/2022",2022,123,123,100,826,1748.5,85.5023768682736,11658.1314479902
"2022/2023",2023,123,123,100,804,1729,86.2043575522453,11624.9520905917
"2023/2024",2024,123,123,100,1127,1800,86.8967411425119,9879.50367820193
"2024/2025",2025,123,123,100,891,1627.5,81.0960555734478,12196.8706063144
"2025/2026",2026,123,123,100,1002,1758.5,81.6588465465884,11033.2677522649
"2026/2027",2027,123,123,100,994,1810,85.9119397615168,10975.5838679981
"2027/2028",2028,123,123,100,870,1616,80.4008371213295,12405.7764963347
"2028/2029",2029,123,123,100,1097,1973.5,88.0099950913727,9163.44987525255
"2029/2030",2030,123,123,100,856,1639.5,85.7228022562031,12027.1182665401
"2030/2031",2031,123,123,100,1062,1884,87.9248253562509,9915.46562326769
"2031/2032",2032,123,123,100,816,1828,88.9082570310447,10818.6078700677
"2032/2033",2033,123,123,100,1186,2030.5,91.0174037644674,8528.93495881557
"2033/2034",2034,123,123,100,1027,1777,84.8895302534629,10551.6554284072
"2034/2035",2035,123,123,100,871,1747.5,85.0297859534294,11984.4505613097
"2035/2036",2036,123,123,100,887,1901.5,91.3086383440886,10637.3552165451
"2036/2037",2037,123,123,100,987,1661,80.6488454020682,11911.59626617
"2037/2038",2038,123,123,100,1139,1889,89.2648075938114,9289.38924141554
"2038/2039",2039,123,123,100,959,1762.5,81.4009305837835,11523.1268272744
"2039/2040",2040,123,123,100,956,1781.5,86.6779432768226,10871.4127644948
"2040/2041",2041,123,123,100,1020,1821,84.7396927396258,10938.7658796366
"2041/2042",2042,123,123,100,1063,1893.5,86.6781666530469,10126.6006977041
"2042/2043",2043,123,123,100,982,1807.5,87.2110281248597,10793.0702758958
"2043/2044",2044,123,123,100,961,1829,86.4699215873607,10665.1900928998
"2044/2045",2045,123,123,100,799,1776.5,86.9149804870731,11773.2539851405
"2045/2046",2046,123,123,100,760,1641.5,84.9067550120699,12838.4052482028
"2046/2047",2047,123,123,100,852,1705,84.0068078094018,12050.2965530832
"2047/2048",2048,123,123,100,930,1767,89.3079871642403,10600.1305162068
"2048/2049",2049,123,123,100,1127,1837,85.8325034634145,9823.88486002386
"2049/2050",2050,123,123,100,1007,1676.5,83.967997907278,10773.77548292
"2050/2051",2051,123,123,100,1099,1866.5,85.203489792134,9970.36099030497
"2051/2052",2052,123,123,100,1182,2016.5,89.5670886672315,8742.34794690274
"2052/2053",2053,123,123,100,1112,1870,89.2093724166116,9235.12522469787
"2053/2054",2054,123,123,100,1070,1864,85.7028866325745,10314.4040272073
"2054/2055",2055,123,123,100,1089,1869,89.7865923160316,9696.9970158441
"2055/2056",2056,123,123,100,1131,1890,88.7486756627113,8840.5347045199
"2056/2057",2057,123,123,100,1223,2027.5,86.3348986848869,9070.03626243211
"2057/2058",2058,123,123,100,1148,1861,86.2147490288535,9225.98465575185
"2058/2059",2059,123,123,100,981,1807,85.0196543181683,10749.7926758607
"2059/2060",2060,123,123,100,1081,1768,86.8609297921303,10158.4504086315
"2060/2061",2061,123,123,100,991,1809,88.0521675302189,10262.4843915775
"2061/2062",2062,123,123,100,1183,1947,89.6276395162622,8954.07997201663
"2062/2063",2063,123,123,100,1029,1843.5,85.4643828488042,10628.0342647377
"2063/2064",2064,123,123,100,1145,1879,89.1532038512032,9105.53203249956
