"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,935,1742,83.633766454339,11561.4245094202
"2000/2001",2001,123,123,100,823,1626,79.9554240497172,12531.5528378335
"2001/2002",2002,123,123,100,870,1651,83.0598654204218,11970.5719084619
"2002/2003",2003,123,123,100,993,1729.5,82.9393598700798,11331.2951057162
"2003/2004",2004,123,123,100,986,1718,82.8464667890008,11546.9332800868
"2004/2005",2005,123,123,100,899,1717.5,83.4550776007345,12039.6363202833
"2005/2006",2006,123,123,100,874,1607,79.6427197918272,12322.9299575975
"2006/2007",2007,123,123,100,1007,1682.5,80.851420881503,11759.2892789342
"2007/2008",2008,123,123,100,798,1445.5,75.3533251575172,14204.5789203262
"2008/2009",2009,123,123,100,970,1581.5,78.6844186054755,12256.1196500161
"2009/2010",2010,123,123,100,1053,1883.5,86.6580136598127,10202.0934645643
"2010/2011",2011,123,123,100,749,1714.5,86.2977926985827,12209.8414832922
"2011/2012",2012,123,123,100,885,1671.5,84.0540660762051,11744.8878658746
"2012/2013",2013,123,123,100,1029,1833,86.1550738525818,10132.1635582567
"2013/2014",2014,123,123,100,878,1673.5,81.4548925885294,12212.3171107713
"2014/2015",2015,123,123,100,929,1641.5,79.5050110143623,12213.2149607951
"2015/2016",2016,123,123,100,838,1684,83.3218207830391,12287.4650287391
"2016/2017",2017,123,123,100,681,1446,76.9614023228769,14574.1384705605
"2017/2018",2018,123,123,100,747,1604.5,79.6862329729802,13291.4108278782
"2018/2019",2019,123,123,100,1054,1668.5,81.490989087707,11005.4980696938
"2019/2020",2020,123,123,100,905,1729.5,85.0838990119487,11272.4395064693
"2020/2021",2021,123,123,100,968,1722,80.0260602050485,11949.1418037307
"2021/2022",2022,123,123,100,723,1627.5,81.0649516185781,13019.0490065741
"2022/2023",2023,123,123,100,695,1603,82.6381745664662,13092.9410520676
"2023/2024",2024,123,123,100,1053,1711,82.6857846774301,11218.4732056058
"2024/2025",2025,123,123,100,835,1485.5,77.6869137319463,13731.9508559525
"2025/2026",2026,123,123,100,915,1595,82.1154931776118,12562.1202045369
"2026/2027",2027,123,123,100,877,1684,83.4365335561224,12349.2968115569
"2027/2028",2028,123,123,100,831,1504.5,74.6906604658775,13879.2935859715
"2028/2029",2029,123,123,100,992,1828.5,86.0489308313245,10606.5634310367
"2029/2030",2030,123,123,100,782,1500.5,82.8271435357874,13543.1356431637
"2030/2031",2031,123,123,100,948,1764,84.5770170632923,11371.0998989339
"2031/2032",2032,123,123,100,740,1693.5,84.7508616744681,12378.5414239122
"2032/2033",2033,123,123,100,1101,1906,87.9706567270778,9811.55248760153
"2033/2034",2034,123,123,100,918,1654,81.3565709886389,11981.0842289967
"2034/2035",2035,123,123,100,797,1596.5,78.5029948252732,13581.285785662
"2035/2036",2036,123,123,100,800,1784.5,86.4121840448306,12028.5842218096
"2036/2037",2037,123,123,100,911,1474.5,75.1649296378419,13598.1475684242
"2037/2038",2038,123,123,100,1022,1822,84.9463224528808,10425.5571718407
"2038/2039",2039,123,123,100,869,1616,81.679289194205,12974.4939902546
"2039/2040",2040,123,123,100,879,1692.5,81.6229043032145,12171.6056254664
"2040/2041",2041,123,123,100,943,1675,79.4597046250165,12428.7199392365
"2041/2042",2042,123,123,100,960,1767,85.9937564927395,11563.5820055692
"2042/2043",2043,123,123,100,921,1658,80.6894691403577,12390.9193148231
"2043/2044",2044,123,123,100,888,1699,83.4292974899781,12034.8506253371
"2044/2045",2045,123,123,100,714,1635,83.0580945074498,13269.6875118674
"2045/2046",2046,123,123,100,677,1490.5,77.0573092545792,14448.2132430007
"2046/2047",2047,123,123,100,803,1543,78.4268235074824,13690.6808116748
"2047/2048",2048,123,123,100,821,1647,82.6232919541308,12027.533977502
"2048/2049",2049,123,123,100,1071,1723.5,83.1019645248962,11182.9316386315
"2049/2050",2050,123,123,100,899,1522.5,80.6648354728413,12315.9561611111
"2050/2051",2051,123,123,100,1029,1755,83.231110983962,11309.6416867496
"2051/2052",2052,123,123,100,1098,1902.5,88.7739603270893,10035.9034427465
"2052/2053",2053,123,123,100,1039,1799.5,87.0366979563105,10479.5131936553
"2053/2054",2054,123,123,100,966,1766,83.5607952748296,11589.4840760902
"2054/2055",2055,123,123,100,987,1774.5,86.238467963115,11014.7473163409
"2055/2056",2056,123,123,100,1042,1783,85.870597476086,10187.4210018488
"2056/2057",2057,123,123,100,1135,1883,82.8144958927714,10450.570533324
"2057/2058",2058,123,123,100,1061,1805,86.8955477347472,10378.9978220221
"2058/2059",2059,123,123,100,934,1663,80.3333810298436,12270.4489676729
"2059/2060",2060,123,123,100,977,1653,84.8884184785065,11636.4810981331
"2060/2061",2061,123,123,100,893,1670,83.501778539322,11737.1990376348
"2061/2062",2062,123,123,100,1084,1862.5,86.8228281541024,10204.6413608911
"2062/2063",2063,123,123,100,904,1693.5,80.9201612862071,12135.0131518841
"2063/2064",2064,123,123,100,1009,1755,86.496405949063,10441.4804199608
"2064/2065",2065,123,123,100,848,1702,84.0147822039198,12547.0011999952
"2065/2066",2066,123,123,100,955,1613.5,79.7269066869194,12512.9114797805
"2066/2067",2067,123,123,100,930,1837.5,87.4847724946285,10448.0293947179
"2067/2068",2068,123,123,100,874,1625.5,79.9155402681718,12769.9933129009
"2068/2069",2069,123,123,100,760,1462,78.5802709465788,14208.561440547
"2069/2070",2070,123,123,100,886,1635.5,81.1220386038713,12605.801910894
"2070/2071",2071,123,123,100,1121,1886,89.8486939970808,9652.8019882692
"2071/2072",2072,123,123,100,938,1768.5,88.1064583175357,10749.1585574672
"2072/2073",2073,123,123,100,1020,1638,82.7738449813532,11292.2682650853
"2073/2074",2074,123,123,100,1230,2000.5,90.7801442647105,8428.79034763854
"2074/2075",2075,123,123,100,1056,1874,87.5225391080621,10106.4100350458
"2075/2076",2076,123,123,100,934,1679.5,82.1483578520092,12063.167024211
"2076/2077",2077,123,123,100,884,1545,76.8892676641935,13346.1329454593
"2077/2078",2078,123,123,100,982,1828.5,87.9134590613685,10420.5125322258
"2078/2079",2079,123,123,100,961,1784,86.7683595739545,11123.7830021512
"2079/2080",2080,123,123,100,921,1608,80.8645237616784,12444.292693859
"2080/2081",2081,123,123,100,1058,1856,88.9858943104118,9676.23954539001
"2081/2082",2082,123,123,100,1122,1762,82.2226376824474,10270.7522627851
"2082/2083",2083,123,123,100,898,1777,85.0704214494453,11454.0844932627
"2083/2084",2084,123,123,100,961,1671.5,80.1102086677129,12431.9197595324
"2084/2085",2085,123,123,100,1020,1615.5,76.3153473500315,12473.629883552
"2085/2086",2086,123,123,100,688,1529,79.1121132977423,13845.3884360539
"2086/2087",2087,123,123,100,1128,1694,83.3055034352255,10432.0855452819
"2087/2088",2088,123,123,100,913,1697,81.2370846543254,11726.4249630887
"2088/2089",2089,123,123,100,1014,1839.5,84.2660922347186,10550.0307782162
"2089/2090",2090,123,123,100,930,1722,81.3632990971764,11804.9610781614
"2090/2091",2091,123,123,100,916,1904.5,86.4716509965074,10603.9416511003
"2091/2092",2092,123,123,100,933,1674.5,83.0570368856042,11465.1146541825
"2092/2093",2093,123,123,100,653,1475,77.5215244497358,14825.47698378
"2093/2094",2094,123,123,100,713,1670.5,80.8726471409245,13149.349423374
"2094/2095",2095,123,123,100,1071,1680.5,80.5791911331071,11633.5664550606
"2095/2096",2096,123,123,100,1051,1978.5,89.2488141604772,9807.65520905424
"2096/2097",2097,123,123,100,741,1653.5,84.0800349943474,12425.8613936203
"2097/2098",2098,123,123,100,819,1755,85.4256895588405,11810.5585920978
"2098/2099",2099,123,123,100,1015,1773,87.8455359217423,10490.2110324726
