"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,985,1806,86.8913316192063,10866.2352617614
"2000/2001",2001,123,123,100,823,1725.5,83.9797554312328,11769.106169172
"2001/2002",2002,123,123,100,877,1770,85.5265684610215,11085.6864808903
"2002/2003",2003,123,123,100,1011,1804.5,84.4936074606393,10579.3505958846
"2003/2004",2004,123,123,100,1009,1824,84.6176489043331,10663.1997599295
"2004/2005",2005,123,123,100,929,1778,84.9931787325899,11466.913389831
"2005/2006",2006,123,123,100,881,1733.5,82.8407061202995,11499.2313712498
"2006/2007",2007,123,123,100,1033,1801,86.1847097828518,10819.4057062194
"2007/2008",2008,123,123,100,808,1561,78.10509736314,13282.5623692969
"2008/2009",2009,123,123,100,992,1665,82.7268755066752,11475.4221794318
"2009/2010",2010,123,123,100,1085,1968,90.7659550399515,9447.63688774221
"2010/2011",2011,123,123,100,768,1762,88.3620595838781,11660.9755713994
"2011/2012",2012,123,123,100,922,1777.5,88.1234195281645,10963.6139864767
"2012/2013",2013,123,123,100,1036,1902.5,89.8532409494976,9413.57829587744
"2013/2014",2014,123,123,100,919,1722.5,86.5702899055373,11582.5069127578
"2014/2015",2015,123,123,100,943,1725.5,83.6044521798699,11468.4641206968
"2015/2016",2016,123,123,100,885,1773.5,86.4044460856639,11524.8532719782
"2016/2017",2017,123,123,100,711,1512.5,78.3104127233687,13916.5018945022
"2017/2018",2018,123,123,100,785,1675.5,81.179124783112,12513.6538900263
"2018/2019",2019,123,123,100,1075,1742.5,83.1957310615921,10380.3946998068
"2019/2020",2020,123,123,100,982,1823,88.1124112163502,10496.2204074427
"2020/2021",2021,123,123,100,991,1816.5,84.1437567857274,11120.2678454367
"2021/2022",2022,123,123,100,768,1675.5,85.7084207147668,12389.3040557415
"2022/2023",2023,123,123,100,736,1657,81.7524311797397,12441.0774023703
"2023/2024",2024,123,123,100,1080,1778,86.3560640898727,10460.7622993269
"2024/2025",2025,123,123,100,850,1597,79.2479407334858,12848.3459604648
"2025/2026",2026,123,123,100,939,1691,82.9925664868829,11769.396084592
"2026/2027",2027,123,123,100,936,1756,83.5296751252981,11701.5866631186
"2027/2028",2028,123,123,100,811,1591,80.2782940179241,13060.8330227239
"2028/2029",2029,123,123,100,1023,1927,87.6217977366796,9813.65874370164
"2029/2030",2030,123,123,100,786,1583.5,82.314342041489,12759.8200865227
"2030/2031",2031,123,123,100,973,1850,88.2723853508805,10555.491390036
"2031/2032",2032,123,123,100,724,1758,86.5478354320885,11595.8258786378
"2032/2033",2033,123,123,100,1091,2000.5,88.8668753321708,9100.04497240018
"2033/2034",2034,123,123,100,979,1743,84.502480075188,11220.1592262429
"2034/2035",2035,123,123,100,794,1703.5,83.38333060281,12703.5078941802
"2035/2036",2036,123,123,100,833,1824.5,87.3045007678147,11372.1643339284
"2036/2037",2037,123,123,100,921,1615.5,81.3147462645575,12601.2307581776
"2037/2038",2038,123,123,100,1071,1846.5,86.9951090081131,9945.87749454519
"2038/2039",2039,123,123,100,894,1707,82.4236880879134,12203.7318911771
"2039/2040",2040,123,123,100,922,1721,84.9860222952057,11631.3315737518
"2040/2041",2041,123,123,100,944,1761,83.1191510051503,11687.3907304248
"2041/2042",2042,123,123,100,971,1854,86.8115328772246,10778.5731329229
"2042/2043",2043,123,123,100,923,1778.5,84.5473555519684,11435.0357809351
"2043/2044",2044,123,123,100,904,1799.5,84.3909847362247,11317.3953750376
"2044/2045",2045,123,123,100,721,1719.5,86.7541595592966,12542.5600851513
"2045/2046",2046,123,123,100,666,1597,83.3268529257275,13561.1516666082
"2046/2047",2047,123,123,100,784,1648.5,84.4105858119492,12819.2005913234
"2047/2048",2048,123,123,100,886,1746.5,85.4313621318661,11239.733639787
"2048/2049",2049,123,123,100,1078,1825,85.6891493339172,10403.0870052068
"2049/2050",2050,123,123,100,948,1620.5,83.3635570912074,11544.7108076578
"2050/2051",2051,123,123,100,1058,1841.5,84.0838214782807,10569.2613620688
