"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,630,622,46.7058191040239,21763.1820414938
"2000/2001",2001,123,123,100,583,519,45.7252690577062,23160.1289965569
"2001/2002",2002,123,123,100,741,853.5,51.6939950981969,19338.5453290585
"2002/2003",2003,123,123,100,654,681,49.9617060376993,21683.7638514056
"2003/2004",2004,123,123,100,592,492.5,43.4187844604912,22875.6340068949
"2004/2005",2005,123,123,100,672,622,44.4620736548481,21117.6490274669
"2005/2006",2006,123,123,100,584,432.5,46.5678238690045,22967.2484829855
"2006/2007",2007,123,123,100,666,334,43.6666958896283,24077.1810842012
"2007/2008",2008,123,123,100,729,721.5,53.0079877015959,19680.7812392134
"2008/2009",2009,123,123,100,696,830.5,50.3640409463636,20200.5788388451
"2009/2010",2010,123,123,100,582,621,45.6853576507768,22466.9932838634
"2010/2011",2011,123,123,100,604,471,44.9247492415053,22712.3788359365
"2011/2012",2012,123,123,100,695,746,47.3965576781684,20987.4610711038
"2012/2013",2013,123,123,100,606,629.5,47.9513058235221,21981.7378951102
"2013/2014",2014,123,123,100,635,715.5,50.6195603624793,20941.6553845699
"2014/2015",2015,123,123,100,767,803,54.7017209925787,19165.245424272
"2015/2016",2016,123,123,100,751,830,52.8424418921661,19140.7085899697
"2016/2017",2017,123,123,100,709,679.5,46.2333455156131,20293.9779090178
"2017/2018",2018,123,123,100,547,443.5,41.3519861756554,23962.8035268087
"2018/2019",2019,123,123,100,726,783,54.5667407018973,19612.2316955684
"2019/2020",2020,123,123,100,724,785,56.1615558166754,19581.5106503018
"2020/2021",2021,123,123,100,584,671.5,51.2494679680315,21463.2068003383
"2021/2022",2022,123,123,100,755,727.5,52.757461475823,20312.4266269975
"2022/2023",2023,123,123,100,480,318,38.9296361422159,25237.7015564595
"2023/2024",2024,123,123,100,804,979,62.9226711139977,17324.7006577631
"2024/2025",2025,123,123,100,584,460.5,46.1375674149542,22688.8955453499
"2025/2026",2026,123,123,100,658,677.5,45.8827231733037,21447.3288709424
"2026/2027",2027,123,123,100,826,967.5,57.9714790965256,18291.8429897311
"2027/2028",2028,123,123,100,708,554,53.9665216475437,20376.6475073989
"2028/2029",2029,123,123,100,592,491.5,43.0340999758073,23360.1003370378
"2029/2030",2030,123,123,100,820,735.5,53.4543868021663,19347.5870990339
"2030/2031",2031,123,123,100,571,684,48.5494371596053,21434.815816646
"2031/2032",2032,123,123,100,569,229.5,39.2208999674469,24874.2582449685
"2032/2033",2033,123,123,100,605,781,55.1199256618438,20750.8336665174
"2033/2034",2034,123,123,100,754,806,57.2711434570047,19661.6880305228
"2034/2035",2035,123,123,100,624,477,46.0838475756805,22670.2439425909
"2035/2036",2036,123,123,100,410,157.5,33.7663415413635,26547.2449216847
"2036/2037",2037,123,123,100,734,801.5,56.4551997737799,19553.3350079875
"2037/2038",2038,123,123,100,658,706,51.5038051783804,20024.8255865546
"2038/2039",2039,123,123,100,788,845,58.661279005119,18994.3422248936
"2039/2040",2040,123,123,100,675,736.5,50.3165951198562,20331.0506492793
"2040/2041",2041,123,123,100,621,563,50.7845462770138,22060.6196491546
"2041/2042",2042,123,123,100,648,680,51.4984007156922,20787.8123006132
"2042/2043",2043,123,123,100,689,593.5,52.2954775651469,21485.243836984
"2043/2044",2044,123,123,100,639,585.5,48.9728023240782,22420.1735170409
"2044/2045",2045,123,123,100,607,473.5,43.2259168084047,23102.4627843956
"2045/2046",2046,123,123,100,566,275.5,38.4648791843647,25007.510974247
"2046/2047",2047,123,123,100,697,551.5,46.9252884734647,21121.437767392
"2047/2048",2048,123,123,100,756,704.5,49.9667015656387,20710.3429288557
"2048/2049",2049,123,123,100,505,749.5,51.5456671145948,21505.582254135
"2049/2050",2050,123,123,100,594,515,46.3301404348672,22341.1382205058
"2050/2051",2051,123,123,100,598,613.5,48.9930414638798,21350.6944350312
"2051/2052",2052,123,123,100,586,693,52.5926533323845,21342.1273350529
"2052/2053",2053,123,123,100,691,806.5,55.4138224172716,19620.4284478389
"2053/2054",2054,123,123,100,573,517.5,49.3078407704775,22502.6848309282
"2054/2055",2055,123,123,100,741,834.5,55.3927704925918,19271.7877417365
"2055/2056",2056,123,123,100,669,759,55.2024355444205,19878.2838055342
"2056/2057",2057,123,123,100,449,230,41.0983874936105,25586.7673256285
"2057/2058",2058,123,123,100,932,1092.5,64.5040776417823,16191.1592871519
"2058/2059",2059,123,123,100,702,741.5,53.7874559926172,20298.4739813497
"2059/2060",2060,123,123,100,739,893,53.0538716329447,19103.4232680136
"2060/2061",2061,123,123,100,641,546.5,46.1276518183099,22510.0126470262
"2061/2062",2062,123,123,100,503,331,45.2651028788982,24094.5493662544
"2062/2063",2063,123,123,100,693,567.5,50.3805771234447,20465.1561750956
"2063/2064",2064,123,123,100,569,793,50.3814461846596,20353.8629905041
"2064/2065",2065,123,123,100,774,678.5,45.9717695863988,20777.8549661748
"2065/2066",2066,123,123,100,776,841,57.7576979416926,19076.2628091769
"2066/2067",2067,123,123,100,672,636.5,52.6983712607316,21238.3583790809
"2067/2068",2068,123,123,100,694,606,49.2777039004968,21735.7419001907
"2068/2069",2069,123,123,100,923,872.5,53.4647643288899,18295.221714939
"2069/2070",2070,123,123,100,601,695,49.7032713547096,21606.7830302026
"2070/2071",2071,123,123,100,651,693.5,52.0530102640178,21145.3350764951
"2071/2072",2072,123,123,100,661,673.5,49.7410409974573,20788.3395436518
"2072/2073",2073,123,123,100,837,1122,65.7985008216219,16927.4907804448
"2073/2074",2074,123,123,100,637,811.5,59.1222618367019,19993.8473884724
"2074/2075",2075,123,123,100,598,422,45.3919655771288,23511.2151686009
"2075/2076",2076,123,123,100,655,798.5,52.6214217895149,20433.3027014481
"2076/2077",2077,123,123,100,588,550.5,46.4833620731579,21788.1530757537
"2077/2078",2078,123,123,100,555,724.5,52.4051130321677,21278.0349939158
"2078/2079",2079,123,123,100,630,634.5,52.9047010444274,21306.8088995572
"2079/2080",2080,123,123,100,764,678,54.3001778878679,20151.6891092006
"2080/2081",2081,123,123,100,649,768.5,53.0556403427699,20049.65341073
"2081/2082",2082,123,123,100,662,721,53.2549552734235,20733.2944288934
"2082/2083",2083,123,123,100,628,326.5,41.9123224973146,23805.3182463693
"2083/2084",2084,123,123,100,757,765.5,53.4745913433371,19352.3922902057
"2084/2085",2085,123,123,100,761,659,54.2687806752328,19989.6931740083
"2085/2086",2086,123,123,100,719,552.5,48.1154908136905,22027.8265869264
"2086/2087",2087,123,123,100,959,1103.5,63.321365338239,16058.1829428747
"2087/2088",2088,123,123,100,525,527.5,45.3957169613568,23045.3531770259
"2088/2089",2089,123,123,100,512,502,44.8217398903325,23174.9359579906
"2089/2090",2090,123,123,100,531,638,48.1010302618051,21633.668406792
"2090/2091",2091,123,123,100,377,188.5,33.7891203220252,25995.3035089597
"2091/2092",2092,123,123,100,585,572.5,47.6699955139275,21841.3067560997
"2092/2093",2093,123,123,100,547,299,38.744283584705,24836.720027728
"2093/2094",2094,123,123,100,473,421.5,39.1919906941412,24073.3369494807
"2094/2095",2095,123,123,100,722,710.5,51.5788207343303,20342.9755259026
"2095/2096",2096,123,123,100,535,665.5,47.3263837051272,21825.5240551271
"2096/2097",2097,123,123,100,667,681.5,46.2071123551041,21191.1316013262
"2097/2098",2098,123,123,100,497,485,39.1453146174044,24007.1647499073
"2098/2099",2099,123,123,100,642,666,52.905808323324,20648.6476649903
"2099/2100",2100,123,123,100,647,547,45.8688572503006,22746.619688699
