"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,636,609,47.3316594702919,21865.9327189023
"2000/2001",2001,123,123,100,586,527.5,49.0939103729461,23159.5654483764
"2001/2002",2002,123,123,100,735,841.5,52.3605673672807,19387.0519347437
"2002/2003",2003,123,123,100,632,681.5,50.7249293775962,21718.0345202789
"2003/2004",2004,123,123,100,594,497,43.5530572171503,22843.4787412641
"2004/2005",2005,123,123,100,668,616,46.008280921789,21171.70565074
"2005/2006",2006,123,123,100,574,432,47.028240848375,22937.4143836523
"2006/2007",2007,123,123,100,667,359.5,44.0282265626078,23993.0322524008
"2007/2008",2008,123,123,100,734,702.5,52.5790842150206,19758.5897152051
"2008/2009",2009,123,123,100,700,839,49.8600096616542,20220.5156673943
"2009/2010",2010,123,123,100,573,615,47.2810015972583,22478.8817815336
"2010/2011",2011,123,123,100,608,464,43.9459675298041,22786.0191809547
"2011/2012",2012,123,123,100,682,738,49.8645676869468,21086.1783456539
"2012/2013",2013,123,123,100,601,636.5,47.0236490979579,21998.1487789066
"2013/2014",2014,123,123,100,637,723,49.9946165466771,20971.6844079483
"2014/2015",2015,123,123,100,752,807.5,54.0492962611421,19191.5548229141
"2015/2016",2016,123,123,100,742,828.5,54.1319517130604,19205.1166411163
"2016/2017",2017,123,123,100,707,679.5,47.934550209329,20334.9555309487
"2017/2018",2018,123,123,100,541,457,43.1031660277731,23914.8824712129
"2018/2019",2019,123,123,100,720,779,53.7098528071147,19612.7014200464
"2019/2020",2020,123,123,100,736,760.5,56.3638936076952,19681.3115535295
"2020/2021",2021,123,123,100,586,667,52.0494473635815,21501.4907834763
"2021/2022",2022,123,123,100,751,721,53.3640816377742,20348.559491538
"2022/2023",2023,123,123,100,482,315.5,38.6223056892868,25263.253723864
"2023/2024",2024,123,123,100,825,990,64.7758296545869,17262.2496904694
"2024/2025",2025,123,123,100,595,477,49.7649843288305,22581.8328862996
"2025/2026",2026,123,123,100,649,694,46.0883413074082,21432.7226048484
"2026/2027",2027,123,123,100,817,948,58.334324417915,18410.1617773958
"2027/2028",2028,123,123,100,720,566.5,55.4952831142705,20311.7305142749
"2028/2029",2029,123,123,100,578,488,45.8768669918074,23380.444120192
"2029/2030",2030,123,123,100,829,731.5,51.799830524511,19332.020437927
"2030/2031",2031,123,123,100,556,703.5,50.5378568314004,21375.3414134877
"2031/2032",2032,123,123,100,577,235.5,39.1971558203975,24889.9469727217
"2032/2033",2033,123,123,100,597,772.5,53.261291495362,20744.8408230902
"2033/2034",2034,123,123,100,765,806,58.2976976907626,19685.0278822379
"2034/2035",2035,123,123,100,622,478,47.8981982091377,22654.6747083818
"2035/2036",2036,123,123,100,397,163.5,35.2972531125542,26572.6391571001
"2036/2037",2037,123,123,100,740,826.5,53.9606197837993,19470.6513730814
"2037/2038",2038,123,123,100,663,683.5,51.9255542375035,20162.4742184523
"2038/2039",2039,123,123,100,786,863,59.057095996382,18966.978377027
"2039/2040",2040,123,123,100,666,743,52.1011648248032,20303.1969498186
"2040/2041",2041,123,123,100,619,570,51.5566772578672,22029.2865163507
"2041/2042",2042,123,123,100,640,676.5,56.2853485124892,20797.3527431162
"2042/2043",2043,123,123,100,707,597.5,50.838113448081,21424.0952039156
"2043/2044",2044,123,123,100,630,582,50.0164948733518,22475.395266803
"2044/2045",2045,123,123,100,590,484,46.3214090263491,23120.5362689188
"2045/2046",2046,123,123,100,563,278,38.4103442109895,25019.1691725729
"2046/2047",2047,123,123,100,682,543,48.8526444912773,21089.5851151235
"2047/2048",2048,123,123,100,763,700.5,50.9106449664332,20801.941014396
"2048/2049",2049,123,123,100,502,744,53.0848067612656,21516.0780622037
"2049/2050",2050,123,123,100,606,488.5,47.6055377150633,22447.8786583981
"2050/2051",2051,123,123,100,588,610.5,48.8276923502794,21359.4411752531
"2051/2052",2052,123,123,100,581,704.5,48.9954280179818,21356.4333607601
"2052/2053",2053,123,123,100,686,798,55.6640471008232,19671.4179263758
"2053/2054",2054,123,123,100,583,499.5,46.8672205323269,22606.6519172704
"2054/2055",2055,123,123,100,740,822,54.2554663575952,19353.097017209
"2055/2056",2056,123,123,100,680,730.5,54.385709386605,19989.9963369649
