"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,550,290,39.896557584926,24990.6260609632
"2000/2001",2001,123,123,100,499,207.5,38.0167819275747,25854.4267756356
"2001/2002",2002,123,123,100,661,614.5,47.2742081709509,21687.5896399851
"2002/2003",2003,123,123,100,529,384.5,39.9054508959371,24707.3126279413
"2003/2004",2004,123,123,100,486,174.5,35.0573218061475,25896.0915608574
"2004/2005",2005,123,123,100,607,334,36.6452570706009,23983.1533414206
"2005/2006",2006,123,123,100,487,127.5,37.4935427925813,25676.2760397082
"2006/2007",2007,123,123,100,587,59.5,38.0952733066341,26824.539594235
"2007/2008",2008,123,123,100,675,520,48.8865827431924,21404.5810924153
"2008/2009",2009,123,123,100,597,546,47.3551316489171,22963.2593771599
"2009/2010",2010,123,123,100,480,258.5,35.8838926765169,25936.8557813086
"2010/2011",2011,123,123,100,549,198.5,40.0422902781221,25078.2340638684
"2011/2012",2012,123,123,100,588,418,40.7228054032165,24045.1008564746
"2012/2013",2013,123,123,100,492,292.5,35.4832559635065,25365.2467677079
"2013/2014",2014,123,123,100,527,460.5,43.6517096195596,23456.7946098347
"2014/2015",2015,123,123,100,691,635.5,48.2745575389105,21082.2202047037
"2015/2016",2016,123,123,100,674,633.5,45.60159013872,21159.6052225113
"2016/2017",2017,123,123,100,665,520,44.5721899730836,21790.2409389194
"2017/2018",2018,123,123,100,483,161.5,34.8250873005891,26581.5243570064
"2018/2019",2019,123,123,100,639,478.5,47.472607840687,22544.5542362675
"2019/2020",2020,123,123,100,670,550,49.7101653287094,21733.2741670988
"2020/2021",2021,123,123,100,497,364,39.9782647645279,24300.2830130192
"2021/2022",2022,123,123,100,694,521,45.7085128742126,22129.7107706629
"2022/2023",2023,123,123,100,435,61,31.1092924983022,27590.8053698968
"2023/2024",2024,123,123,100,719,731.5,57.6817564435703,19412.4318199796
"2024/2025",2025,123,123,100,524,191.5,37.1514196721155,25157.9585294696
"2025/2026",2026,123,123,100,577,422.5,41.1762744279245,23640.0452959202
