"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,504,229,36.7646923162729,25822.6204419403
"2000/2001",2001,123,123,100,457,117.5,36.932843570544,26815.5888010709
"2001/2002",2002,123,123,100,612,543.5,43.8895266556345,22628.7332562449
"2002/2003",2003,123,123,100,475,298.5,37.664514606824,25670.6383205003
"2003/2004",2004,123,123,100,433,68.5,34.4797783258536,27007.7915941188
"2004/2005",2005,123,123,100,563,257.5,35.9304838090384,24923.023072594
"2005/2006",2006,123,123,100,448,46,35.9693080071053,26665.593429726
"2006/2007",2007,123,123,100,526,-25,34.2973964249026,27926.1587298883
"2007/2008",2008,123,123,100,645,473.5,45.3819160815872,22198.9446698866
"2008/2009",2009,123,123,100,514,467.5,42.5990277460039,23957.43514577
"2009/2010",2010,123,123,100,433,170,34.9703930051957,26946.372718991
"2010/2011",2011,123,123,100,511,131.5,39.3902530829686,25939.9300567091
"2011/2012",2012,123,123,100,512,358,42.2433660514872,24914.1195155687
"2012/2013",2013,123,123,100,446,182,34.2895832345256,26458.3631214995
"2013/2014",2014,123,123,100,475,391.5,39.7402255905015,24353.155068754
"2014/2015",2015,123,123,100,639,595.5,49.0151910304647,21899.8992968767
"2015/2016",2016,123,123,100,629,601.5,47.4924739432713,21978.6706357752
"2016/2017",2017,123,123,100,617,437,40.4762094013282,22694.9822881015
"2017/2018",2018,123,123,100,417,48.5,32.1351080522369,27661.6878313231
"2018/2019",2019,123,123,100,583,408,44.0478084515189,23529.5282075615
"2019/2020",2020,123,123,100,617,480,46.5028210783837,22609.1441112245
"2020/2021",2021,123,123,100,453,274.5,39.4943750302818,25274.8117279415
"2021/2022",2022,123,123,100,628,473,44.7393608488194,22969.65304317
"2022/2023",2023,123,123,100,378,-38,30.0327119738565,28573.931367828
"2023/2024",2024,123,123,100,675,643.5,54.2274668780083,20314.8668810315
"2024/2025",2025,123,123,100,476,113.5,33.7765179472574,26167.3242678898
