"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,461,115.5,37.1517792082845,27084.1422405719
"2000/2001",2001,123,123,100,385,23,35.77762559707,28027.1697940864
"2001/2002",2002,123,123,100,532,456.5,43.0038959347414,23706.2168837259
"2002/2003",2003,123,123,100,383,182.5,40.0161692994677,26881.3658007706
"2003/2004",2004,123,123,100,364,0.5,33.9287261572558,28017.9427078842
"2004/2005",2005,123,123,100,526,186.5,34.9448514624855,25986.0118337834
"2005/2006",2006,123,123,100,408,-45,36.8206784896095,27844.9694137275
"2006/2007",2007,123,123,100,444,-93,35.1088538454727,28835.4577980078
"2007/2008",2008,123,123,100,587,403.5,43.1423333705352,23214.3171849286
"2008/2009",2009,123,123,100,419,383.5,43.339375473126,25103.6141849977
"2009/2010",2010,123,123,100,353,57.5,32.8688379392499,28117.5249916108
"2010/2011",2011,123,123,100,474,45.5,35.8863608706765,27151.7711160828
"2011/2012",2012,123,123,100,448,243.5,41.2031438301589,26146.2019230702
"2012/2013",2013,123,123,100,360,96,35.4996245624043,27612.5117967702
"2013/2014",2014,123,123,100,420,272,41.086176463053,25577.7741275928
"2014/2015",2015,123,123,100,560,552.5,45.7094238515938,22924.8234277067
"2015/2016",2016,123,123,100,554,509.5,44.2424173919246,23077.6196147767
"2016/2017",2017,123,123,100,550,419,43.0835708992715,23619.239172271
"2017/2018",2018,123,123,100,344,-53.5,33.3013389949253,28838.9075159696
"2018/2019",2019,123,123,100,525,336.5,39.8370085377024,24564.0851795813
"2019/2020",2020,123,123,100,570,418,48.4950244162226,23635.7731772116
"2020/2021",2021,123,123,100,373,169.5,37.0396158373118,26505.1621673214
"2021/2022",2022,123,123,100,542,416,46.8708468743322,23904.7874147231
"2022/2023",2023,123,123,100,309,-156.5,29.0081050395297,29954.2557856543
"2023/2024",2024,123,123,100,645,670.5,54.1186501769887,21054.4439082192
"2024/2025",2025,123,123,100,433,44.5,35.2600312884363,27152.5321636195
"2025/2026",2026,123,123,100,410,256,37.9691987922267,25805.6504686698
"2026/2027",2027,123,123,100,595,625,48.0445438657002,22187.3860696326
"2027/2028",2028,123,123,100,575,288,46.5731713307305,23850.5340511617
"2028/2029",2029,123,123,100,362,-83,33.7731247874474,29275.0694572851
