"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,315,-225,26.476786262981,29403.581902689
"2000/2001",2001,123,123,100,426,-221,28.4006074089491,29249.592848045
"2001/2002",2002,123,123,100,313,-243,27.2269467670982,30326.0339900767
"2002/2003",2003,123,123,100,337,-416.5,23.3121540385839,31531.775783684
"2003/2004",2004,123,123,100,289,-341.5,24.911494831162,30877.7070405064
"2004/2005",2005,123,123,100,338,-72,33.3170134520428,28136.8921095751
"2005/2006",2006,123,123,100,351,-212,31.0431000782206,28993.0124802451
"2006/2007",2007,123,123,100,208,-292.5,20.2568441780162,30509.2287680864
"2007/2008",2008,123,123,100,463,273,39.9346487106553,25418.8691276923
"2008/2009",2009,123,123,100,354,-326.5,26.6125199963008,30836.1595018766
"2009/2010",2010,123,123,100,226,-444.5,24.5977508064901,31678.6247263446
"2010/2011",2011,123,123,100,484,39.5,35.5794337665707,27328.7846369473
"2011/2012",2012,123,123,100,300,-433,29.4602719548371,30840.2314585373
"2012/2013",2013,123,123,100,279,-618,18.0457370059083,33267.5322033525
"2013/2014",2014,123,123,100,431,-128,34.6274700214281,28877.9969664707
"2014/2015",2015,123,123,100,337,-80.5,32.450972436797,28614.0523106707
"2015/2016",2016,123,123,100,398,-36.5,33.0108883166104,28079.309080448
"2016/2017",2017,123,123,100,581,323.5,43.5553222804866,25173.2739023503
"2017/2018",2018,123,123,100,540,-32,36.3169657577382,27303.8451626275
"2018/2019",2019,123,123,100,234,-577.5,19.768420664353,32617.9632170456
"2019/2020",2020,123,123,100,367,-98.5,34.705161545389,28021.5145032345
"2020/2021",2021,123,123,100,298,-243.5,26.8937141938444,30012.0049752123
"2021/2022",2022,123,123,100,461,110.5,38.0074268265024,26555.3105077292
"2022/2023",2023,123,123,100,449,72.5,33.813898524729,26859.9280362525
"2023/2024",2024,123,123,100,268,-234.5,29.963026734078,30240.4988987902
"2024/2025",2025,123,123,100,428,155.5,36.7385639179461,26307.4186627646
"2025/2026",2026,123,123,100,416,-53,34.2940996113189,27876.3759652674
"2026/2027",2027,123,123,100,311,-164,26.6721835287436,29489.1213405402
"2027/2028",2028,123,123,100,428,190,41.4781129338684,26434.6212725956
"2028/2029",2029,123,123,100,280,-435,23.3233624775665,31611.2296107952
"2029/2030",2030,123,123,100,372,211.5,39.1643668590201,26735.5030023064
"2030/2031",2031,123,123,100,412,-253,26.7914854189521,29635.0669078017
"2031/2032",2032,123,123,100,372,-15,31.2152113355519,28133.7679462405
"2032/2033",2033,123,123,100,290,-683.5,22.9198997541005,33804.1064587897
"2033/2034",2034,123,123,100,310,-185,33.8799396681536,29441.1445825119
"2034/2035",2035,123,123,100,369,87.5,36.3131913037087,26628.6706976867
"2035/2036",2036,123,123,100,368,-142.5,27.8265090039413,28722.5007960927
"2036/2037",2037,123,123,100,312,42.5,34.1836380016928,27896.3851960176
"2037/2038",2038,123,123,100,322,-475,33.4149815231078,31341.5130463238
"2038/2039",2039,123,123,100,336,69,37.0712543993632,27395.2109467238
"2039/2040",2040,123,123,100,424,-61.5,32.522583540913,28691.3546265215
"2040/2041",2041,123,123,100,280,-102,25.6053647277251,29380.2080794778
"2041/2042",2042,123,123,100,326,-277,28.1225647185663,30298.3898573974
"2042/2043",2043,123,123,100,287,0,32.5208010815531,28328.9668024676
"2043/2044",2044,123,123,100,403,-175,31.5532990185911,29206.7977964552
"2044/2045",2045,123,123,100,466,160.5,38.6933846958921,26508.4009617493
"2045/2046",2046,123,123,100,576,143.5,38.3661557112414,25344.544180654
"2046/2047",2047,123,123,100,331,230.5,36.1696213267151,26527.0811968828
"2047/2048",2048,123,123,100,427,-183,31.7287839533867,29509.2075992292
"2048/2049",2049,123,123,100,287,-446.5,24.804170149052,31491.9793489855
"2049/2050",2050,123,123,100,333,-300,27.3142398820853,29310.3023749627
"2050/2051",2051,123,123,100,341,-248,27.9598572870909,29320.7434485881
"2051/2052",2052,123,123,100,206,-565.5,21.8012394450238,32872.5346967895
"2052/2053",2053,123,123,100,425,-375,27.9468855466682,30877.9494553702
"2053/2054",2054,123,123,100,366,-168,33.5010360171514,29070.1421899609
"2054/2055",2055,123,123,100,278,-296,29.5269109887158,30969.9412408769
"2055/2056",2056,123,123,100,241,-615.5,19.8917285098137,33512.207653733
"2056/2057",2057,123,123,100,238,-407,23.5826300792348,31269.7451536115
"2057/2058",2058,123,123,100,265,-641.5,23.0328594732957,33853.3385538366
"2058/2059",2059,123,123,100,246,-177.5,24.3938837034093,29867.3070173133
"2059/2060",2060,123,123,100,292,-332.5,28.2995680364475,31126.8059647959
"2060/2061",2061,123,123,100,311,-327.5,23.7423951842045,30230.4681492941
"2061/2062",2062,123,123,100,228,-578,19.5386099037676,32397.4346441105
"2062/2063",2063,123,123,100,297,-24,34.5857509343155,28170.0535932668
"2063/2064",2064,123,123,100,262,-539,22.2857731935346,32396.8101523435
"2064/2065",2065,123,123,100,302,-15,36.4191846550202,28095.665920875
"2065/2066",2066,123,123,100,316,-94.5,32.3763990701395,28651.9225353403
"2066/2067",2067,123,123,100,242,-421.5,25.8600666733896,31488.1380642625
"2067/2068",2068,123,123,100,364,-39,33.1172089229317,27903.4829579163
"2068/2069",2069,123,123,100,418,294.5,41.8304168038817,25241.9282419113
"2069/2070",2070,123,123,100,322,-16,29.9071459901711,28405.1363331424
"2070/2071",2071,123,123,100,193,-556.5,19.1453240562405,32781.9738635784
"2071/2072",2072,123,123,100,305,-489.5,25.0126443360118,31845.2990887063
"2072/2073",2073,123,123,100,167,-554.5,20.3195199130992,33318.6065631127
"2073/2074",2074,123,123,100,148,-928,16.2317422095566,35762.3028398808
"2074/2075",2075,123,123,100,196,-508.5,17.8432078293167,31966.5788155915
"2075/2076",2076,123,123,100,326,-243,25.1912965895103,30299.6985136876
"2076/2077",2077,123,123,100,361,-70,35.2839172085778,27842.1932189725
"2077/2078",2078,123,123,100,290,-514,24.0069830440457,32381.6330947764
"2078/2079",2079,123,123,100,311,-225.5,31.650270621305,29587.230668569
"2079/2080",2080,123,123,100,254,-157,29.4788655460525,29585.9826266412
"2080/2081",2081,123,123,100,256,-653.5,23.1709028741479,33213.474383587
"2081/2082",2082,123,123,100,230,-532,20.514436400942,32545.5628633779
"2082/2083",2083,123,123,100,405,-69,30.9321773821398,28060.8684906941
"2083/2084",2084,123,123,100,268,-3.5,29.6434530723122,28696.0498039983
"2084/2085",2085,123,123,100,381,-53.5,33.1865190005451,28016.4928218704
"2085/2086",2086,123,123,100,463,177.5,38.7464751714442,26312.9273792412
"2086/2087",2087,123,123,100,135,-639,23.8512292064138,33578.7437290736
"2087/2088",2088,123,123,100,380,-225,31.1836679158996,29354.8656058125
"2088/2089",2089,123,123,100,363,-435.5,26.3077229115534,30344.7679100838
"2089/2090",2090,123,123,100,231,-239,20.0740001248528,30669.0919677522
"2090/2091",2091,123,123,100,325,-370,24.3082101867431,30820.1251575164
"2091/2092",2092,123,123,100,263,-295,26.7781244939924,30510.1356186867
"2092/2093",2093,123,123,100,666,344,42.090068975835,23666.115889078
"2093/2094",2094,123,123,100,448,123.5,35.372719828998,27364.420802841
"2094/2095",2095,123,123,100,249,-265.5,27.5030907877608,30284.7345950734
"2095/2096",2096,123,123,100,232,-544,16.8143440027011,33399.4885053691
"2096/2097",2097,123,123,100,385,-96.5,30.812443533478,28643.6273145732
"2097/2098",2098,123,123,100,451,-189.5,30.6940572593853,29356.7745650634
"2098/2099",2099,123,123,100,392,-334,27.8801893728105,30065.3790080305
"2099/2100",2100,123,123,100,366,122,33.4003708395226,27012.4554906357
