"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,329,-88,29.4692632384949,28520.2724442902
"2000/2001",2001,123,123,100,435,-109.5,31.8635134152069,28338.1186603431
"2001/2002",2002,123,123,100,330,-117.5,29.4541840517891,29257.7809485585
"2002/2003",2003,123,123,100,346,-307.5,28.5478786607831,30717.1061266228
"2003/2004",2004,123,123,100,309,-252,27.150208861206,30052.1566692836
"2004/2005",2005,123,123,100,358,26,38.7290198123006,27390.178832163
"2005/2006",2006,123,123,100,363,-113.5,33.3192895661089,28228.854688591
"2006/2007",2007,123,123,100,218,-194.5,22.7935291054617,29689.5443786132
"2007/2008",2008,123,123,100,478,388.5,44.9642393840048,24399.1044166468
"2008/2009",2009,123,123,100,368,-226.5,30.0180400099117,29982.4276557658
"2009/2010",2010,123,123,100,222,-366.5,28.5759070678613,31275.8845101662
"2010/2011",2011,123,123,100,491,175.5,36.7327762386996,26547.7887656465
"2011/2012",2012,123,123,100,307,-315,30.4484486495806,29919.6393765714
"2012/2013",2013,123,123,100,274,-499,20.5941765616539,32569.267043086
"2013/2014",2014,123,123,100,442,-15.5,36.4154631780851,27986.0505045189
"2014/2015",2015,123,123,100,344,39.5,33.6107474821049,27754.4939467232
"2015/2016",2016,123,123,100,414,90,33.2579475144655,26966.3474377911
"2016/2017",2017,123,123,100,606,457.5,47.2714382799064,24105.1365798877
"2017/2018",2018,123,123,100,538,63.5,38.9260259369082,26602.0184385048
"2018/2019",2019,123,123,100,235,-465.5,21.5150190572506,31670.2426610845
"2019/2020",2020,123,123,100,367,21.5,36.6623152341331,27327.3989235405
"2020/2021",2021,123,123,100,322,-136.5,28.847907925855,29218.6132535771
"2021/2022",2022,123,123,100,477,230,41.6691790710976,25596.5306477547
"2022/2023",2023,123,123,100,462,197.5,38.6323012948362,25770.4635207215
"2023/2024",2024,123,123,100,277,-124.5,34.3778380101325,29514.9199616713
"2024/2025",2025,123,123,100,458,261.5,41.2126678221257,25357.1079411758
"2025/2026",2026,123,123,100,426,46.5,38.9962041136042,26995.0161774112
"2026/2027",2027,123,123,100,323,-46.5,29.9313115689879,28527.1974672563
"2027/2028",2028,123,123,100,439,302.5,43.193491178253,25526.073523968
"2028/2029",2029,123,123,100,278,-361.5,25.3888853857329,31031.2535933694
"2029/2030",2030,123,123,100,380,319,40.4820706719836,25659.2117026239
"2030/2031",2031,123,123,100,405,-153,32.4818435140567,29012.0668163542
"2031/2032",2032,123,123,100,373,92,34.3880485143216,27313.1979119447
"2032/2033",2033,123,123,100,287,-585.5,24.2536823321086,33274.789751525
"2033/2034",2034,123,123,100,330,-71,35.3196357323939,28644.2257823381
"2034/2035",2035,123,123,100,373,199.5,36.8361475607485,25656.3899740828
"2035/2036",2036,123,123,100,380,-29.5,30.5745810613553,27828.528860264
"2036/2037",2037,123,123,100,328,129.5,35.5681676903373,26982.7137315273
"2037/2038",2038,123,123,100,317,-380.5,34.7943987013496,30819.862538768
"2038/2039",2039,123,123,100,345,178.5,39.5860835381252,26516.108771787
"2039/2040",2040,123,123,100,436,53,36.8813604203642,27795.5914370175
"2040/2041",2041,123,123,100,289,0.5,29.1370719505289,28469.3143862654
"2041/2042",2042,123,123,100,337,-185,30.845292304984,29745.3595055938
"2042/2043",2043,123,123,100,304,101,33.753839306378,27437.6966470368
"2043/2044",2044,123,123,100,423,-67.5,34.2089726468191,28380.126256533
"2044/2045",2045,123,123,100,478,278.5,42.8027796152339,25684.810208316
"2045/2046",2046,123,123,100,583,262.5,42.955601783478,24413.7235192293
"2046/2047",2047,123,123,100,352,333.5,39.9085971799952,25516.5079774857
"2047/2048",2048,123,123,100,432,-74,35.9406526292657,28645.2419210142
"2048/2049",2049,123,123,100,312,-350.5,28.7863393607031,30640.9389135288
"2049/2050",2050,123,123,100,354,-201,31.3964714047931,28361.3001383869
"2050/2051",2051,123,123,100,344,-152.5,31.897851698051,28494.964757124
"2051/2052",2052,123,123,100,205,-472,24.8263272400397,32340.1026144093
"2052/2053",2053,123,123,100,421,-288.5,28.7976591398594,30282.4493697975
"2053/2054",2054,123,123,100,385,-87,34.2630518713818,28527.4299546052
"2054/2055",2055,123,123,100,296,-189,31.8076383528642,30248.6175944647
"2055/2056",2056,123,123,100,240,-525,19.9751618349806,32860.1186076012
"2056/2057",2057,123,123,100,248,-328.5,25.7909620368796,30764.7677500946
"2057/2058",2058,123,123,100,256,-542,25.141376912276,33089.3869531127
"2058/2059",2059,123,123,100,244,-78.5,27.4670998700508,28863.241396104
"2059/2060",2060,123,123,100,293,-199.5,30.7409349172167,30205.88126742
"2060/2061",2061,123,123,100,317,-213,26.8096498755308,29519.5023989305
"2061/2062",2062,123,123,100,231,-487,23.0676058808122,31759.8747054981
"2062/2063",2063,123,123,100,299,68.5,37.2972917718043,27392.2357537849
"2063/2064",2064,123,123,100,262,-432,24.8634202292214,31666.1760516707
"2064/2065",2065,123,123,100,306,91,37.912431767053,27124.243481122
"2065/2066",2066,123,123,100,321,23,35.0021163690271,27614.2787007997
"2066/2067",2067,123,123,100,244,-320.5,29.712198488005,30822.4249037523
"2067/2068",2068,123,123,100,391,92.5,38.4887713990652,26987.6446162034
"2068/2069",2069,123,123,100,427,410.5,43.946219349205,24131.8788585011
"2069/2070",2070,123,123,100,334,98.5,33.1373704472289,27467.3798414236
"2070/2071",2071,123,123,100,193,-455,22.7489911642097,32151.7315882612
"2071/2072",2072,123,123,100,309,-380,27.4438451446667,31170.6526715001
"2072/2073",2073,123,123,100,184,-429.5,23.9527927798604,32179.9449814744
"2073/2074",2074,123,123,100,147,-846,17.1102742534549,35367.9471730441
"2074/2075",2075,123,123,100,196,-390,19.2554969766952,31238.1910386961
"2075/2076",2076,123,123,100,348,-143.5,28.849371073874,29271.2944527417
"2076/2077",2077,123,123,100,369,37,35.9007114799706,26888.540982347
"2077/2078",2078,123,123,100,286,-411,25.5812750659306,31684.4140755143
"2078/2079",2079,123,123,100,331,-120,32.4165365377371,28876.0543327834
"2079/2080",2080,123,123,100,275,-19.5,31.0839973014859,28622.0726431478
"2080/2081",2081,123,123,100,257,-572,23.6723595082481,32859.1173345353
"2081/2082",2082,123,123,100,232,-427.5,21.9707986982266,31852.9700824916
"2082/2083",2083,123,123,100,413,28.5,33.8462733060765,27555.1220016815
"2083/2084",2084,123,123,100,285,107.5,32.5090040583914,27681.0827870779
"2084/2085",2085,123,123,100,396,60.5,34.4084998495541,27193.8839330729
"2085/2086",2086,123,123,100,477,293.5,43.691833364318,25327.793223951
"2086/2087",2087,123,123,100,142,-551.5,22.9949437700452,32781.8754548877
"2087/2088",2088,123,123,100,390,-101.5,32.9347689070923,28537.2523538321
"2088/2089",2089,123,123,100,362,-357.5,28.8902699644455,30113.5127188116
"2089/2090",2090,123,123,100,242,-134.5,22.7686597343181,29659.9411308523
"2090/2091",2091,123,123,100,331,-271,26.8376270201975,30197.8996162172
"2091/2092",2092,123,123,100,277,-182.5,28.3839821376901,29743.6518229805
"2092/2093",2093,123,123,100,700,463.5,47.5301069196912,22811.6129168794
"2093/2094",2094,123,123,100,449,229,37.9958973769012,26438.987025883
"2094/2095",2095,123,123,100,259,-169,31.3306616480418,29510.8000485748
"2095/2096",2096,123,123,100,227,-453.5,19.3145486970302,32824.277008146
"2096/2097",2097,123,123,100,387,8,32.5508781376234,27604.4108115453
"2097/2098",2098,123,123,100,452,-87,33.3766777026253,28732.2756818943
"2098/2099",2099,123,123,100,387,-240,31.0991258284121,29520.9706422724
"2099/2100",2100,123,123,100,373,241,35.0154276854664,25972.080990525
