"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,335,-90.5,34.7605130428888,28842.464084294
"2000/2001",2001,123,123,100,262,-357,24.4496417378567,31203.6924246082
"2001/2002",2002,123,123,100,307,-159,24.4085918367797,29928.8751236893
"2002/2003",2003,123,123,100,323,-55,29.6232982520365,28923.9758368791
"2003/2004",2004,123,123,100,311,-119.5,32.5959849138336,29325.6460708978
"2004/2005",2005,123,123,100,272,-262.5,27.0218440913313,30653.0802668153
"2005/2006",2006,123,123,100,340,-223.5,28.4541758217528,30450.5621513702
"2006/2007",2007,123,123,100,409,-101,33.0762169580984,28771.7065598496
"2007/2008",2008,123,123,100,234,-539.5,21.6193843389705,32570.0990510449
"2008/2009",2009,123,123,100,318,-221.5,30.117692666155,29589.8545541642
"2009/2010",2010,123,123,100,308,109,36.5406275347808,27617.0543645953
"2010/2011",2011,123,123,100,178,-386.5,20.2105092759772,32197.6258068711
"2011/2012",2012,123,123,100,352,-139.5,32.0013565821163,29548.2266895811
"2012/2013",2013,123,123,100,410,170.5,36.0230297834138,26902.0092845948
"2013/2014",2014,123,123,100,308,-280.5,28.8121319453095,30588.1740282031
"2014/2015",2015,123,123,100,321,-191.5,29.787672041591,29532.1367958772
"2015/2016",2016,123,123,100,203,-348.5,21.5583024182733,31370.384687437
"2016/2017",2017,123,123,100,172,-759.5,14.5835876004999,34476.9074947806
"2017/2018",2018,123,123,100,178,-534,26.5113791070753,32343.6610140754
"2018/2019",2019,123,123,100,454,13,34.8421334544724,27218.4028346348
"2019/2020",2020,123,123,100,301,-107.5,29.7085063263235,29255.322259746
"2020/2021",2021,123,123,100,292,-168,30.6736270574796,29803.2955802623
"2021/2022",2022,123,123,100,172,-456.5,22.603546671525,32267.1845407919
"2022/2023",2023,123,123,100,188,-544,27.1811151421466,33309.3659936679
"2023/2024",2024,123,123,100,402,26.5,31.7917160640857,27986.2173921801
"2024/2025",2025,123,123,100,313,-310.5,26.7251003246899,30226.5928520635
"2025/2026",2026,123,123,100,315,-280.5,23.926953119783,30304.0784860961
"2026/2027",2027,123,123,100,211,-489,19.2681965331017,32796.4902319955
"2027/2028",2028,123,123,100,258,-422,23.5020825532708,31902.666316051
"2028/2029",2029,123,123,100,343,139,38.3529358409726,26952.2362097492
"2029/2030",2030,123,123,100,234,-564.5,18.4255059824252,33356.7618382541
"2030/2031",2031,123,123,100,328,-34,36.7375639890104,28260.1958019319
"2031/2032",2032,123,123,100,171,-370.5,29.0735235180028,30888.8062877716
"2032/2033",2033,123,123,100,364,194.5,38.618607969928,26764.6303569763
"2033/2034",2034,123,123,100,333,-185,27.3165392568103,29760.9414092302
"2034/2035",2035,123,123,100,173,-575.5,15.38523337123,33778.2729218611
"2035/2036",2036,123,123,100,165,-379,27.6620623431211,31888.4361460707
"2036/2037",2037,123,123,100,350,-352,29.6485914166426,30657.3586311545
"2037/2038",2038,123,123,100,365,113,33.9675374191513,26901.2955404334
"2038/2039",2039,123,123,100,182,-440.5,17.1774170060053,32455.025932393
"2039/2040",2040,123,123,100,256,-310,26.5531491752258,31102.796603702
"2040/2041",2041,123,123,100,275,-320,26.5134283420891,31435.3929358665
"2041/2042",2042,123,123,100,270,-186,25.1485770416141,30152.8307015654
"2042/2043",2043,123,123,100,267,-236,25.684729403903,30724.8572862325
"2043/2044",2044,123,123,100,254,-242,27.2207369878686,30825.6112541296
"2044/2045",2045,123,123,100,120,-588.5,17.8250790682014,33593.3881815905
"2045/2046",2046,123,123,100,167,-789,18.631948557206,35142.5244398452
"2046/2047",2047,123,123,100,206,-568,20.5244726626172,33068.1947894124
"2047/2048",2048,123,123,100,243,-347,24.4631716291672,31262.8249998707
"2048/2049",2049,123,123,100,439,85,37.5010041051869,27484.6277999682
"2049/2050",2050,123,123,100,473,-301.5,30.919287294171,29067.9399805069
"2050/2051",2051,123,123,100,381,64.5,37.2569769402007,27833.2446229663
"2051/2052",2052,123,123,100,346,136.5,39.4560731751815,26708.2603419051
"2052/2053",2053,123,123,100,402,125.5,31.3334758443341,27368.1409656787
"2053/2054",2054,123,123,100,245,-85.5,32.7957850252342,28856.8795695938
"2054/2055",2055,123,123,100,275,-103.5,25.958587524251,29157.4420958301
"2055/2056",2056,123,123,100,438,123.5,36.7482267902274,26953.0307416376
"2056/2057",2057,123,123,100,343,140.5,36.8522271893123,27141.0549918357
"2057/2058",2058,123,123,100,351,47.5,32.7884858967341,27141.1860021316
"2058/2059",2059,123,123,100,275,-215,24.44888127327,30382.9005867699
"2059/2060",2060,123,123,100,396,-202,26.8286586092913,29792.3454259252
"2060/2061",2061,123,123,100,275,-304.5,27.5062347537219,31161.1086575063
"2061/2062",2062,123,123,100,347,110,37.6004047983408,27697.0601903051
"2062/2063",2063,123,123,100,241,-161.5,27.7189894363567,29736.3316849498
"2063/2064",2064,123,123,100,381,66.5,33.15516796171,27252.281719855
"2064/2065",2065,123,123,100,172,-433,20.892825139721,32103.2080109445
"2065/2066",2066,123,123,100,342,-274,24.7648151507283,30171.9408540437
"2066/2067",2067,123,123,100,306,-21.5,32.0151573742673,28689.7976297559
"2067/2068",2068,123,123,100,252,-345.5,29.758323901935,31603.3236056566
"2068/2069",2069,123,123,100,205,-720.5,15.270309178461,34311.8898647483
"2069/2070",2070,123,123,100,251,-428.5,24.7621554861676,32143.93140072
"2070/2071",2071,123,123,100,416,273,36.0199849647342,26414.0753697129
"2071/2072",2072,123,123,100,323,-106.5,30.1057164276399,29296.4610760724
"2072/2073",2073,123,123,100,490,93.5,36.2557603277623,26908.2549298937
"2073/2074",2074,123,123,100,439,534,46.5617303340355,23477.3659025785
"2074/2075",2075,123,123,100,352,239.5,41.0895427450505,26250.722346127
"2075/2076",2076,123,123,100,269,-171.5,26.9962597641838,30116.7204430159
"2076/2077",2077,123,123,100,259,-371.5,28.5013591242837,31659.9042108953
"2077/2078",2078,123,123,100,356,-22.5,33.3966527277526,28389.7481081355
"2078/2079",2079,123,123,100,257,-71,32.024114246251,29073.8271110337
"2079/2080",2080,123,123,100,266,-185.5,29.1953336609226,29576.6293293759
"2080/2081",2081,123,123,100,425,285,39.9088530057534,25575.7760626748
"2081/2082",2082,123,123,100,467,118.5,40.956016619748,27025.7663173974
"2082/2083",2083,123,123,100,263,-102.5,34.8727639780318,28627.9204965662
"2083/2084",2084,123,123,100,281,-222,30.8314994102911,29836.3374810871
"2084/2085",2085,123,123,100,418,-138.5,29.5611370842917,29312.3548947982
"2085/2086",2086,123,123,100,162,-614.5,20.9053081870802,33088.0890298802
"2086/2087",2087,123,123,100,463,215,33.676353427948,26258.3634048048
"2087/2088",2088,123,123,100,342,-135,30.8693250907777,29188.604335051
"2088/2089",2089,123,123,100,448,59.5,40.157907776807,26846.084673116
"2089/2090",2090,123,123,100,223,-218.5,27.8596250639866,30224.6506679617
"2090/2091",2091,123,123,100,194,-11.5,31.3613529679283,28782.1567634288
"2091/2092",2092,123,123,100,378,-83,28.6515868322781,28612.1290895659
"2092/2093",2093,123,123,100,189,-792,20.0138783831676,35144.7395515814
"2093/2094",2094,123,123,100,73,-632,17.4899156609999,34158.0291076731
"2094/2095",2095,123,123,100,371,-81,31.0182390981763,28825.5093003307
"2095/2096",2096,123,123,100,243,117,31.6311024775046,27474.6983742304
"2096/2097",2097,123,123,100,200,-440,18.1061295509235,32336.0222889073
"2097/2098",2098,123,123,100,211,-278,26.4717477216191,31287.4559124447
"2098/2099",2099,123,123,100,408,116.5,33.734747385628,27189.4765865002
"2099/2100",2100,123,123,100,207,-505.5,25.4654112065177,32712.5302862246
