"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,440,20.5,25.222625697474,27032.989938969
"2000/2001",2001,123,123,100,355,-142.5,24.3694680923612,28051.7662435051
"2001/2002",2002,123,123,100,399,-105,22.1632794312724,28519.5095222954
"2002/2003",2003,123,123,100,457,43,26.8852216509729,27206.5130256189
"2003/2004",2004,123,123,100,458,-22.5,24.4959230290806,27716.7256819469
"2004/2005",2005,123,123,100,406,-81,18.2698046098154,27979.4159153735
"2005/2006",2006,123,123,100,419,-13.5,24.8272040857559,27800.326281581
"2006/2007",2007,123,123,100,498,21.5,27.2298314024514,26760.8384449186
"2007/2008",2008,123,123,100,297,-330,19.1911145714634,29221.3854251729
"2008/2009",2009,123,123,100,401,-135.5,24.2795413518929,27953.7114733086
"2009/2010",2010,123,123,100,487,210,28.421685574197,26018.0801696896
"2010/2011",2011,123,123,100,285,-154,20.6012489781253,29378.8534621522
"2011/2012",2012,123,123,100,410,-50.5,24.7148491930831,27423.9013631656
"2012/2013",2013,123,123,100,499,210.5,29.2191798365382,25607.2913251845
"2013/2014",2014,123,123,100,386,-150.5,23.6191729972925,28311.3977881349
"2014/2015",2015,123,123,100,414,-151,18.3368802441672,28316.2693460435
"2015/2016",2016,123,123,100,290,-227.5,17.3528273098651,29388.3059447331
"2016/2017",2017,123,123,100,252,-471,12.5309518205852,30883.2762064836
"2017/2018",2018,123,123,100,274,-270.5,24.2408439166735,29418.5252074769
"2018/2019",2019,123,123,100,504,53,27.7842246133174,25829.7590858452
"2019/2020",2020,123,123,100,393,-48.5,19.019181416765,27587.2612518161
"2020/2021",2021,123,123,100,436,-50.5,20.756445631008,27995.1528704786
"2021/2022",2022,123,123,100,279,-227.5,20.1546524972047,28715.6846988285
"2022/2023",2023,123,123,100,292,-287.5,19.9386598206623,30293.5451806821
"2023/2024",2024,123,123,100,498,-20,22.6272787523993,26753.4998583226
"2024/2025",2025,123,123,100,401,-175.5,20.8361982603036,27743.39243933
"2025/2026",2026,123,123,100,382,-122,22.8741535700125,28497.6516111749
"2026/2027",2027,123,123,100,324,-309.5,8.29663288524182,30309.9414984626
"2027/2028",2028,123,123,100,356,-266,18.0430914517398,29371.6877312711
"2028/2029",2029,123,123,100,452,225.5,31.9786996073867,25551.3539148453
"2029/2030",2030,123,123,100,325,-385,12.1393881702933,30768.7602562495
"2030/2031",2031,123,123,100,419,78.5,32.5864633594277,26477.2297973824
"2031/2032",2032,123,123,100,253,-116,22.0173654228191,28187.4953179089
"2032/2033",2033,123,123,100,503,258.5,28.6459210561226,25456.2857865966
"2033/2034",2034,123,123,100,402,-106.5,23.547588096555,27891.4093206269
"2034/2035",2035,123,123,100,298,-303,15.7938262660173,30000.0619693128
"2035/2036",2036,123,123,100,310,-58.5,29.6960105160696,28304.7202863782
"2036/2037",2037,123,123,100,417,-216.5,23.3997769865423,28187.0915268329
"2037/2038",2038,123,123,100,462,136,27.0576737738145,25361.7535519982
"2038/2039",2039,123,123,100,319,-273,12.9596449658836,30291.3771282984
"2039/2040",2040,123,123,100,374,-191,21.7028939966292,29161.6696205214
"2040/2041",2041,123,123,100,402,-150,19.8366545617171,29013.7380585605
"2041/2042",2042,123,123,100,363,-39.5,23.2957201463939,27657.5807377454
"2042/2043",2043,123,123,100,392,-104.5,17.2671283837458,28840.5015489794
"2043/2044",2044,123,123,100,401,-45.5,24.4366769713515,28282.8923699651
"2044/2045",2045,123,123,100,269,-295,14.2142297507876,30080.2890738333
"2045/2046",2046,123,123,100,245,-336.5,17.8712079064608,30456.5213678032
"2046/2047",2047,123,123,100,272,-367,13.4357355310556,30173.5761424806
"2047/2048",2048,123,123,100,329,-130.5,20.2698210400267,28717.8404169399
"2048/2049",2049,123,123,100,582,155,27.7469396641884,26328.4695295719
"2049/2050",2050,123,123,100,472,-218,23.5052055887136,27212.1756938873
"2050/2051",2051,123,123,100,512,155,28.2086661533549,25987.4180166898
"2051/2052",2052,123,123,100,491,182.5,27.1861864369287,25662.1662776116
"2052/2053",2053,123,123,100,512,134,25.1818587367618,26403.8131283233
"2053/2054",2054,123,123,100,405,107,24.1153133444352,26662.1118997894
"2054/2055",2055,123,123,100,408,-44,18.6105866756609,28020.6319074212
"2055/2056",2056,123,123,100,487,107.5,25.285534098967,26155.5949610956
"2056/2057",2057,123,123,100,560,308.5,34.5319514344626,24862.9996891674
"2057/2058",2058,123,123,100,458,-40,17.7643506020434,27232.2947457898
"2058/2059",2059,123,123,100,390,-95.5,19.0900579468603,28406.6598240212
"2059/2060",2060,123,123,100,422,-186,17.5394389549265,28373.0629533594
"2060/2061",2061,123,123,100,413,-123,20.1234568855123,28777.5285932189
"2061/2062",2062,123,123,100,487,232.5,31.1883237129164,25775.5032890365
"2062/2063",2063,123,123,100,351,-41.5,22.2848790999092,27957.9664330352
"2063/2064",2064,123,123,100,466,95.5,28.1529056434649,26106.8564269366
"2064/2065",2065,123,123,100,288,-272,12.4726211343009,29842.9853343237
"2065/2066",2066,123,123,100,421,-212,20.4420187994708,28237.6216094093
"2066/2067",2067,123,123,100,435,20,21.1338226668274,27586.8865033751
"2067/2068",2068,123,123,100,373,-146,22.7671037798061,28642.8039172031
"2068/2069",2069,123,123,100,272,-518,11.7159506579137,31319.6120166043
"2069/2070",2070,123,123,100,339,-275,15.8404911724144,30339.2505073054
"2070/2071",2071,123,123,100,585,241.5,28.5910728319977,25639.8674985087
"2071/2072",2072,123,123,100,389,1,21.6409456065746,27385.949447833
"2072/2073",2073,123,123,100,529,-14,24.0418102058272,26512.5651055891
"2073/2074",2074,123,123,100,582,451,36.1214481179359,23207.6581200073
"2074/2075",2075,123,123,100,544,311.5,30.6813221140083,25049.5737801995
"2075/2076",2076,123,123,100,396,-52.5,22.7864860969744,28317.8305413369
"2076/2077",2077,123,123,100,401,-193,23.3244435607944,28845.7691631056
"2077/2078",2078,123,123,100,436,49,25.8489151042654,26803.7996362224
"2078/2079",2079,123,123,100,412,55,22.3616470953061,26897.4289747979
"2079/2080",2080,123,123,100,412,-102.5,22.7555779781142,28038.6319703553
"2080/2081",2081,123,123,100,511,220.5,29.9781226611194,24717.458102569
"2081/2082",2082,123,123,100,565,104.5,28.8225812134165,26310.0805312693
"2082/2083",2083,123,123,100,390,73,29.4586135660188,26249.2286814246
"2083/2084",2084,123,123,100,408,-109.5,19.7862520116119,27809.7088683974
"2084/2085",2085,123,123,100,500,-3,24.0400926475381,26994.5570909251
"2085/2086",2086,123,123,100,248,-354,17.3164726136915,30001.9732319564
"2086/2087",2087,123,123,100,551,89.5,23.6454790153603,25985.1124601159
"2087/2088",2088,123,123,100,438,8,27.8390782129877,27339.0077432953
"2088/2089",2089,123,123,100,540,173,32.6933312698725,24859.692384677
"2089/2090",2090,123,123,100,337,-114,24.5355862772435,28626.3102247436
"2090/2091",2091,123,123,100,354,246,33.9593957464849,25578.8541061822
"2091/2092",2092,123,123,100,464,10.5,23.0651883749588,26593.0109568387
"2092/2093",2093,123,123,100,306,-369.5,20.6391482432082,30298.1221853923
"2093/2094",2094,123,123,100,191,-315,14.8502207116753,30732.5595676787
"2094/2095",2095,123,123,100,476,-33.5,23.3270782566547,27127.1512916479
"2095/2096",2096,123,123,100,404,160.5,25.7404043105303,26596.6600707304
"2096/2097",2097,123,123,100,281,-253,14.9132328417522,29724.3047969304
"2097/2098",2098,123,123,100,355,-46,20.5783852849345,28242.5337891877
"2098/2099",2099,123,123,100,482,122.5,28.9081414816619,25699.0244811792
"2099/2100",2100,123,123,100,333,-263,15.7294428136893,30015.8053986263
